#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BDU,2017-04-01 00:16,-105.2258,40.0394,35.60,35.60,100.00,360.00,4.00,0.02,29.97,M,1.75,M,OVC,M,M,M,600.00,M,M,M,+RA,KBDU 010016Z AUTO 36004KT 1 3/4SM +RA OVC006 02/02 A2997 RMK AO2 P0002
BDU,2017-04-01 00:36,-105.2258,40.0394,35.60,35.60,100.00,50.00,8.00,0.03,29.99,M,1.75,M,BKN,OVC,M,M,300.00,800.00,M,M,-RA,KBDU 010036Z AUTO 05008KT 1 3/4SM -RA BKN003 OVC008 02/02 A2999 RMK AO2 P0003
BDU,2017-04-01 01:16,-105.2258,40.0394,35.60,35.60,100.00,40.00,6.00,0.01,29.99,M,3.00,M,BKN,OVC,M,M,500.00,800.00,M,M,DZ,KBDU 010116Z AUTO 04006KT 3SM DZ BKN005 OVC008 02/02 A2999 RMK AO2 P0001
BDU,2017-04-01 01:36,-105.2258,40.0394,35.60,35.60,100.00,40.00,5.00,0.02,30.00,M,4.00,M,OVC,M,M,M,500.00,M,M,M,DZ,KBDU 010136Z AUTO 04005KT 4SM DZ OVC005 02/02 A3000 RMK AO2 P0002
BDU,2017-04-01 01:56,-105.2258,40.0394,35.60,35.60,100.00,30.00,7.00,0.02,30.02,M,3.00,M,OVC,M,M,M,300.00,M,M,M,DZ,KBDU 010156Z AUTO 03007KT 3SM DZ OVC003 02/02 A3002 RMK AO2 P0002
BDU,2017-04-01 02:16,-105.2258,40.0394,35.60,35.60,100.00,30.00,7.00,0.01,30.03,M,2.50,M,OVC,M,M,M,300.00,M,M,M,-RA,KBDU 010216Z AUTO 03007KT 2 1/2SM -RA OVC003 02/02 A3003 RMK AO2 P0001
BDU,2017-04-01 02:36,-105.2258,40.0394,33.80,33.80,100.00,40.00,5.00,0.02,30.04,M,2.50,M,BKN,OVC,M,M,300.00,800.00,M,M,DZ,KBDU 010236Z AUTO 04005KT 2 1/2SM DZ BKN003 OVC008 01/01 A3004 RMK AO2 P0002
BDU,2017-04-01 02:56,-105.2258,40.0394,33.80,33.80,100.00,30.00,7.00,0.02,30.04,M,3.00,M,BKN,OVC,M,M,300.00,1000.00,M,M,RA,KBDU 010256Z AUTO 03007KT 3SM RA BKN003 OVC010 01/01 A3004 RMK AO2 P0002
BDU,2017-04-01 03:16,-105.2258,40.0394,33.80,33.80,100.00,40.00,7.00,0.00,30.05,M,4.00,M,BKN,BKN,OVC,M,300.00,800.00,1500.00,M,RA,KBDU 010316Z AUTO 04007KT 4SM RA BKN003 BKN008 OVC015 01/01 A3005 RMK AO2
BDU,2017-04-01 03:36,-105.2258,40.0394,33.80,33.80,100.00,50.00,6.00,0.00,30.06,M,3.00,M,BKN,BKN,OVC,M,200.00,700.00,1500.00,M,DZ,KBDU 010336Z AUTO 05006KT 3SM DZ BKN002 BKN007 OVC015 01/01 A3006 RMK AO2
BDU,2017-04-01 03:56,-105.2258,40.0394,33.80,33.80,100.00,30.00,4.00,0.00,30.07,M,3.00,M,BKN,OVC,M,M,400.00,700.00,M,M,-RA,KBDU 010356Z AUTO 03004KT 3SM -RA BKN004 OVC007 01/01 A3007 RMK AO2
BDU,2017-04-01 04:16,-105.2258,40.0394,33.80,33.80,100.00,70.00,6.00,0.00,30.09,M,4.00,M,BKN,OVC,M,M,400.00,800.00,M,M,-RA,KBDU 010416Z AUTO 07006KT 4SM -RA BKN004 OVC008 01/01 A3009 RMK AO2
BDU,2017-04-01 04:36,-105.2258,40.0394,33.80,33.80,100.00,90.00,3.00,0.00,30.10,M,2.00,M,OVC,M,M,M,400.00,M,M,M,RA,KBDU 010436Z AUTO 09003KT 2SM RA OVC004 01/01 A3010 RMK AO2
BDU,2017-04-01 04:56,-105.2258,40.0394,33.80,33.80,100.00,50.00,4.00,0.01,30.10,M,1.75,M,OVC,M,M,M,400.00,M,M,M,RA,KBDU 010456Z AUTO 05004KT 1 3/4SM RA OVC004 01/01 A3010 RMK AO2 P0001
BDU,2017-04-01 05:16,-105.2258,40.0394,33.80,33.80,100.00,70.00,5.00,0.00,30.11,M,2.00,M,OVC,M,M,M,200.00,M,M,M,RA,KBDU 010516Z AUTO 07005KT 2SM RA OVC002 01/01 A3011 RMK AO2
BDU,2017-04-01 05:36,-105.2258,40.0394,33.80,33.80,100.00,50.00,3.00,0.02,30.12,M,2.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KBDU 010536Z AUTO 05003KT 2SM -RA OVC004 01/01 A3012 RMK AO2 P0002
BDU,2017-04-01 05:56,-105.2258,40.0394,33.80,33.80,100.00,50.00,3.00,0.02,30.12,M,4.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KBDU 010556Z AUTO 05003KT 4SM -RA OVC004 01/01 A3012 RMK AO2 P0002
BDU,2017-04-01 09:16,-105.2258,40.0394,33.80,33.80,100.00,50.00,3.00,0.00,30.13,M,7.00,M,SCT,BKN,OVC,M,400.00,800.00,1400.00,M,M,KBDU 010916Z AUTO 05003KT 7SM SCT004 BKN008 OVC014 01/01 A3013 RMK AO2
BDU,2017-04-01 09:36,-105.2258,40.0394,33.80,33.80,100.00,0.00,0.00,0.01,30.13,M,7.00,M,SCT,BKN,OVC,M,400.00,800.00,1700.00,M,M,KBDU 010936Z AUTO 00000KT 7SM SCT004 BKN008 OVC017 01/01 A3013 RMK AO2 P0001
BDU,2017-04-01 09:56,-105.2258,40.0394,33.80,33.80,100.00,20.00,3.00,0.01,30.13,M,7.00,M,SCT,OVC,M,M,400.00,800.00,M,M,M,KBDU 010956Z AUTO 02003KT 7SM SCT004 OVC008 01/01 A3013 RMK AO2 P0001
BDU,2017-04-01 10:16,-105.2258,40.0394,33.80,33.80,100.00,40.00,3.00,0.00,30.13,M,10.00,M,SCT,BKN,OVC,M,600.00,1100.00,1900.00,M,M,KBDU 011016Z AUTO 04003KT 10SM SCT006 BKN011 OVC019 01/01 A3013 RMK AO2
BDU,2017-04-01 10:36,-105.2258,40.0394,33.80,33.80,100.00,40.00,3.00,0.00,30.13,M,10.00,M,BKN,BKN,OVC,M,800.00,1400.00,2000.00,M,M,KBDU 011036Z AUTO 04003KT 10SM BKN008 BKN014 OVC020 01/01 A3013 RMK AO2
BDU,2017-04-01 10:56,-105.2258,40.0394,33.80,33.80,100.00,50.00,3.00,0.00,30.14,M,7.00,M,SCT,OVC,M,M,400.00,1000.00,M,M,M,KBDU 011056Z AUTO 05003KT 7SM SCT004 OVC010 01/01 A3014 RMK AO2
BDU,2017-04-01 11:16,-105.2258,40.0394,33.80,33.80,100.00,50.00,3.00,0.00,30.15,M,7.00,M,SCT,BKN,OVC,M,400.00,1100.00,1900.00,M,M,KBDU 011116Z AUTO 05003KT 7SM SCT004 BKN011 OVC019 01/01 A3015 RMK AO2
BDU,2017-04-01 11:36,-105.2258,40.0394,33.80,33.80,100.00,0.00,0.00,0.00,30.15,M,7.00,M,SCT,BKN,OVC,M,300.00,1600.00,2800.00,M,M,KBDU 011136Z AUTO 00000KT 7SM SCT003 BKN016 OVC028 01/01 A3015 RMK AO2
BDU,2017-04-01 11:56,-105.2258,40.0394,33.80,33.80,100.00,0.00,0.00,0.00,30.15,M,7.00,M,BKN,OVC,M,M,1900.00,2700.00,M,M,M,KBDU 011156Z AUTO 00000KT 7SM BKN019 OVC027 01/01 A3015 RMK AO2
BDU,2017-04-01 12:02,-105.2258,40.0394,33.80,33.80,100.00,0.00,0.00,0.00,30.16,M,7.00,M,BKN,OVC,M,M,1900.00,2700.00,M,M,M,KBDU 011202Z AUTO 00000KT 7SM BKN019 OVC027 01/01 A3016 RMK AO2
BDU,2017-04-01 12:36,-105.2258,40.0394,33.80,33.80,100.00,0.00,0.00,0.00,30.16,M,5.00,M,OVC,M,M,M,1500.00,M,M,M,BR,KBDU 011236Z AUTO 00000KT 5SM BR OVC015 01/01 A3016 RMK AO2
BDU,2017-04-01 12:56,-105.2258,40.0394,33.80,33.80,100.00,0.00,0.00,0.00,30.16,M,7.00,M,OVC,M,M,M,1700.00,M,M,M,M,KBDU 011256Z AUTO 00000KT 7SM OVC017 01/01 A3016 RMK AO2 LTG DSNT E
BDU,2017-04-01 13:16,-105.2258,40.0394,33.80,33.80,100.00,270.00,3.00,0.00,30.16,M,3.00,M,SCT,BKN,OVC,M,300.00,1000.00,1700.00,M,BR,KBDU 011316Z AUTO 27003KT 3SM BR SCT003 BKN010 OVC017 01/01 A3016 RMK AO2
BDU,2017-04-01 13:36,-105.2258,40.0394,33.80,33.80,100.00,360.00,4.00,0.00,30.16,M,5.00,M,SCT,BKN,OVC,M,800.00,1200.00,2000.00,M,BR,KBDU 011336Z AUTO 36004KT 5SM BR SCT008 BKN012 OVC020 01/01 A3016 RMK AO2
BDU,2017-04-01 13:56,-105.2258,40.0394,33.80,33.80,100.00,30.00,3.00,0.00,30.16,M,4.00,M,SCT,OVC,M,M,2000.00,4600.00,M,M,BR,KBDU 011356Z AUTO 03003KT 4SM BR SCT020 OVC046 01/01 A3016 RMK AO2
BDU,2017-04-01 14:16,-105.2258,40.0394,33.80,33.80,100.00,50.00,3.00,0.00,30.17,M,5.00,M,SCT,BKN,OVC,M,200.00,1300.00,4600.00,M,BR,KBDU 011416Z AUTO 05003KT 5SM BR SCT002 BKN013 OVC046 01/01 A3017 RMK AO2
BDU,2017-04-01 14:36,-105.2258,40.0394,33.80,33.80,100.00,0.00,0.00,0.00,30.17,M,7.00,M,SCT,BKN,OVC,M,400.00,900.00,1400.00,M,-RA,KBDU 011436Z AUTO 00000KT 7SM -RA SCT004 BKN009 OVC014 01/01 A3017 RMK AO2
BDU,2017-04-01 14:56,-105.2258,40.0394,33.80,33.80,100.00,0.00,0.00,0.00,30.17,M,7.00,M,BKN,OVC,M,M,700.00,4600.00,M,M,-DZ,KBDU 011456Z AUTO 00000KT 7SM -DZ BKN007 OVC046 01/01 A3017 RMK AO2
BDU,2017-04-01 15:16,-105.2258,40.0394,35.60,33.80,93.08,310.00,4.00,0.00,30.16,M,7.00,M,SCT,BKN,OVC,M,500.00,1200.00,5000.00,M,UP,KBDU 011516Z AUTO 31004KT 7SM UP SCT005 BKN012 OVC050 02/01 A3016 RMK AO2
BDU,2017-04-01 15:36,-105.2258,40.0394,35.60,35.60,100.00,360.00,5.00,0.00,30.15,M,10.00,M,SCT,OVC,M,M,500.00,1200.00,M,M,M,KBDU 011536Z AUTO 36005KT 10SM SCT005 OVC012 02/02 A3015 RMK AO2
BDU,2017-04-01 15:56,-105.2258,40.0394,35.60,33.80,93.08,0.00,0.00,0.00,30.16,M,10.00,M,SCT,OVC,M,M,700.00,1400.00,M,M,M,KBDU 011556Z AUTO 00000KT 10SM SCT007 OVC014 02/01 A3016 RMK AO2
