#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BED,2017-04-01 00:00,-71.2890,42.4699,M,M,M,70.00,7.00,M,30.05,M,1.50,M,BKN,OVC,M,M,700.00,1100.00,M,M,-SN BR,KBED 010000Z AUTO 07007KT 1 1/2SM -SN BR BKN007 OVC011 A3005 RMK MADISHF
BED,2017-04-01 00:05,-71.2890,42.4699,M,M,M,70.00,7.00,M,30.05,M,1.00,M,BKN,OVC,M,M,499.00,1100.00,M,M,-SN BR,KBED 010005Z AUTO 07007KT 1SM -SN BR BKN004 OVC011 A3005 RMK MADISHF
BED,2017-04-01 00:10,-71.2890,42.4699,M,M,M,70.00,7.00,M,30.05,M,1.25,M,BKN,OVC,M,M,700.00,1300.00,M,M,-RA BR,KBED 010010Z AUTO 07007KT 1 1/2SM -RA BR BKN007 OVC013 A3005 RMK MADISHF
BED,2017-04-01 00:15,-71.2890,42.4699,M,M,M,70.00,7.00,M,30.05,M,1.75,M,OVC,M,M,M,700.00,M,M,M,-RA BR,KBED 010015Z AUTO 07007KT 2SM -RA BR OVC007 A3005 RMK MADISHF
BED,2017-04-01 00:20,-71.2890,42.4699,M,M,M,70.00,6.00,M,30.05,M,1.75,M,BKN,OVC,M,M,700.00,1100.00,M,M,-FZRA BR,KBED 010020Z AUTO 07006KT 2SM -FZRA BR BKN007 OVC011 A3005 RMK MADISHF
BED,2017-04-01 00:23,-71.2890,42.4699,33.10,30.00,88.23,70.00,7.00,0.00,30.04,M,1.75,M,VV ,M,M,M,700.00,M,M,M,-FZRA BR,KBED 010023Z 07007KT 1 3/4SM -FZRA BR VV007 01/M01 A3004 RMK AO2 RAE17FZRAB17SNB2359E10 P0000 I1000 T00061011
BED,2017-04-01 00:25,-71.2890,42.4699,M,M,M,60.00,7.00,M,30.04,M,1.75,M,VV ,M,M,M,700.00,M,M,M,-FZRA BR,KBED 010025Z AUTO 06007KT 2SM -FZRA BR VV007 A3004 RMK MADISHF
BED,2017-04-01 00:30,-71.2890,42.4699,M,M,M,60.00,6.00,0.01,30.04,M,1.00,M,VV ,M,M,M,700.00,M,M,M,-FZRA BR,KBED 010030Z AUTO 06006KT 1SM -FZRA BR VV007 A3004 RMK P0001 MADISHF
BED,2017-04-01 00:35,-71.2890,42.4699,M,M,M,50.00,6.00,0.01,30.04,M,1.00,M,VV ,M,M,M,700.00,M,M,M,-FZRA BR,KBED 010035Z AUTO 05006KT 1SM -FZRA BR VV007 A3004 RMK P0001 MADISHF
BED,2017-04-01 00:40,-71.2890,42.4699,M,M,M,50.00,6.00,0.01,30.04,M,1.00,M,VV ,M,M,M,700.00,M,M,M,-RA BR,KBED 010040Z AUTO 05006KT 1SM -RA BR VV007 A3004 RMK P0001 MADISHF
BED,2017-04-01 00:44,-71.2890,42.4699,33.10,30.00,88.23,60.00,7.00,0.01,30.04,M,1.00,M,VV ,M,M,M,700.00,M,M,M,-RA BR,KBED 010044Z 06007KT 1SM R11/P6000FT -RA BR VV007 01/M01 A3004 RMK AO2 RAE17B38FZRAB17E38SNB2359E10 P0001 I1000 T00061011
BED,2017-04-01 00:45,-71.2890,42.4699,M,M,M,60.00,7.00,0.01,30.04,M,1.00,M,VV ,M,M,M,700.00,M,M,M,-FZRA BR,KBED 010045Z AUTO 06007KT 1SM -FZRA BR VV007 A3004 RMK P0001 MADISHF
