#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BFD,2017-04-01 00:00,-78.6401,41.8031,M,M,M,90.00,3.00,M,29.64,M,9.00,M,OVC,M,M,M,800.00,M,M,M,-RA,KBFD 010000Z AUTO 09003KT 9SM -RA OVC008 A2964 RMK MADISHF
BFD,2017-04-01 00:05,-78.6401,41.8031,M,M,M,0.00,0.00,M,29.64,M,10.00,M,OVC,M,M,M,800.00,M,M,M,-RA,KBFD 010005Z AUTO 00000KT 10SM -RA OVC008 A2964 RMK MADISHF
BFD,2017-04-01 00:10,-78.6401,41.8031,M,M,M,0.00,0.00,0.01,29.64,M,10.00,M,SCT,OVC,M,M,800.00,1200.00,M,M,-RA,KBFD 010010Z AUTO 00000KT 10SM -RA SCT008 OVC012 A2964 RMK P0001 MADISHF
BFD,2017-04-01 00:15,-78.6401,41.8031,M,M,M,0.00,0.00,0.01,29.64,M,9.00,M,FEW,OVC,M,M,700.00,1200.00,M,M,-RA,KBFD 010015Z AUTO 00000KT 9SM -RA FEW007 OVC012 A2964 RMK P0001 MADISHF
BFD,2017-04-01 00:16,-78.6401,41.8031,39.00,37.90,95.78,100.00,3.00,0.01,29.64,M,9.00,M,FEW,OVC,M,M,700.00,1400.00,M,M,-RA,KBFD 010016Z AUTO 10003KT 9SM -RA FEW007 OVC014 04/03 A2964 RMK AO2 P0001 T00390033
BFD,2017-04-01 00:20,-78.6401,41.8031,M,M,M,0.00,0.00,0.02,29.64,M,8.00,M,FEW,OVC,M,M,700.00,1600.00,M,M,-RA,KBFD 010020Z AUTO 00000KT 8SM -RA FEW007 OVC016 A2964 RMK P0002 MADISHF
BFD,2017-04-01 00:25,-78.6401,41.8031,M,M,M,100.00,3.00,0.03,29.64,M,7.00,M,FEW,OVC,M,M,700.00,1600.00,M,M,-RA,KBFD 010025Z AUTO 10003KT 7SM -RA FEW007 OVC016 A2964 RMK P0003 MADISHF
BFD,2017-04-01 00:26,-78.6401,41.8031,39.00,37.90,95.78,0.00,0.00,0.03,29.65,M,7.00,M,FEW,OVC,M,M,700.00,1600.00,M,M,-RA,KBFD 010026Z AUTO 00000KT 7SM -RA FEW007 OVC016 04/03 A2965 RMK AO2 P0003 T00390033
BFD,2017-04-01 00:30,-78.6401,41.8031,M,M,M,0.00,0.00,0.03,29.65,M,7.00,M,OVC,M,M,M,1600.00,M,M,M,-RA,KBFD 010030Z AUTO 00000KT 7SM -RA OVC016 A2965 RMK P0003 MADISHF
BFD,2017-04-01 00:35,-78.6401,41.8031,M,M,M,0.00,0.00,0.04,29.65,M,8.00,M,OVC,M,M,M,1800.00,M,M,M,-RA,KBFD 010035Z AUTO 00000KT 8SM -RA OVC018 A2965 RMK P0004 MADISHF
