#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BGM,2017-04-01 00:00,-75.9797,42.2086,M,M,M,110.00,11.00,M,29.70,M,4.00,M,SCT,OVC,M,M,700.00,1200.00,M,M,-RA BR,KBGM 010000Z AUTO 11011KT 4SM -RA BR SCT007 OVC012 A2970 RMK MADISHF
BGM,2017-04-01 00:05,-75.9797,42.2086,M,M,M,110.00,10.00,M,29.70,M,4.00,M,FEW,BKN,OVC,M,400.00,999.00,1600.00,M,-RA BR,KBGM 010005Z AUTO 11010KT 4SM -RA BR FEW004 BKN009 OVC016 A2970 RMK CIG 6V13  MADISHF
BGM,2017-04-01 00:10,-75.9797,42.2086,M,M,M,110.00,8.00,M,29.70,M,4.00,M,BKN,OVC,M,M,700.00,1400.00,M,M,-RA BR,KBGM 010010Z AUTO 11008KT 4SM -RA BR BKN007 OVC014 A2970 RMK CIG 4V9  MADISHF
BGM,2017-04-01 00:15,-75.9797,42.2086,M,M,M,110.00,9.00,M,29.70,M,5.00,M,BKN,OVC,M,M,600.00,1100.00,M,M,-RA BR,KBGM 010015Z AUTO 11009KT 5SM -RA BR BKN006 OVC011 A2970 RMK CIG 4V9  MADISHF
BGM,2017-04-01 00:20,-75.9797,42.2086,M,M,M,110.00,10.00,M,29.70,M,4.00,M,BKN,BKN,OVC,M,600.00,1100.00,1400.00,M,-RA BR,KBGM 010020Z AUTO 11010KT 4SM -RA BR BKN006 BKN011 OVC014 A2970 RMK CIG 4V9  MADISHF
BGM,2017-04-01 00:25,-75.9797,42.2086,M,M,M,110.00,10.00,0.01,29.70,M,4.00,M,SCT,OVC,M,M,600.00,1100.00,M,M,-RA BR,KBGM 010025Z AUTO 11010KT 4SM -RA BR SCT006 OVC011 A2970 RMK P0001 CIG 7V12  MADISHF
BGM,2017-04-01 00:30,-75.9797,42.2086,M,M,M,110.00,10.00,0.01,29.70,M,4.00,M,BKN,OVC,M,M,600.00,1200.00,M,M,-RA BR,KBGM 010030Z AUTO 11010KT 4SM -RA BR BKN006 OVC012 A2970 RMK P0001 MADISHF
BGM,2017-04-01 00:35,-75.9797,42.2086,M,M,M,100.00,8.00,0.01,29.70,M,3.50,M,BKN,OVC,M,M,600.00,1200.00,M,M,-RA BR,KBGM 010035Z AUTO 10008KT 3SM -RA BR BKN006 OVC012 A2970 RMK P0001 MADISHF
BGM,2017-04-01 00:40,-75.9797,42.2086,33.10,33.10,100.00,110.00,9.00,0.01,29.70,M,3.00,M,BKN,BKN,OVC,M,600.00,1000.00,1400.00,M,-RA BR,KBGM 010040Z 11009KT 3SM -RA BR BKN006 BKN010 OVC014 01/01 A2970 RMK AO2 P0001 T00060006
BGM,2017-04-01 00:45,-75.9797,42.2086,M,M,M,110.00,9.00,0.02,29.70,M,4.00,M,BKN,BKN,OVC,M,499.00,999.00,1400.00,M,-RA BR,KBGM 010045Z AUTO 11009KT 4SM -RA BR BKN004 BKN009 OVC014 A2970 RMK P0002 MADISHF
BGM,2017-04-01 00:50,-75.9797,42.2086,M,M,M,110.00,8.00,0.02,29.70,M,4.00,M,SCT,OVC,M,M,499.00,999.00,M,M,-RA BR,KBGM 010050Z AUTO 11008KT 4SM -RA BR SCT004 OVC009 A2970 RMK P0002 MADISHF
BGM,2017-04-01 00:53,-75.9797,42.2086,33.10,33.10,100.00,100.00,7.00,0.02,29.70,1007.20,5.00,M,BKN,OVC,M,M,500.00,1000.00,M,M,-RA BR,KBGM 010053Z 10007KT 5SM -RA BR BKN005 OVC010 01/01 A2970 RMK AO2 SLP072 P0002 T00060006
BGM,2017-04-01 00:55,-75.9797,42.2086,M,M,M,100.00,7.00,0.01,29.70,M,5.00,M,BKN,OVC,M,M,499.00,999.00,M,M,-RA BR,KBGM 010055Z AUTO 10007KT 5SM -RA BR BKN004 OVC009 A2970 RMK P0001 MADISHF
BGM,2017-04-01 01:00,-75.9797,42.2086,M,M,M,90.00,8.00,0.01,29.71,M,5.00,M,BKN,OVC,M,M,499.00,1100.00,M,M,-RA BR,KBGM 010100Z AUTO 09008KT 5SM -RA BR BKN004 OVC011 A2971 RMK P0001 MADISHF
BGM,2017-04-01 01:05,-75.9797,42.2086,M,M,M,90.00,8.00,0.01,29.71,M,5.00,M,BKN,OVC,M,M,499.00,1100.00,M,M,-RA BR,KBGM 010105Z AUTO 09008KT 5SM -RA BR BKN004 OVC011 A2971 RMK P0001 MADISHF
BGM,2017-04-01 01:10,-75.9797,42.2086,M,M,M,100.00,8.00,0.01,29.71,M,5.00,M,BKN,OVC,M,M,499.00,900.00,M,M,-RA BR,KBGM 010110Z AUTO 10008KT 5SM -RA BR BKN004 OVC009 A2971 RMK P0001 MADISHF
BGM,2017-04-01 01:15,-75.9797,42.2086,M,M,M,100.00,8.00,0.01,29.71,M,6.00,M,BKN,OVC,M,M,499.00,1200.00,M,M,-RA BR,KBGM 010115Z AUTO 10008KT 6SM -RA BR BKN004 OVC012 A2971 RMK P0001 CIG 3V7  MADISHF
BGM,2017-04-01 01:20,-75.9797,42.2086,M,M,M,110.00,8.00,0.02,29.71,M,6.00,M,BKN,BKN,OVC,M,499.00,900.00,1200.00,M,-RA BR,KBGM 010120Z AUTO 11008KT 6SM -RA BR BKN004 BKN009 OVC012 A2971 RMK P0002 CIG 3V8  MADISHF
BGM,2017-04-01 01:25,-75.9797,42.2086,M,M,M,100.00,7.00,0.02,29.71,M,6.00,M,SCT,BKN,OVC,M,499.00,999.00,1400.00,M,-RA BR,KBGM 010125Z AUTO 10007KT 6SM -RA BR SCT004 BKN009 OVC014 A2971 RMK P0002 CIG 9V12  MADISHF
