#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BHK,2017-04-01 00:00,-104.2595,46.3476,M,M,M,30.00,14.00,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KBHK 010000Z AUTO 03014KT 10SM OVC075 RMK MADISHF
BHK,2017-04-01 00:05,-104.2595,46.3476,M,M,M,30.00,12.00,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KBHK 010005Z AUTO 03012KT 10SM OVC075 RMK MADISHF
BHK,2017-04-01 00:10,-104.2595,46.3476,M,M,M,30.00,14.00,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KBHK 010010Z AUTO 03014KT 10SM OVC075 RMK MADISHF
BHK,2017-04-01 00:15,-104.2595,46.3476,M,M,M,20.00,13.00,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KBHK 010015Z AUTO 02013KT 10SM OVC075 RMK MADISHF
BHK,2017-04-01 00:20,-104.2595,46.3476,M,M,M,20.00,13.00,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KBHK 010020Z AUTO 02013KT 10SM OVC075 RMK MADISHF
BHK,2017-04-01 00:25,-104.2595,46.3476,M,M,M,30.00,11.00,M,M,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBHK 010025Z AUTO 03011KT 10SM OVC070 RMK MADISHF
BHK,2017-04-01 00:30,-104.2595,46.3476,M,M,M,30.00,12.00,M,M,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBHK 010030Z AUTO 03012KT 10SM OVC070 RMK MADISHF
BHK,2017-04-01 00:35,-104.2595,46.3476,M,M,M,30.00,11.00,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KBHK 010035Z AUTO 03011KT 10SM OVC075 RMK MADISHF
BHK,2017-04-01 00:40,-104.2595,46.3476,M,M,M,30.00,10.00,M,M,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,M,KBHK 010040Z AUTO 03010KT 10SM OVC075 RMK MADISHF
BHK,2017-04-01 00:45,-104.2595,46.3476,M,M,M,30.00,10.00,M,M,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBHK 010045Z AUTO 03010KT 10SM OVC070 RMK MADISHF
BHK,2017-04-01 00:50,-104.2595,46.3476,M,M,M,40.00,9.00,M,M,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,-RA,KBHK 010050Z AUTO 04009KT 10SM -RA OVC070 RMK MADISHF
BHK,2017-04-01 00:51,-104.2595,46.3476,46.90,39.90,76.48,40.00,10.00,0.00,30.12,1020.90,10.00,M,OVC,M,M,M,7000.00,M,M,M,-RA,KBHK 010051Z AUTO 04010KT 10SM -RA OVC070 08/04 A3012 RMK AO2 RAB48 SLP209 P0000 T00830044
BHK,2017-04-01 00:55,-104.2595,46.3476,M,M,M,40.00,12.00,M,M,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,-RA,KBHK 010055Z AUTO 04012KT 10SM -RA OVC070 RMK MADISHF
