#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BIH,2017-04-01 00:00,-118.3636,37.3731,M,M,M,M,M,M,29.96,M,10.00,26.00,CLR,M,M,M,M,M,M,M,M,KBIH 010000Z AUTO /////G26KT 10SM CLR A2996 RMK MADISHF
BIH,2017-04-01 00:05,-118.3636,37.3731,M,M,M,360.00,19.00,M,29.96,M,10.00,26.00,CLR,M,M,M,M,M,M,M,M,KBIH 010005Z AUTO 36019G26KT 10SM CLR A2996 RMK MADISHF
BIH,2017-04-01 00:10,-118.3636,37.3731,M,M,M,M,M,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIH 010010Z AUTO /////KT 10SM CLR A2996 RMK MADISHF
BIH,2017-04-01 00:15,-118.3636,37.3731,M,M,M,10.00,22.00,M,29.96,M,10.00,30.00,CLR,M,M,M,M,M,M,M,M,KBIH 010015Z AUTO 01022G30KT 10SM CLR A2996 RMK MADISHF
BIH,2017-04-01 00:20,-118.3636,37.3731,M,M,M,360.00,20.00,M,29.96,M,10.00,26.00,CLR,M,M,M,M,M,M,M,M,KBIH 010020Z AUTO 36020G26KT 10SM CLR A2996 RMK MADISHF
BIH,2017-04-01 00:25,-118.3636,37.3731,M,M,M,360.00,19.00,M,29.96,M,10.00,26.00,CLR,M,M,M,M,M,M,M,M,KBIH 010025Z AUTO 36019G26KT 10SM CLR A2996 RMK MADISHF
BIH,2017-04-01 00:30,-118.3636,37.3731,M,M,M,360.00,21.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIH 010030Z AUTO 36021KT 10SM CLR A2996 RMK MADISHF
BIH,2017-04-01 00:35,-118.3636,37.3731,M,M,M,M,M,M,29.96,M,10.00,29.00,CLR,M,M,M,M,M,M,M,M,KBIH 010035Z AUTO /////G29KT 10SM CLR A2996 RMK MADISHF
BIH,2017-04-01 00:40,-118.3636,37.3731,M,M,M,M,M,M,29.96,M,10.00,32.00,CLR,M,M,M,M,M,M,M,M,KBIH 010040Z AUTO /////G32KT 10SM CLR A2996 RMK MADISHF
BIH,2017-04-01 00:45,-118.3636,37.3731,M,M,M,360.00,21.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIH 010045Z AUTO 36021KT 10SM CLR A2996 RMK MADISHF
BIH,2017-04-01 00:50,-118.3636,37.3731,M,M,M,360.00,20.00,M,29.96,M,10.00,28.00,CLR,M,M,M,M,M,M,M,M,KBIH 010050Z AUTO 36020G28KT 10SM CLR A2996 RMK MADISHF
BIH,2017-04-01 00:55,-118.3636,37.3731,M,M,M,360.00,23.00,M,29.96,M,10.00,28.00,CLR,M,M,M,M,M,M,M,M,KBIH 010055Z AUTO 36023G28KT 10SM CLR A2996 RMK MADISHF
BIH,2017-04-01 00:56,-118.3636,37.3731,55.00,27.00,33.79,360.00,24.00,0.00,29.96,1012.80,10.00,32.00,CLR,M,M,M,M,M,M,M,M,KBIH 010056Z AUTO 36024G32KT 10SM CLR 13/M03 A2996 RMK AO2 PK WND 36032/0040 SLP128 T01281028
BIH,2017-04-01 01:00,-118.3636,37.3731,M,M,M,M,M,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIH 010100Z AUTO /////KT 10SM CLR A2996 RMK MADISHF
BIH,2017-04-01 01:05,-118.3636,37.3731,M,M,M,360.00,19.00,M,29.97,M,10.00,27.00,CLR,M,M,M,M,M,M,M,M,KBIH 010105Z AUTO 36019G27KT 10SM CLR A2997 RMK MADISHF
BIH,2017-04-01 01:10,-118.3636,37.3731,M,M,M,M,M,M,29.96,M,10.00,29.00,CLR,M,M,M,M,M,M,M,M,KBIH 010110Z AUTO /////G29KT 10SM CLR A2996 RMK MADISHF
BIH,2017-04-01 01:15,-118.3636,37.3731,M,M,M,M,M,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIH 010115Z AUTO /////KT 10SM CLR A2997 RMK MADISHF
BIH,2017-04-01 01:20,-118.3636,37.3731,M,M,M,M,M,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIH 010120Z AUTO /////KT 10SM CLR A2997 RMK MADISHF
BIH,2017-04-01 01:25,-118.3636,37.3731,M,M,M,360.00,24.00,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIH 010125Z AUTO 36024KT 10SM CLR A2997 RMK MADISHF
BIH,2017-04-01 01:30,-118.3636,37.3731,M,M,M,M,M,M,29.97,M,10.00,32.00,CLR,M,M,M,M,M,M,M,M,KBIH 010130Z AUTO /////G32KT 10SM CLR A2997 RMK MADISHF
BIH,2017-04-01 01:35,-118.3636,37.3731,M,M,M,10.00,21.00,M,29.97,M,10.00,28.00,CLR,M,M,M,M,M,M,M,M,KBIH 010135Z AUTO 01021G28KT 10SM CLR A2997 RMK MADISHF
