#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BIJ,2017-04-01 00:15,-84.8948,31.3975,69.80,55.40,60.21,0.00,0.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIJ 010015Z AUTO 00000KT 10SM CLR 21/13 A2986 RMK AO2
BIJ,2017-04-01 00:35,-84.8948,31.3975,69.80,53.60,56.38,0.00,0.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIJ 010035Z AUTO 00000KT 10SM CLR 21/12 A2987 RMK AO2
BIJ,2017-04-01 00:55,-84.8948,31.3975,68.00,55.40,64.04,0.00,0.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIJ 010055Z AUTO 00000KT 10SM CLR 20/13 A2988 RMK AO2
BIJ,2017-04-01 01:15,-84.8948,31.3975,66.20,55.40,68.15,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIJ 010115Z AUTO 00000KT 10SM CLR 19/13 A2989 RMK AO2
BIJ,2017-04-01 01:35,-84.8948,31.3975,64.40,57.20,77.45,0.00,0.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIJ 010135Z AUTO 00000KT 10SM CLR 18/14 A2990 RMK AO2
BIJ,2017-04-01 01:55,-84.8948,31.3975,64.40,57.20,77.45,0.00,0.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIJ 010155Z AUTO 00000KT 10SM CLR 18/14 A2991 RMK AO2
BIJ,2017-04-01 02:15,-84.8948,31.3975,62.60,55.40,77.29,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIJ 010215Z AUTO 00000KT 10SM CLR 17/13 A2992 RMK AO2
BIJ,2017-04-01 02:35,-84.8948,31.3975,62.60,55.40,77.29,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIJ 010235Z AUTO 00000KT 10SM CLR 17/13 A2992 RMK AO2
BIJ,2017-04-01 02:55,-84.8948,31.3975,62.60,55.40,77.29,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIJ 010255Z AUTO 00000KT 10SM CLR 17/13 A2993 RMK AO2
BIJ,2017-04-01 03:15,-84.8948,31.3975,62.60,55.40,77.29,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBIJ 010315Z AUTO 00000KT 10SM CLR 17/13 A2993 RMK AO2
BIJ,2017-04-01 03:35,-84.8948,31.3975,60.80,55.40,82.37,0.00,0.00,0.00,29.93,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KBIJ 010335Z AUTO 00000KT 7SM CLR 16/13 A2993 RMK AO2
BIJ,2017-04-01 03:55,-84.8948,31.3975,60.80,55.40,82.37,0.00,0.00,0.00,29.94,M,4.00,M,CLR,M,M,M,M,M,M,M,HZ,KBIJ 010355Z AUTO 00000KT 4SM HZ CLR 16/13 A2994 RMK AO2
