#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BIL,2017-04-01 00:00,-108.5422,45.8069,M,M,M,60.00,5.00,M,30.14,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KBIL 010000Z AUTO 06005KT 10SM OVC016 A3014 RMK MADISHF
BIL,2017-04-01 00:05,-108.5422,45.8069,M,M,M,80.00,6.00,M,30.14,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KBIL 010005Z AUTO 08006KT 10SM OVC016 A3014 RMK MADISHF
BIL,2017-04-01 00:10,-108.5422,45.8069,M,M,M,60.00,5.00,M,30.14,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KBIL 010010Z AUTO 06005KT 10SM OVC016 A3014 RMK VRB05KT  MADISHF
BIL,2017-04-01 00:15,-108.5422,45.8069,M,M,M,70.00,6.00,M,30.15,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KBIL 010015Z AUTO 07006KT 10SM OVC016 A3015 RMK MADISHF
BIL,2017-04-01 00:20,-108.5422,45.8069,M,M,M,30.00,6.00,M,30.15,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KBIL 010020Z AUTO 03006KT 10SM OVC016 A3015 RMK MADISHF
BIL,2017-04-01 00:25,-108.5422,45.8069,M,M,M,60.00,7.00,M,30.15,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KBIL 010025Z AUTO 06007KT 10SM OVC016 A3015 RMK MADISHF
BIL,2017-04-01 00:40,-108.5422,45.8069,M,M,M,60.00,7.00,M,30.15,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KBIL 010040Z AUTO 06007KT 10SM OVC016 A3015 RMK MADISHF
BIL,2017-04-01 00:45,-108.5422,45.8069,M,M,M,60.00,8.00,M,30.15,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KBIL 010045Z AUTO 06008KT 10SM OVC016 A3015 RMK MADISHF
BIL,2017-04-01 00:50,-108.5422,45.8069,M,M,M,50.00,8.00,M,30.15,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KBIL 010050Z AUTO 05008KT 10SM OVC016 A3015 RMK MADISHF
BIL,2017-04-01 00:53,-108.5422,45.8069,44.10,37.90,78.66,70.00,5.00,0.00,30.15,1021.90,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KBIL 010053Z 07005KT 10SM OVC016 07/03 A3015 RMK AO2 SLP219 T00670033 $
