#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BJC,2017-04-01 00:51,-105.1172,39.9088,35.60,35.60,100.00,10.00,10.00,0.00,29.98,M,0.75,M,OVC,M,M,M,200.00,M,M,M,-DZ,KBJC 010051Z 01010KT 3/4SM -DZ OVC002 02/02 A2998
BJC,2017-04-01 01:50,-105.1172,39.9088,35.60,35.60,100.00,30.00,9.00,0.00,30.00,M,1.00,M,OVC,M,M,M,200.00,M,M,M,DZ,KBJC 010150Z 03009KT 1SM DZ OVC002 02/02 A3000
BJC,2017-04-01 02:49,-105.1172,39.9088,33.80,33.80,100.00,20.00,5.00,0.00,30.03,M,1.00,M,OVC,M,M,M,400.00,M,M,M,-RA,KBJC 010249Z 02005KT 1SM -RA OVC004 01/01 A3003
BJC,2017-04-01 03:49,-105.1172,39.9088,32.00,32.00,100.00,20.00,8.00,0.00,30.06,M,1.50,M,OVC,M,M,M,200.00,M,M,M,-SN,KBJC 010349Z 02008KT 1 1/2SM -SN OVC002 00/00 A3006 RMK LAST
BJC,2017-04-01 05:13,-105.1172,39.9088,32.00,32.00,100.00,60.00,5.00,0.00,30.10,M,2.50,M,OVC,M,M,M,400.00,M,M,M,-SN,KBJC 010513Z AUTO 06005KT 2 1/2SM -SN OVC004 00/00 A3010 RMK AO2
BJC,2017-04-01 05:34,-105.1172,39.9088,32.00,32.00,100.00,40.00,5.00,0.00,30.12,M,2.50,M,OVC,M,M,M,200.00,M,M,M,-SN,KBJC 010534Z AUTO 04005KT 2 1/2SM -SN OVC002 00/00 A3012 RMK AO2
BJC,2017-04-01 05:54,-105.1172,39.9088,32.00,32.00,100.00,50.00,4.00,0.00,30.12,M,5.00,M,OVC,M,M,M,200.00,M,M,M,BR,KBJC 010554Z AUTO 05004KT 5SM BR OVC002 00/00 A3012 RMK AO2
BJC,2017-04-01 09:14,-105.1172,39.9088,32.00,32.00,100.00,10.00,4.00,0.00,30.12,M,7.00,M,BKN,OVC,M,M,400.00,800.00,M,M,M,KBJC 010914Z AUTO 01004KT 7SM BKN004 OVC008 00/00 A3012 RMK AO2
BJC,2017-04-01 09:34,-105.1172,39.9088,32.00,32.00,100.00,10.00,5.00,0.00,30.12,M,4.00,M,BKN,OVC,M,M,400.00,700.00,M,M,-RA,KBJC 010934Z AUTO 01005KT 4SM -RA BKN004 OVC007 00/00 A3012 RMK AO2
BJC,2017-04-01 09:54,-105.1172,39.9088,32.00,32.00,100.00,20.00,6.00,0.00,30.12,M,7.00,M,OVC,M,M,M,400.00,M,M,M,M,KBJC 010954Z AUTO 02006KT 7SM OVC004 00/00 A3012 RMK AO2
BJC,2017-04-01 10:14,-105.1172,39.9088,32.00,32.00,100.00,20.00,5.00,0.00,30.13,M,10.00,M,BKN,OVC,M,M,400.00,1200.00,M,M,M,KBJC 011014Z AUTO 02005KT 10SM BKN004 OVC012 00/00 A3013 RMK AO2
BJC,2017-04-01 10:30,-105.1172,39.9088,32.00,32.00,100.00,40.00,5.00,0.00,30.13,M,4.00,M,OVC,M,M,M,400.00,M,M,M,BR,KBJC 011030Z AUTO 04005KT 4SM BR OVC004 00/00 A3013 RMK AO2
BJC,2017-04-01 10:54,-105.1172,39.9088,32.00,32.00,100.00,40.00,4.00,0.00,30.14,M,7.00,M,OVC,M,M,M,400.00,M,M,M,M,KBJC 011054Z AUTO 04004KT 7SM OVC004 00/00 A3014 RMK AO2
BJC,2017-04-01 11:14,-105.1172,39.9088,32.00,32.00,100.00,30.00,3.00,0.00,30.15,M,5.00,M,BKN,OVC,M,M,400.00,1000.00,M,M,BR,KBJC 011114Z AUTO 03003KT 5SM BR BKN004 OVC010 00/00 A3015 RMK AO2
BJC,2017-04-01 11:34,-105.1172,39.9088,33.80,33.80,100.00,350.00,4.00,0.00,30.15,M,5.00,M,BKN,BKN,OVC,M,400.00,1100.00,2700.00,M,-SN,KBJC 011134Z AUTO 35004KT 5SM -SN BKN004 BKN011 OVC027 01/01 A3015 RMK AO2
BJC,2017-04-01 11:54,-105.1172,39.9088,32.00,32.00,100.00,20.00,3.00,0.00,30.16,M,5.00,M,BKN,BKN,OVC,M,400.00,1000.00,3400.00,M,-SN,KBJC 011154Z AUTO 02003KT 5SM -SN BKN004 BKN010 OVC034 00/00 A3016 RMK AO2
BJC,2017-04-01 12:47,-105.1172,39.9088,33.80,33.80,100.00,300.00,4.00,0.00,30.16,M,2.00,M,BKN,OVC,M,M,400.00,1000.00,M,M,-RA,KBJC 011247Z 30004KT 2SM -RA BKN004 OVC010 01/01 A3016
BJC,2017-04-01 13:47,-105.1172,39.9088,33.80,33.80,100.00,350.00,4.00,0.00,30.17,M,5.00,M,BKN,OVC,M,M,600.00,1000.00,M,M,BR,KBJC 011347Z 35004KT 5SM BR BKN006 OVC010 01/01 A3017
BJC,2017-04-01 14:45,-105.1172,39.9088,33.80,33.80,100.00,0.00,0.00,0.00,30.17,M,5.00,M,BKN,OVC,M,M,600.00,1000.00,M,M,BR,KBJC 011445Z 00000KT 5SM BR BKN006 OVC010 01/01 A3017
BJC,2017-04-01 15:45,-105.1172,39.9088,35.60,33.80,93.08,360.00,5.00,0.00,30.16,M,5.00,M,BKN,OVC,M,M,800.00,5000.00,M,M,BR,KBJC 011545Z 36005KT 5SM BR BKN008 OVC050 02/01 A3016
BJC,2017-04-01 16:50,-105.1172,39.9088,37.40,33.80,86.69,30.00,3.00,0.00,30.16,M,10.00,M,BKN,OVC,M,M,800.00,5000.00,M,M,M,KBJC 011650Z 03003KT 10SM BKN008 OVC050 03/01 A3016
BJC,2017-04-01 17:47,-105.1172,39.9088,37.40,32.00,80.65,M,3.00,0.00,30.15,M,10.00,M,BKN,OVC,M,M,1200.00,2500.00,M,M,M,KBJC 011747Z VRB03KT 10SM BKN012 OVC025 03/00 A3015
BJC,2017-04-01 18:50,-105.1172,39.9088,37.40,32.00,80.65,0.00,0.00,0.00,30.13,M,10.00,M,BKN,OVC,M,M,1400.00,2500.00,M,M,M,KBJC 011850Z 00000KT 10SM BKN014 OVC025 03/00 A3013
BJC,2017-04-01 19:45,-105.1172,39.9088,37.40,32.00,80.65,0.00,0.00,0.00,30.11,M,10.00,M,BKN,BKN,OVC,M,1900.00,2400.00,6500.00,M,M,KBJC 011945Z 00000KT 10SM BKN019 BKN024 OVC065 03/00 A3011
BJC,2017-04-01 20:47,-105.1172,39.9088,41.00,32.00,70.08,0.00,0.00,0.00,30.10,M,14.00,M,SCT,BKN,OVC,M,1500.00,2300.00,2900.00,M,M,KBJC 012047Z 00000KT 14SM SCT015 BKN023 OVC029 05/00 A3010
BJC,2017-04-01 21:47,-105.1172,39.9088,41.00,33.80,75.33,110.00,3.00,0.00,30.08,M,14.00,M,OVC,M,M,M,2900.00,M,M,M,M,KBJC 012147Z 11003KT 14SM OVC029 05/01 A3008
BJC,2017-04-01 22:47,-105.1172,39.9088,39.20,32.00,75.16,0.00,0.00,0.00,30.08,M,14.00,M,OVC,M,M,M,2200.00,M,M,M,M,KBJC 012247Z 00000KT 14SM OVC022 04/00 A3008
BJC,2017-04-01 23:51,-105.1172,39.9088,41.00,32.00,70.08,0.00,0.00,0.00,30.06,M,14.00,M,OVC,M,M,M,1800.00,M,M,M,M,KBJC 012351Z 00000KT 14SM OVC018 05/00 A3006
