#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BJI,2017-04-01 00:13,-94.9337,47.5094,54.00,30.20,39.96,20.00,4.00,0.00,30.05,M,10.00,M,SCT,M,M,M,6500.00,M,M,M,M,KBJI 010013Z AUTO 02004KT 10SM SCT065 12/M01 A3005 RMK AO2 T01221010
BJI,2017-04-01 00:33,-94.9337,47.5094,51.40,30.40,44.32,320.00,5.00,0.00,30.06,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBJI 010033Z AUTO 32005KT 10SM OVC065 11/M01 A3006 RMK AO2 T01081009
BJI,2017-04-01 00:53,-94.9337,47.5094,49.80,31.30,48.78,320.00,5.00,0.00,30.07,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBJI 010053Z AUTO 32005KT 10SM OVC065 10/00 A3007 RMK AO2 T00991004
BJI,2017-04-01 01:13,-94.9337,47.5094,46.80,31.30,54.58,320.00,5.00,0.00,30.07,M,10.00,M,BKN,M,M,M,6500.00,M,M,M,M,KBJI 010113Z AUTO 32005KT 10SM BKN065 08/00 A3007 RMK AO2 T00821004
BJI,2017-04-01 01:33,-94.9337,47.5094,45.70,31.30,56.90,320.00,3.00,0.00,30.07,M,10.00,M,SCT,M,M,M,6500.00,M,M,M,M,KBJI 010133Z AUTO 32003KT 10SM SCT065 08/00 A3007 RMK AO2 T00761004
BJI,2017-04-01 01:52,-94.9337,47.5094,47.10,32.00,55.52,320.00,3.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBJI 010152Z AUTO 32003KT 10SM CLR 08/00 A3008 RMK AO2 T00840000
BJI,2017-04-01 02:13,-94.9337,47.5094,45.50,32.00,58.98,300.00,3.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBJI 010213Z AUTO 30003KT 10SM CLR 08/00 A3009 RMK AO2 T00750000
BJI,2017-04-01 02:33,-94.9337,47.5094,43.50,32.00,63.65,300.00,6.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBJI 010233Z AUTO 30006KT 10SM CLR 06/00 A3010 RMK AO2 T00640000
BJI,2017-04-01 02:52,-94.9337,47.5094,41.20,32.70,71.53,300.00,7.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBJI 010252Z AUTO 30007KT 10SM CLR 05/00 A3010 RMK AO2 T00510004
BJI,2017-04-01 03:13,-94.9337,47.5094,41.90,34.30,74.23,300.00,6.00,0.00,30.11,M,10.00,M,SCT,M,M,M,6500.00,M,M,M,M,KBJI 010313Z AUTO 30006KT 10SM SCT065 06/01 A3011 RMK AO2 T00550013
BJI,2017-04-01 03:33,-94.9337,47.5094,40.60,35.10,80.58,300.00,6.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBJI 010333Z AUTO 30006KT 10SM CLR 05/02 A3011 RMK AO2 T00480017
BJI,2017-04-01 03:52,-94.9337,47.5094,39.20,35.10,85.09,320.00,5.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBJI 010352Z AUTO 32005KT 10SM CLR 04/02 A3012 RMK AO2 T00400017
