#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BKF,2017-04-01 00:33,-104.7517,39.7017,35.60,35.60,100.00,70.00,11.00,0.00,29.96,M,2.00,M,SCT,OVC,M,M,300.00,600.00,M,M,-RA BR,KBKF 010033Z 07011KT 2SM -RA BR SCT003 OVC006 02/02 A2996 RMK AO2A
BKF,2017-04-01 00:58,-104.7517,39.7017,35.10,35.10,100.00,70.00,14.00,0.00,29.96,1013.60,2.00,M,SCT,OVC,M,M,300.00,600.00,M,M,-RA BR,KBKF 010058Z 07014KT 2SM -RA BR SCT003 OVC006 02/02 A2996 RMK AO2A SLP136 P0000 T00170017
BKF,2017-04-01 01:22,-104.7517,39.7017,33.80,33.80,100.00,70.00,13.00,0.00,29.97,M,3.00,M,BKN,OVC,M,M,500.00,4000.00,M,M,BR,KBKF 010122Z 07013KT 3SM BR BKN005 OVC040 01/01 A2997 RMK AO2A
BKF,2017-04-01 01:58,-104.7517,39.7017,33.80,33.80,100.00,70.00,10.00,0.00,29.99,1014.70,6.00,M,OVC,M,M,M,500.00,M,M,M,-RA BR,KBKF 010158Z 07010KT 6SM -RA BR OVC005 01/01 A2999 RMK AO2A RAE22B58 SLP147 P0000 T00100010
BKF,2017-04-01 02:17,-104.7517,39.7017,32.00,32.00,100.00,60.00,9.00,0.00,30.00,M,7.00,M,OVC,M,M,M,400.00,M,M,M,M,KBKF 010217Z 06009KT 7SM OVC004 00/00 A3000 RMK AO2A
BKF,2017-04-01 02:58,-104.7517,39.7017,33.10,33.10,100.00,60.00,10.00,0.00,30.02,1016.20,3.00,M,OVC,M,M,M,400.00,M,M,M,BR,KBKF 010258Z 06010KT 3SM BR OVC004 01/01 A3002 RMK AO2A RAE17 SLP162 P0000 60000 T00060006 52024
BKF,2017-04-01 03:05,-104.7517,39.7017,32.00,32.00,100.00,50.00,10.00,0.00,30.03,M,1.50,M,OVC,M,M,M,300.00,M,M,M,-SN BR,KBKF 010305Z 05010KT 1 1/2SM -SN BR OVC003 00/00 A3003 RMK AO2A
BKF,2017-04-01 03:58,-104.7517,39.7017,32.20,32.20,100.00,60.00,8.00,0.01,30.06,1017.60,2.00,M,OVC,M,M,M,400.00,M,M,M,-SN BR,KBKF 010358Z 06008KT 2SM -SN BR OVC004 00/00 A3006 RMK AO2A SNB05 SLP176 P0001 T00010001
BKF,2017-04-01 04:58,-104.7517,39.7017,32.20,32.20,100.00,60.00,6.00,0.01,30.11,1018.80,2.00,M,OVC,M,M,M,400.00,M,M,M,-SN BR,KBKF 010458Z 06006KT 2SM -SN BR OVC004 00/00 A3011 RMK AO2A SLP188 P0001 T00010001
BKF,2017-04-01 05:43,-104.7517,39.7017,32.00,32.00,100.00,60.00,4.00,0.00,30.11,M,3.00,M,SCT,OVC,M,M,700.00,1100.00,M,M,-SN BR,KBKF 010543Z 06004KT 3SM -SN BR SCT007 OVC011 00/00 A3011 RMK AO2A
BKF,2017-04-01 05:58,-104.7517,39.7017,31.80,31.80,100.00,30.00,4.00,0.01,30.10,1019.50,2.50,M,FEW,OVC,M,M,600.00,1100.00,M,M,-SN BR,KBKF 010558Z 03004KT 2 1/2SM -SN BR FEW006 OVC011 00/00 A3010 RMK AO2A SLP195 P0001 60003 T10011001 10029 21001 52023
