#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BKV,2017-04-01 00:00,-82.4554,28.4736,M,M,M,240.00,10.00,M,29.91,M,10.00,M,FEW,BKN,M,M,1999.00,3000.00,M,M,M,KBKV 010000Z AUTO 24010KT 10SM FEW019 BKN030 A2991 RMK MADISHF
BKV,2017-04-01 00:05,-82.4554,28.4736,M,M,M,240.00,10.00,M,29.91,M,10.00,M,FEW,BKN,BKN,M,1999.00,2800.00,3300.00,M,M,KBKV 010005Z AUTO 24010KT 10SM FEW019 BKN028 BKN033 A2991 RMK MADISHF
BKV,2017-04-01 00:09,-82.4554,28.4736,73.90,66.90,78.77,250.00,9.00,0.00,29.91,M,10.00,M,FEW,BKN,M,M,2000.00,2800.00,M,M,M,KBKV 010009Z 25009KT 10SM FEW020 BKN028 23/19 A2991 RMK AO2 T02330194
BKV,2017-04-01 00:10,-82.4554,28.4736,M,M,M,250.00,10.00,M,29.91,M,10.00,M,FEW,BKN,M,M,1999.00,2600.00,M,M,M,KBKV 010010Z AUTO 25010KT 10SM FEW019 BKN026 A2991 RMK MADISHF
BKV,2017-04-01 00:15,-82.4554,28.4736,M,M,M,240.00,9.00,M,29.91,M,10.00,M,BKN,BKN,M,M,2400.00,2900.00,M,M,M,KBKV 010015Z AUTO 24009KT 10SM BKN024 BKN029 A2991 RMK MADISHF
BKV,2017-04-01 00:20,-82.4554,28.4736,M,M,M,240.00,7.00,M,29.91,M,10.00,M,BKN,OVC,M,M,2200.00,2900.00,M,M,M,KBKV 010020Z AUTO 24007KT 10SM BKN022 OVC029 A2991 RMK MADISHF
BKV,2017-04-01 00:25,-82.4554,28.4736,M,M,M,240.00,8.00,M,29.91,M,10.00,M,BKN,OVC,M,M,2200.00,2900.00,M,M,M,KBKV 010025Z AUTO 24008KT 10SM BKN022 OVC029 A2991 RMK MADISHF
BKV,2017-04-01 00:30,-82.4554,28.4736,M,M,M,230.00,7.00,M,29.91,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,KBKV 010030Z AUTO 23007KT 10SM OVC022 A2991 RMK MADISHF
BKV,2017-04-01 00:35,-82.4554,28.4736,M,M,M,230.00,8.00,M,29.91,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,KBKV 010035Z AUTO 23008KT 10SM OVC022 A2991 RMK MADISHF
BKV,2017-04-01 00:40,-82.4554,28.4736,M,M,M,240.00,6.00,M,29.91,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,KBKV 010040Z AUTO 24006KT 10SM OVC022 A2991 RMK MADISHF
BKV,2017-04-01 00:45,-82.4554,28.4736,M,M,M,230.00,8.00,M,29.92,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,KBKV 010045Z AUTO 23008KT 10SM OVC022 A2992 RMK MADISHF
BKV,2017-04-01 00:50,-82.4554,28.4736,M,M,M,230.00,8.00,M,29.92,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,KBKV 010050Z AUTO 23008KT 10SM OVC022 A2992 RMK MADISHF
BKV,2017-04-01 00:53,-82.4554,28.4736,73.90,66.90,78.77,240.00,9.00,0.00,29.92,1012.90,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,KBKV 010053Z 24009KT 10SM OVC022 23/19 A2992 RMK AO2 SLP129 T02330194
BKV,2017-04-01 00:55,-82.4554,28.4736,M,M,M,240.00,8.00,M,29.92,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,KBKV 010055Z AUTO 24008KT 10SM OVC022 A2992 RMK MADISHF
BKV,2017-04-01 01:00,-82.4554,28.4736,M,M,M,240.00,7.00,M,29.92,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,KBKV 010100Z AUTO 24007KT 10SM OVC022 A2992 RMK MADISHF
BKV,2017-04-01 01:05,-82.4554,28.4736,M,M,M,230.00,10.00,M,29.92,M,10.00,M,OVC,M,M,M,2200.00,M,M,M,M,KBKV 010105Z AUTO 23010KT 10SM OVC022 A2992 RMK MADISHF
BKV,2017-04-01 01:10,-82.4554,28.4736,M,M,M,240.00,6.00,M,29.92,M,10.00,M,SCT,OVC,M,M,1699.00,2400.00,M,M,M,KBKV 010110Z AUTO 24006KT 10SM SCT016 OVC024 A2992 RMK MADISHF
BKV,2017-04-01 01:15,-82.4554,28.4736,M,M,M,240.00,7.00,M,29.92,M,10.00,M,SCT,OVC,M,M,1699.00,2400.00,M,M,M,KBKV 010115Z AUTO 24007KT 10SM SCT016 OVC024 A2992 RMK MADISHF
BKV,2017-04-01 01:20,-82.4554,28.4736,M,M,M,240.00,8.00,M,29.92,M,10.00,M,FEW,OVC,M,M,1699.00,2400.00,M,M,M,KBKV 010120Z AUTO 24008KT 10SM FEW016 OVC024 A2992 RMK MADISHF
BKV,2017-04-01 01:25,-82.4554,28.4736,M,M,M,250.00,7.00,M,29.92,M,10.00,M,FEW,OVC,M,M,1699.00,2400.00,M,M,M,KBKV 010125Z AUTO 25007KT 10SM FEW016 OVC024 A2992 RMK MADISHF
BKV,2017-04-01 01:30,-82.4554,28.4736,M,M,M,250.00,8.00,M,29.93,M,10.00,M,FEW,OVC,M,M,1699.00,2300.00,M,M,M,KBKV 010130Z AUTO 25008KT 10SM FEW016 OVC023 A2993 RMK MADISHF
BKV,2017-04-01 01:35,-82.4554,28.4736,M,M,M,250.00,7.00,M,29.93,M,10.00,M,FEW,OVC,M,M,1699.00,2300.00,M,M,M,KBKV 010135Z AUTO 25007KT 10SM FEW016 OVC023 A2993 RMK MADISHF
BKV,2017-04-01 01:40,-82.4554,28.4736,M,M,M,250.00,9.00,M,29.93,M,10.00,M,OVC,M,M,M,2300.00,M,M,M,M,KBKV 010140Z AUTO 25009KT 10SM OVC023 A2993 RMK MADISHF
