#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BKW,2017-04-01 00:00,-81.1242,37.7873,M,M,M,280.00,10.00,M,29.78,M,10.00,M,FEW,BKN,OVC,M,1300.00,2700.00,3200.00,M,-RA,KBKW 010000Z AUTO 28010KT 10SM -RA FEW013 BKN027 OVC032 A2978 RMK CIG 022 RWY19  MADISHF
BKW,2017-04-01 00:05,-81.1242,37.7873,M,M,M,270.00,8.00,M,29.79,M,10.00,M,FEW,BKN,OVC,M,1500.00,2100.00,2900.00,M,-RA,KBKW 010005Z AUTO 27008KT 10SM -RA FEW015 BKN021 OVC029 A2979 RMK MADISHF
BKW,2017-04-01 00:10,-81.1242,37.7873,M,M,M,290.00,9.00,M,29.79,M,10.00,M,FEW,BKN,OVC,M,1300.00,1999.00,3300.00,M,-RA,KBKW 010010Z AUTO 29009KT 10SM -RA FEW013 BKN019 OVC033 A2979 RMK MADISHF
BKW,2017-04-01 00:15,-81.1242,37.7873,M,M,M,280.00,9.00,M,29.79,M,9.00,M,SCT,BKN,OVC,M,1300.00,1800.00,3100.00,M,-RA,KBKW 010015Z AUTO 28009KT 9SM -RA SCT013 BKN018 OVC031 A2979 RMK MADISHF
BKW,2017-04-01 00:20,-81.1242,37.7873,M,M,M,280.00,11.00,0.01,29.79,M,7.00,16.00,FEW,BKN,OVC,M,1300.00,1800.00,2900.00,M,-RA,KBKW 010020Z AUTO 28011G16KT 7SM -RA FEW013 BKN018 OVC029 A2979 RMK P0001 MADISHF
BKW,2017-04-01 00:25,-81.1242,37.7873,M,M,M,280.00,9.00,0.01,29.79,M,5.00,M,FEW,BKN,OVC,M,1300.00,1800.00,2600.00,M,-RA BR,KBKW 010025Z AUTO 28009KT 5SM -RA BR FEW013 BKN018 OVC026 A2979 RMK P0001 MADISHF
BKW,2017-04-01 00:30,-81.1242,37.7873,M,M,M,290.00,8.00,0.01,29.79,M,4.00,M,FEW,BKN,OVC,M,900.00,1500.00,2500.00,M,-RA BR,KBKW 010030Z AUTO 29008KT 4SM -RA BR FEW009 BKN015 OVC025 A2979 RMK P0001 MADISHF
BKW,2017-04-01 00:35,-81.1242,37.7873,46.90,45.00,93.06,290.00,8.00,0.02,29.80,M,5.00,M,SCT,BKN,OVC,M,900.00,1800.00,2500.00,M,-RA BR,KBKW 010035Z AUTO 29008KT 5SM -RA BR SCT009 BKN018 OVC025 08/07 A2980 RMK AO2 RAB2353 P0002 T00830072
BKW,2017-04-01 00:40,-81.1242,37.7873,M,M,M,280.00,7.00,0.02,29.80,M,6.00,M,SCT,BKN,OVC,M,800.00,1400.00,1900.00,M,-RA BR,KBKW 010040Z AUTO 28007KT 6SM -RA BR SCT008 BKN014 OVC019 A2980 RMK P0002 MADISHF
BKW,2017-04-01 00:45,-81.1242,37.7873,M,M,M,280.00,7.00,0.02,29.80,M,7.00,M,SCT,OVC,M,M,900.00,1699.00,M,M,-RA,KBKW 010045Z AUTO 28007KT 7SM -RA SCT009 OVC016 A2980 RMK P0002 MADISHF
BKW,2017-04-01 00:50,-81.1242,37.7873,M,M,M,280.00,7.00,0.02,29.80,M,7.00,M,SCT,OVC,M,M,800.00,1500.00,M,M,-RA,KBKW 010050Z AUTO 28007KT 7SM -RA SCT008 OVC015 A2980 RMK P0002 MADISHF
BKW,2017-04-01 00:51,-81.1242,37.7873,46.90,45.00,93.06,280.00,6.00,0.02,29.80,1008.80,7.00,M,SCT,SCT,OVC,M,800.00,1200.00,1800.00,M,-RA,KBKW 010051Z AUTO 28006KT 7SM -RA SCT008 SCT012 OVC018 08/07 A2980 RMK AO2 RAB2353 SLP088 P0002 T00830072
BKW,2017-04-01 00:55,-81.1242,37.7873,M,M,M,280.00,7.00,M,29.80,M,9.00,M,SCT,BKN,OVC,M,800.00,1500.00,2100.00,M,-RA,KBKW 010055Z AUTO 28007KT 9SM -RA SCT008 BKN015 OVC021 A2980 RMK MADISHF
BKW,2017-04-01 01:00,-81.1242,37.7873,M,M,M,280.00,6.00,M,29.80,M,6.00,M,SCT,BKN,OVC,M,600.00,999.00,2100.00,M,-RA BR,KBKW 010100Z AUTO 28006KT 6SM -RA BR SCT006 BKN009 OVC021 A2980 RMK MADISHF
BKW,2017-04-01 01:01,-81.1242,37.7873,46.90,45.00,93.06,270.00,6.00,0.00,29.80,M,6.00,M,BKN,BKN,OVC,M,700.00,1500.00,2100.00,M,-RA BR,KBKW 010101Z AUTO 27006KT 6SM -RA BR BKN007 BKN015 OVC021 08/07 A2980 RMK AO2 VIS 2 1/2 RWY19 P0000 T00830072
BKW,2017-04-01 01:05,-81.1242,37.7873,M,M,M,270.00,7.00,M,29.81,M,5.00,M,BKN,OVC,M,M,700.00,1500.00,M,M,-RA BR,KBKW 010105Z AUTO 27007KT 5SM -RA BR BKN007 OVC015 A2981 RMK VIS 2 RWY19  MADISHF
BKW,2017-04-01 01:10,-81.1242,37.7873,M,M,M,270.00,8.00,0.01,29.81,M,4.00,M,BKN,OVC,M,M,600.00,1600.00,M,M,-RA BR,KBKW 010110Z AUTO 27008KT 4SM -RA BR BKN006 OVC016 A2981 RMK P0001 VIS 1 3/4 RWY19  MADISHF
BKW,2017-04-01 01:15,-81.1242,37.7873,M,M,M,270.00,8.00,0.01,29.81,M,3.00,M,BKN,BKN,OVC,M,400.00,800.00,1500.00,M,-RA BR,KBKW 010115Z AUTO 27008KT 3SM -RA BR BKN004 BKN008 OVC015 A2981 RMK P0001 VIS 1 1/2 RWY19  MADISHF
BKW,2017-04-01 01:18,-81.1242,37.7873,46.90,45.00,93.06,280.00,8.00,0.01,29.81,M,3.00,M,BKN,BKN,OVC,M,400.00,800.00,1400.00,M,-RA BR,KBKW 010118Z AUTO 28008KT 3SM -RA BR BKN004 BKN008 OVC014 08/07 A2981 RMK AO2 VIS 1 1/2 RWY19 P0001 T00830072
BKW,2017-04-01 01:20,-81.1242,37.7873,M,M,M,280.00,8.00,0.01,29.81,M,3.50,M,BKN,BKN,OVC,M,400.00,800.00,1400.00,M,-RA BR,KBKW 010120Z AUTO 28008KT 3SM -RA BR BKN004 BKN008 OVC014 A2981 RMK P0001 VIS 1 1/2 RWY19  MADISHF
BKW,2017-04-01 01:25,-81.1242,37.7873,M,M,M,270.00,8.00,0.02,29.82,M,4.00,M,BKN,BKN,OVC,M,499.00,900.00,1300.00,M,-RA BR,KBKW 010125Z AUTO 27008KT 4SM -RA BR BKN004 BKN009 OVC013 A2982 RMK P0002 VIS 2 1/2 RWY19  MADISHF
BKW,2017-04-01 01:30,-81.1242,37.7873,M,M,M,270.00,8.00,0.02,29.82,M,4.00,M,BKN,BKN,OVC,M,400.00,800.00,1400.00,M,-RA BR,KBKW 010130Z AUTO 27008KT 4SM -RA BR BKN004 BKN008 OVC014 A2982 RMK P0002 MADISHF
BKW,2017-04-01 01:35,-81.1242,37.7873,M,M,M,270.00,9.00,0.03,29.82,M,5.00,M,BKN,BKN,OVC,M,400.00,800.00,1400.00,M,-RA BR,KBKW 010135Z AUTO 27009KT 5SM -RA BR BKN004 BKN008 OVC014 A2982 RMK P0003 MADISHF
BKW,2017-04-01 01:39,-81.1242,37.7873,46.90,45.00,93.06,270.00,8.00,0.03,29.82,M,6.00,M,SCT,OVC,M,M,500.00,1400.00,M,M,-RA BR,KBKW 010139Z AUTO 27008KT 6SM -RA BR SCT005 OVC014 08/07 A2982 RMK AO2 CIG 004 RWY19 P0003 T00830072
BKW,2017-04-01 01:40,-81.1242,37.7873,M,M,M,270.00,8.00,0.03,29.82,M,7.00,M,SCT,BKN,OVC,M,400.00,1400.00,2400.00,M,-RA,KBKW 010140Z AUTO 27008KT 7SM -RA SCT004 BKN014 OVC024 A2982 RMK P0003 CIG 004 RWY19  MADISHF
BKW,2017-04-01 01:45,-81.1242,37.7873,M,M,M,270.00,8.00,0.03,29.82,M,10.00,M,SCT,BKN,OVC,M,499.00,1500.00,2300.00,M,-RA,KBKW 010145Z AUTO 27008KT 10SM -RA SCT004 BKN015 OVC023 A2982 RMK P0003 CIG 010 RWY19  MADISHF
BKW,2017-04-01 01:49,-81.1242,37.7873,46.40,44.60,93.40,270.00,7.00,0.03,29.82,M,10.00,M,SCT,BKN,OVC,M,400.00,1500.00,2200.00,M,-RA,KBKW 010149Z AUTO 27007KT 10SM -RA SCT004 BKN015 OVC022 08/07 A2982 RMK AO2 CIG 010 RWY19 P0003
BKW,2017-04-01 01:50,-81.1242,37.7873,M,M,M,280.00,8.00,0.03,29.82,M,10.00,M,SCT,SCT,OVC,M,499.00,900.00,1500.00,M,-RA,KBKW 010150Z AUTO 28008KT 10SM -RA SCT004 SCT009 OVC015 A2982 RMK P0003 CIG 008 RWY19  MADISHF
BKW,2017-04-01 01:51,-81.1242,37.7873,46.90,45.00,93.06,280.00,7.00,0.03,29.82,1009.70,10.00,M,SCT,SCT,OVC,M,500.00,900.00,1500.00,M,-RA,KBKW 010151Z AUTO 28007KT 10SM -RA SCT005 SCT009 OVC015 08/07 A2982 RMK AO2 CIG 010 RWY19 SLP097 P0003 T00830072
BKW,2017-04-01 01:55,-81.1242,37.7873,M,M,M,270.00,9.00,M,29.82,M,10.00,M,BKN,OVC,M,M,600.00,1500.00,M,M,-RA,KBKW 010155Z AUTO 27009KT 10SM -RA BKN006 OVC015 A2982 RMK MADISHF
BKW,2017-04-01 01:59,-81.1242,37.7873,46.90,45.00,93.06,280.00,10.00,0.00,29.83,M,10.00,M,BKN,BKN,OVC,M,600.00,1100.00,1700.00,M,-RA,KBKW 010159Z AUTO 28010KT 10SM -RA BKN006 BKN011 OVC017 08/07 A2983 RMK AO2 P0000 T00830072
BKW,2017-04-01 02:00,-81.1242,37.7873,M,M,M,280.00,10.00,M,29.83,M,10.00,M,BKN,BKN,OVC,M,600.00,1100.00,1699.00,M,-RA,KBKW 010200Z AUTO 28010KT 10SM -RA BKN006 BKN011 OVC016 A2983 RMK MADISHF
