#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BLF,2017-04-01 00:00,-81.2077,37.2958,M,M,M,280.00,8.00,M,29.80,M,10.00,M,BKN,BKN,OVC,M,1500.00,2400.00,3200.00,M,M,KBLF 010000Z AUTO 28008KT 10SM BKN015 BKN024 OVC032 A2980 RMK MADISHF
BLF,2017-04-01 00:05,-81.2077,37.2958,M,M,M,280.00,10.00,M,29.80,M,10.00,M,SCT,BKN,OVC,M,1300.00,1800.00,3000.00,M,M,KBLF 010005Z AUTO 28010KT 10SM SCT013 BKN018 OVC030 A2980 RMK MADISHF
BLF,2017-04-01 00:10,-81.2077,37.2958,M,M,M,280.00,8.00,M,29.80,M,10.00,M,BKN,BKN,OVC,M,1300.00,1800.00,3300.00,M,M,KBLF 010010Z AUTO 28008KT 10SM BKN013 BKN018 OVC033 A2980 RMK MADISHF
BLF,2017-04-01 00:15,-81.2077,37.2958,M,M,M,280.00,10.00,M,29.80,M,9.00,M,SCT,BKN,OVC,M,999.00,1800.00,2700.00,M,M,KBLF 010015Z AUTO 28010KT 9SM SCT009 BKN018 OVC027 A2980 RMK MADISHF
BLF,2017-04-01 00:20,-81.2077,37.2958,M,M,M,270.00,13.00,M,29.81,M,7.00,18.00,BKN,OVC,M,M,1300.00,2100.00,M,M,-RA,KBLF 010020Z AUTO 27013G18KT 7SM -RA BKN013 OVC021 A2981 RMK MADISHF
BLF,2017-04-01 00:25,-81.2077,37.2958,M,M,M,290.00,11.00,M,29.81,M,6.00,M,SCT,BKN,OVC,M,999.00,1500.00,1999.00,M,-RA BR,KBLF 010025Z AUTO 29011KT 6SM -RA BR SCT009 BKN015 OVC019 A2981 RMK MADISHF
BLF,2017-04-01 00:30,-81.2077,37.2958,M,M,M,300.00,9.00,M,29.81,M,8.00,M,SCT,BKN,OVC,M,999.00,1300.00,3200.00,M,M,KBLF 010030Z AUTO 30009KT 8SM SCT009 BKN013 OVC032 A2981 RMK MADISHF
BLF,2017-04-01 00:32,-81.2077,37.2958,45.00,42.10,89.49,300.00,9.00,0.00,29.81,M,9.00,M,BKN,BKN,OVC,M,1000.00,1500.00,3200.00,M,M,KBLF 010032Z AUTO 30009KT 9SM BKN010 BKN015 OVC032 07/06 A2981 RMK AO2 RAE2359B16E30 P0000 T00720056 TSNO
BLF,2017-04-01 00:35,-81.2077,37.2958,M,M,M,290.00,10.00,M,29.81,M,10.00,M,SCT,BKN,OVC,M,999.00,1500.00,3200.00,M,M,KBLF 010035Z AUTO 29010KT 10SM SCT009 BKN015 OVC032 A2981 RMK MADISHF
BLF,2017-04-01 00:36,-81.2077,37.2958,45.00,42.10,89.49,290.00,9.00,0.00,29.81,M,9.00,M,FEW,BKN,OVC,M,700.00,1500.00,2700.00,M,M,KBLF 010036Z AUTO 29009KT 9SM FEW007 BKN015 OVC027 07/06 A2981 RMK AO2 RAE2359B16E30 P0000 T00720056 TSNO
BLF,2017-04-01 00:38,-81.2077,37.2958,45.00,42.10,89.49,290.00,9.00,0.00,29.81,M,8.00,M,BKN,BKN,OVC,M,900.00,1700.00,2700.00,M,M,KBLF 010038Z AUTO 29009KT 8SM BKN009 BKN017 OVC027 07/06 A2981 RMK AO2 RAE2359B16E30 P0000 T00720056 TSNO
BLF,2017-04-01 00:40,-81.2077,37.2958,M,M,M,290.00,11.00,M,29.81,M,8.00,M,SCT,BKN,OVC,M,900.00,1300.00,2700.00,M,M,KBLF 010040Z AUTO 29011KT 8SM SCT009 BKN013 OVC027 A2981 RMK MADISHF
BLF,2017-04-01 00:41,-81.2077,37.2958,45.00,42.10,89.49,290.00,10.00,0.00,29.81,M,8.00,19.00,SCT,BKN,OVC,M,900.00,1800.00,2700.00,M,M,KBLF 010041Z AUTO 29010G19KT 8SM SCT009 BKN018 OVC027 07/06 A2981 RMK AO2 RAE2359B16E30 P0000 T00720056 TSNO
BLF,2017-04-01 00:45,-81.2077,37.2958,M,M,M,290.00,9.00,M,29.81,M,7.00,M,BKN,BKN,OVC,M,900.00,1800.00,2700.00,M,M,KBLF 010045Z AUTO 29009KT 7SM BKN009 BKN018 OVC027 A2981 RMK MADISHF
BLF,2017-04-01 00:50,-81.2077,37.2958,M,M,M,290.00,9.00,M,29.82,M,5.00,M,SCT,BKN,OVC,M,700.00,1100.00,2900.00,M,-RA BR,KBLF 010050Z AUTO 29009KT 5SM -RA BR SCT007 BKN011 OVC029 A2982 RMK MADISHF
BLF,2017-04-01 00:52,-81.2077,37.2958,45.00,43.00,92.65,290.00,8.00,0.00,29.82,1008.70,4.00,19.00,SCT,BKN,OVC,M,700.00,1100.00,2900.00,M,-RA BR,KBLF 010052Z AUTO 29008G19KT 4SM -RA BR SCT007 BKN011 OVC029 07/06 A2982 RMK AO2 RAE2359B16E30B50 SLP087 P0000 T00720061 TSNO
BLF,2017-04-01 00:55,-81.2077,37.2958,M,M,M,290.00,8.00,0.01,29.82,M,4.00,M,BKN,BKN,OVC,M,700.00,1100.00,2900.00,M,-RA BR,KBLF 010055Z AUTO 29008KT 4SM -RA BR BKN007 BKN011 OVC029 A2982 RMK P0001 MADISHF
BLF,2017-04-01 01:00,-81.2077,37.2958,M,M,M,290.00,10.00,0.01,29.82,M,5.00,16.00,BKN,BKN,OVC,M,700.00,1100.00,2100.00,M,-RA BR,KBLF 010100Z AUTO 29010G16KT 5SM -RA BR BKN007 BKN011 OVC021 A2982 RMK P0001 MADISHF
BLF,2017-04-01 01:01,-81.2077,37.2958,45.00,43.00,92.65,290.00,11.00,0.01,29.82,M,5.00,16.00,BKN,BKN,OVC,M,700.00,1100.00,2100.00,M,-RA BR,KBLF 010101Z AUTO 29011G16KT 5SM -RA BR BKN007 BKN011 OVC021 07/06 A2982 RMK AO2 P0001 T00720061 TSNO
BLF,2017-04-01 01:05,-81.2077,37.2958,M,M,M,290.00,9.00,0.02,29.82,M,5.00,M,BKN,BKN,OVC,M,499.00,1100.00,2100.00,M,-RA BR,KBLF 010105Z AUTO 29009KT 5SM -RA BR BKN004 BKN011 OVC021 A2982 RMK P0002 MADISHF
BLF,2017-04-01 01:10,-81.2077,37.2958,M,M,M,290.00,12.00,0.02,29.82,M,4.00,18.00,BKN,OVC,M,M,499.00,1100.00,M,M,RA BR,KBLF 010110Z AUTO 29012G18KT 4SM RA BR BKN004 OVC011 A2982 RMK P0002 MADISHF
BLF,2017-04-01 01:15,-81.2077,37.2958,M,M,M,280.00,9.00,0.02,29.83,M,6.00,14.00,OVC,M,M,M,499.00,M,M,M,-RA BR,KBLF 010115Z AUTO 28009G14KT 6SM -RA BR OVC004 A2983 RMK P0002 MADISHF
BLF,2017-04-01 01:20,-81.2077,37.2958,M,M,M,290.00,10.00,0.02,29.83,M,10.00,M,BKN,OVC,M,M,499.00,1100.00,M,M,M,KBLF 010120Z AUTO 29010KT 10SM BKN004 OVC011 A2983 RMK P0002 MADISHF
BLF,2017-04-01 01:25,-81.2077,37.2958,M,M,M,290.00,9.00,0.02,29.83,M,10.00,M,BKN,OVC,M,M,499.00,1100.00,M,M,M,KBLF 010125Z AUTO 29009KT 10SM BKN004 OVC011 A2983 RMK P0002 CIG 4V8  MADISHF
BLF,2017-04-01 01:30,-81.2077,37.2958,M,M,M,290.00,9.00,0.02,29.83,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KBLF 010130Z AUTO 29009KT 10SM OVC008 A2983 RMK P0002 WND 26V33 CIG 4V13  MADISHF
