#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BLH,2017-04-01 00:00,-114.7169,33.6192,M,M,M,350.00,16.00,M,29.71,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KBLH 010000Z AUTO 35016KT 10SM OVC110 A2971 RMK MADISHF
BLH,2017-04-01 00:05,-114.7169,33.6192,M,M,M,360.00,17.00,M,29.71,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KBLH 010005Z AUTO 36017KT 10SM OVC100 A2971 RMK MADISHF
BLH,2017-04-01 00:10,-114.7169,33.6192,M,M,M,360.00,15.00,M,29.71,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KBLH 010010Z AUTO 36015KT 10SM OVC100 A2971 RMK MADISHF
BLH,2017-04-01 00:15,-114.7169,33.6192,M,M,M,350.00,13.00,M,29.72,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KBLH 010015Z AUTO 35013KT 10SM OVC100 A2972 RMK MADISHF
BLH,2017-04-01 00:20,-114.7169,33.6192,M,M,M,360.00,15.00,M,29.72,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KBLH 010020Z AUTO 36015KT 10SM OVC100 A2972 RMK MADISHF
BLH,2017-04-01 00:25,-114.7169,33.6192,M,M,M,360.00,15.00,M,29.72,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KBLH 010025Z AUTO 36015KT 10SM OVC100 A2972 RMK MADISHF
BLH,2017-04-01 00:30,-114.7169,33.6192,M,M,M,360.00,13.00,M,29.72,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KBLH 010030Z AUTO 36013KT 10SM OVC100 A2972 RMK MADISHF
BLH,2017-04-01 00:35,-114.7169,33.6192,M,M,M,360.00,12.00,M,29.72,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KBLH 010035Z AUTO 36012KT 10SM OVC110 A2972 RMK MADISHF
BLH,2017-04-01 00:40,-114.7169,33.6192,M,M,M,10.00,11.00,M,29.72,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KBLH 010040Z AUTO 01011KT 10SM OVC110 A2972 RMK MADISHF
BLH,2017-04-01 00:45,-114.7169,33.6192,M,M,M,360.00,11.00,M,29.72,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KBLH 010045Z AUTO 36011KT 10SM BKN110 A2972 RMK MADISHF
BLH,2017-04-01 00:50,-114.7169,33.6192,M,M,M,10.00,10.00,M,29.72,M,10.00,M,BKN,M,M,M,11000.00,M,M,M,M,KBLH 010050Z AUTO 01010KT 10SM BKN110 A2972 RMK MADISHF
