#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BLI,2017-04-01 00:00,-122.5375,48.7927,M,M,M,170.00,4.00,M,30.30,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBLI 010000Z AUTO 17004KT 10SM OVC070 A3030 RMK MADISHF
BLI,2017-04-01 00:05,-122.5375,48.7927,M,M,M,180.00,4.00,M,30.30,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBLI 010005Z AUTO 18004KT 10SM OVC070 A3030 RMK MADISHF
BLI,2017-04-01 00:10,-122.5375,48.7927,M,M,M,230.00,3.00,M,30.30,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBLI 010010Z AUTO 23003KT 10SM OVC070 A3030 RMK MADISHF
BLI,2017-04-01 00:15,-122.5375,48.7927,M,M,M,210.00,3.00,M,30.30,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBLI 010015Z AUTO 21003KT 10SM OVC070 A3030 RMK MADISHF
BLI,2017-04-01 00:20,-122.5375,48.7927,M,M,M,220.00,3.00,M,30.30,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBLI 010020Z AUTO 22003KT 10SM OVC070 A3030 RMK MADISHF
BLI,2017-04-01 00:25,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.29,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBLI 010025Z AUTO 00000KT 10SM OVC070 A3029 RMK MADISHF
BLI,2017-04-01 00:30,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.29,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBLI 010030Z AUTO 00000KT 10SM OVC070 A3029 RMK MADISHF
BLI,2017-04-01 00:35,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.29,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBLI 010035Z AUTO 00000KT 10SM OVC070 A3029 RMK MADISHF
BLI,2017-04-01 00:40,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.29,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBLI 010040Z AUTO 00000KT 10SM OVC070 A3029 RMK MADISHF
BLI,2017-04-01 00:45,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.29,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBLI 010045Z AUTO 00000KT 10SM OVC070 A3029 RMK MADISHF
BLI,2017-04-01 00:50,-122.5375,48.7927,M,M,M,290.00,4.00,M,30.29,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBLI 010050Z AUTO 29004KT 10SM OVC070 A3029 RMK MADISHF
BLI,2017-04-01 00:53,-122.5375,48.7927,53.10,39.90,60.73,M,3.00,0.00,30.29,1026.50,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBLI 010053Z VRB03KT 10SM OVC070 12/04 A3029 RMK AO2 SLP265 T01170044
BLI,2017-04-01 00:55,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.29,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,M,KBLI 010055Z AUTO 00000KT 10SM OVC070 A3029 RMK MADISHF
BLI,2017-04-01 01:00,-122.5375,48.7927,M,M,M,300.00,3.00,M,30.28,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010100Z AUTO 30003KT 10SM OVC065 A3028 RMK VRB03KT  MADISHF
BLI,2017-04-01 01:05,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.28,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010105Z AUTO 00000KT 10SM OVC065 A3028 RMK MADISHF
BLI,2017-04-01 01:10,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.27,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010110Z AUTO 00000KT 10SM OVC065 A3027 RMK MADISHF
BLI,2017-04-01 01:15,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.27,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010115Z AUTO 00000KT 10SM OVC065 A3027 RMK MADISHF
BLI,2017-04-01 01:20,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.27,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010120Z AUTO 00000KT 10SM OVC065 A3027 RMK MADISHF
BLI,2017-04-01 01:25,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.27,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010125Z AUTO 00000KT 10SM OVC065 A3027 RMK MADISHF
BLI,2017-04-01 01:30,-122.5375,48.7927,M,M,M,140.00,3.00,M,30.26,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010130Z AUTO 14003KT 10SM OVC065 A3026 RMK MADISHF
BLI,2017-04-01 01:35,-122.5375,48.7927,M,M,M,160.00,3.00,M,30.26,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010135Z AUTO 16003KT 10SM OVC065 A3026 RMK MADISHF
BLI,2017-04-01 01:40,-122.5375,48.7927,M,M,M,170.00,3.00,M,30.26,M,10.00,M,BKN,M,M,M,6500.00,M,M,M,M,KBLI 010140Z AUTO 17003KT 10SM BKN065 A3026 RMK MADISHF
BLI,2017-04-01 01:45,-122.5375,48.7927,M,M,M,170.00,3.00,M,30.27,M,10.00,M,BKN,OVC,M,M,6500.00,12000.00,M,M,M,KBLI 010145Z AUTO 17003KT 10SM BKN065 OVC120 A3027 RMK MADISHF
BLI,2017-04-01 01:50,-122.5375,48.7927,M,M,M,210.00,3.00,M,30.27,M,10.00,M,BKN,OVC,M,M,6500.00,12000.00,M,M,M,KBLI 010150Z AUTO 21003KT 10SM BKN065 OVC120 A3027 RMK MADISHF
BLI,2017-04-01 01:53,-122.5375,48.7927,52.00,42.10,68.86,0.00,0.00,0.00,30.27,1025.70,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010153Z 00000KT 10SM OVC065 11/06 A3027 RMK AO2 SLP257 T01110056
BLI,2017-04-01 01:55,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.27,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010155Z AUTO 00000KT 10SM OVC065 A3027 RMK MADISHF
BLI,2017-04-01 02:00,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.27,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010200Z AUTO 00000KT 10SM OVC065 A3027 RMK MADISHF
BLI,2017-04-01 02:05,-122.5375,48.7927,M,M,M,210.00,3.00,M,30.26,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010205Z AUTO 21003KT 10SM OVC065 A3026 RMK MADISHF
BLI,2017-04-01 02:10,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.26,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010210Z AUTO 00000KT 10SM OVC065 A3026 RMK MADISHF
BLI,2017-04-01 02:15,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.26,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010215Z AUTO 00000KT 10SM OVC065 A3026 RMK MADISHF
BLI,2017-04-01 02:20,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.26,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010220Z AUTO 00000KT 10SM OVC065 A3026 RMK MADISHF
BLI,2017-04-01 02:25,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.26,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010225Z AUTO 00000KT 10SM OVC065 A3026 RMK MADISHF
BLI,2017-04-01 02:30,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.25,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010230Z AUTO 00000KT 10SM OVC065 A3025 RMK MADISHF
BLI,2017-04-01 02:35,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.25,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010235Z AUTO 00000KT 10SM OVC065 A3025 RMK MADISHF
BLI,2017-04-01 02:40,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.25,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010240Z AUTO 00000KT 10SM OVC065 A3025 RMK MADISHF
BLI,2017-04-01 02:45,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.25,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010245Z AUTO 00000KT 10SM OVC065 A3025 RMK MADISHF
BLI,2017-04-01 02:50,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.24,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010250Z AUTO 00000KT 10SM OVC065 A3024 RMK MADISHF
BLI,2017-04-01 02:53,-122.5375,48.7927,51.10,42.10,71.19,0.00,0.00,0.00,30.24,1024.90,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010253Z 00000KT 10SM OVC065 11/06 A3024 RMK AO2 SLP249 T01060056 58018
BLI,2017-04-01 02:55,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.24,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010255Z AUTO 00000KT 10SM OVC065 A3024 RMK MADISHF
BLI,2017-04-01 03:00,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.25,M,10.00,M,OVC,M,M,M,6500.00,M,M,M,M,KBLI 010300Z AUTO 00000KT 10SM OVC065 A3025 RMK MADISHF
BLI,2017-04-01 03:05,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.24,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KBLI 010305Z AUTO 00000KT 10SM OVC060 A3024 RMK MADISHF
BLI,2017-04-01 03:10,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.24,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KBLI 010310Z AUTO 00000KT 10SM OVC060 A3024 RMK MADISHF
BLI,2017-04-01 03:15,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.24,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KBLI 010315Z AUTO 00000KT 10SM OVC060 A3024 RMK MADISHF
BLI,2017-04-01 03:20,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.25,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KBLI 010320Z AUTO 00000KT 10SM OVC060 A3025 RMK MADISHF
BLI,2017-04-01 03:25,-122.5375,48.7927,M,M,M,0.00,0.00,M,30.25,M,10.00,M,OVC,M,M,M,6000.00,M,M,M,M,KBLI 010325Z AUTO 00000KT 10SM OVC060 A3025 RMK MADISHF
