#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BLM,2017-04-01 00:00,-74.1300,40.1800,M,M,M,60.00,10.00,0.02,29.70,M,8.00,M,OVC,M,M,M,499.00,M,M,M,RA,KBLM 010000Z AUTO 06010KT 8SM RA OVC004 A2970 RMK P0002 MADISHF
BLM,2017-04-01 00:05,-74.1300,40.1800,M,M,M,60.00,10.00,0.06,29.70,M,7.00,M,OVC,M,M,M,499.00,M,M,M,+RA,KBLM 010005Z AUTO 06010KT 7SM +RA OVC004 A2970 RMK P0006 MADISHF
BLM,2017-04-01 00:10,-74.1300,40.1800,M,M,M,60.00,11.00,0.08,29.69,M,7.00,M,OVC,M,M,M,499.00,M,M,M,RA,KBLM 010010Z AUTO 06011KT 7SM RA OVC004 A2969 RMK P0008 MADISHF
BLM,2017-04-01 00:15,-74.1300,40.1800,M,M,M,30.00,10.00,0.10,29.69,M,6.00,M,OVC,M,M,M,499.00,M,M,M,RA BR,KBLM 010015Z AUTO 03010KT 6SM RA BR OVC004 A2969 RMK P0010 MADISHF
BLM,2017-04-01 00:20,-74.1300,40.1800,M,M,M,30.00,9.00,0.11,29.70,M,6.00,M,OVC,M,M,M,499.00,M,M,M,RA BR,KBLM 010020Z AUTO 03009KT 6SM RA BR OVC004 A2970 RMK P0011 MADISHF
BLM,2017-04-01 00:25,-74.1300,40.1800,M,M,M,360.00,5.00,0.13,29.71,M,6.00,M,OVC,M,M,M,499.00,M,M,M,RA BR,KBLM 010025Z AUTO 36005KT 6SM RA BR OVC004 A2971 RMK P0013 MADISHF
BLM,2017-04-01 00:30,-74.1300,40.1800,M,M,M,320.00,5.00,0.13,29.72,M,6.00,M,OVC,M,M,M,499.00,M,M,M,RA BR,KBLM 010030Z AUTO 32005KT 6SM RA BR OVC004 A2972 RMK P0013 MADISHF
BLM,2017-04-01 00:35,-74.1300,40.1800,M,M,M,330.00,6.00,0.16,29.72,M,5.00,M,OVC,M,M,M,499.00,M,M,M,RA BR,KBLM 010035Z AUTO 33006KT 5SM RA BR OVC004 A2972 RMK P0016 MADISHF
BLM,2017-04-01 00:40,-74.1300,40.1800,M,M,M,360.00,7.00,0.18,29.72,M,5.00,M,OVC,M,M,M,499.00,M,M,M,RA BR,KBLM 010040Z AUTO 36007KT 5SM RA BR OVC004 A2972 RMK P0018 MADISHF
BLM,2017-04-01 00:45,-74.1300,40.1800,M,M,M,340.00,5.00,0.18,29.72,M,6.00,M,OVC,M,M,M,499.00,M,M,M,-RA BR,KBLM 010045Z AUTO 34005KT 6SM -RA BR OVC004 A2972 RMK P0018 MADISHF
