#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BMC,2017-04-01 00:15,-112.0622,41.5524,54.90,34.50,45.97,60.00,14.00,0.00,29.84,M,10.00,24.00,SCT,M,M,M,9500.00,M,M,M,M,KBMC 010015Z AUTO 06014G24KT 10SM SCT095 13/01 A2984 RMK AO1 T01270014
BMC,2017-04-01 00:35,-112.0622,41.5524,55.60,32.70,41.70,300.00,11.00,0.00,29.86,M,10.00,22.00,SCT,BKN,M,M,6000.00,10000.00,M,M,M,KBMC 010035Z AUTO 30011G22KT 10SM SCT060 BKN100 13/00 A2986 RMK AO1 T01310004
BMC,2017-04-01 00:55,-112.0622,41.5524,55.80,32.20,40.58,40.00,9.00,0.00,29.86,M,10.00,28.00,SCT,SCT,BKN,M,6000.00,8000.00,10000.00,M,M,KBMC 010055Z AUTO 04009G28KT 350V100 10SM SCT060 SCT080 BKN100 13/00 A2986 RMK AO1 T01320001
BMC,2017-04-01 01:15,-112.0622,41.5524,55.60,32.00,40.54,90.00,16.00,0.00,29.87,M,10.00,23.00,SCT,SCT,BKN,M,6500.00,8000.00,10000.00,M,M,KBMC 010115Z AUTO 09016G23KT 10SM SCT065 SCT080 BKN100 13/00 A2987 RMK AO1 T01310000
BMC,2017-04-01 01:35,-112.0622,41.5524,56.10,30.40,37.32,90.00,4.00,0.00,29.88,M,10.00,M,BKN,OVC,M,M,6500.00,10000.00,M,M,M,KBMC 010135Z AUTO 09004KT 10SM BKN065 OVC100 13/M01 A2988 RMK AO1 T01341009
BMC,2017-04-01 01:55,-112.0622,41.5524,55.60,30.20,37.69,60.00,5.00,0.00,29.90,M,10.00,27.00,BKN,BKN,OVC,M,6000.00,7500.00,10000.00,M,M,KBMC 010155Z AUTO 06005G27KT 10SM BKN060 BKN075 OVC100 13/M01 A2990 RMK AO1 T01311010
BMC,2017-04-01 02:15,-112.0622,41.5524,55.40,31.50,40.02,90.00,8.00,0.00,29.91,M,10.00,M,BKN,OVC,M,M,6000.00,10000.00,M,M,M,KBMC 010215Z AUTO 09008KT 070V130 10SM BKN060 OVC100 13/00 A2991 RMK AO1 T01301003
BMC,2017-04-01 02:35,-112.0622,41.5524,54.30,32.90,44.07,120.00,5.00,0.00,29.91,M,10.00,21.00,BKN,BKN,OVC,M,6000.00,7000.00,9000.00,M,M,KBMC 010235Z AUTO 12005G21KT 10SM BKN060 BKN070 OVC090 12/01 A2991 RMK AO1 T01240005
BMC,2017-04-01 02:55,-112.0622,41.5524,52.90,33.40,47.33,90.00,13.00,0.00,29.93,M,10.00,18.00,OVC,M,M,M,6000.00,M,M,M,M,KBMC 010255Z AUTO 09013G18KT 10SM OVC060 12/01 A2993 RMK AO1 T01160008
BMC,2017-04-01 03:15,-112.0622,41.5524,52.70,32.40,45.81,90.00,11.00,0.00,29.93,M,10.00,25.00,BKN,OVC,M,M,6000.00,8000.00,M,M,M,KBMC 010315Z AUTO 09011G25KT 10SM BKN060 OVC080 12/00 A2993 RMK AO1 T01150002
BMC,2017-04-01 03:35,-112.0622,41.5524,52.00,32.50,47.19,100.00,9.00,0.00,29.94,M,10.00,M,BKN,OVC,M,M,6000.00,9500.00,M,M,M,KBMC 010335Z AUTO 10009KT 10SM BKN060 OVC095 11/00 A2994 RMK AO1 T01110003
BMC,2017-04-01 03:55,-112.0622,41.5524,50.90,34.00,52.19,80.00,13.00,0.00,29.95,M,10.00,28.00,BKN,OVC,M,M,6000.00,9000.00,M,M,M,KBMC 010355Z AUTO 08013G28KT 10SM BKN060 OVC090 11/01 A2995 RMK AO1 T01050011
BMC,2017-04-01 04:15,-112.0622,41.5524,51.10,32.90,49.58,80.00,10.00,0.00,29.95,M,10.00,18.00,SCT,BKN,OVC,M,6000.00,7500.00,9500.00,M,M,KBMC 010415Z AUTO 08010G18KT 10SM SCT060 BKN075 OVC095 11/01 A2995 RMK AO1 T01060005
BMC,2017-04-01 04:35,-112.0622,41.5524,50.90,32.40,48.95,80.00,13.00,0.00,29.96,M,10.00,23.00,SCT,OVC,M,M,7500.00,9500.00,M,M,M,KBMC 010435Z AUTO 08013G23KT 10SM SCT075 OVC095 11/00 A2996 RMK AO1 T01050002
BMC,2017-04-01 04:55,-112.0622,41.5524,50.20,32.40,50.24,80.00,11.00,0.00,29.97,M,10.00,20.00,SCT,M,M,M,11000.00,M,M,M,M,KBMC 010455Z AUTO 08011G20KT 10SM SCT110 10/00 A2997 RMK AO1 T01010002 401340049
