#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BMI,2017-04-01 00:00,-88.9159,40.4771,M,M,M,350.00,10.00,M,29.99,M,10.00,M,BKN,OVC,M,M,900.00,2400.00,M,M,M,KBMI 010000Z AUTO 35010KT 10SM BKN009 OVC024 A2999 RMK MADISHF
BMI,2017-04-01 00:05,-88.9159,40.4771,M,M,M,350.00,10.00,M,29.99,M,10.00,M,BKN,OVC,M,M,900.00,2400.00,M,M,M,KBMI 010005Z AUTO 35010KT 10SM BKN009 OVC024 A2999 RMK MADISHF
BMI,2017-04-01 00:10,-88.9159,40.4771,M,M,M,350.00,9.00,M,29.99,M,10.00,M,BKN,OVC,M,M,900.00,2400.00,M,M,M,KBMI 010010Z AUTO 35009KT 10SM BKN009 OVC024 A2999 RMK MADISHF
BMI,2017-04-01 00:15,-88.9159,40.4771,M,M,M,350.00,13.00,M,29.99,M,10.00,M,BKN,OVC,M,M,900.00,2400.00,M,M,M,KBMI 010015Z AUTO 35013KT 10SM BKN009 OVC024 A2999 RMK MADISHF
BMI,2017-04-01 00:20,-88.9159,40.4771,M,M,M,M,M,M,29.99,M,10.00,M,BKN,OVC,M,M,900.00,2400.00,M,M,M,KBMI 010020Z AUTO /////KT 10SM BKN009 OVC024 A2999 RMK MADISHF
BMI,2017-04-01 00:25,-88.9159,40.4771,M,M,M,360.00,12.00,M,29.99,M,9.00,M,BKN,OVC,M,M,900.00,2400.00,M,M,M,KBMI 010025Z AUTO 36012KT 9SM BKN009 OVC024 A2999 RMK MADISHF
BMI,2017-04-01 00:30,-88.9159,40.4771,M,M,M,M,M,M,29.99,M,9.00,M,BKN,OVC,M,M,900.00,2400.00,M,M,M,KBMI 010030Z AUTO /////KT 9SM BKN009 OVC024 A2999 RMK MADISHF
BMI,2017-04-01 00:35,-88.9159,40.4771,M,M,M,M,M,M,29.99,M,10.00,M,BKN,OVC,M,M,900.00,2400.00,M,M,M,KBMI 010035Z AUTO /////KT 10SM BKN009 OVC024 A2999 RMK MADISHF
BMI,2017-04-01 00:40,-88.9159,40.4771,M,M,M,360.00,11.00,M,30.00,M,10.00,M,BKN,OVC,M,M,900.00,2400.00,M,M,M,KBMI 010040Z AUTO 36011KT 10SM BKN009 OVC024 A3000 RMK MADISHF
BMI,2017-04-01 00:45,-88.9159,40.4771,M,M,M,360.00,10.00,M,30.00,M,10.00,M,BKN,OVC,M,M,900.00,2400.00,M,M,M,KBMI 010045Z AUTO 36010KT 10SM BKN009 OVC024 A3000 RMK MADISHF
