#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BML,2017-04-01 00:00,-71.1786,44.5761,M,M,M,0.00,0.00,M,30.04,M,1.00,M,VV ,M,M,M,1300.00,M,M,M,-SN BR,KBML 010000Z AUTO 00000KT 1SM -SN BR VV013 A3004 RMK MADISHF
BML,2017-04-01 00:05,-71.1786,44.5761,M,M,M,160.00,3.00,0.01,30.04,M,1.00,M,VV ,M,M,M,1300.00,M,M,M,-SN BR,KBML 010005Z AUTO 16003KT 1SM -SN BR VV013 A3004 RMK P0001 MADISHF
BML,2017-04-01 00:15,-71.1786,44.5761,M,M,M,160.00,4.00,0.01,30.04,M,1.25,M,OVC,M,M,M,1500.00,M,M,M,-SN,KBML 010015Z AUTO 16004KT 1 1/2SM -SN OVC015 A3004 RMK P0001 MADISHF
BML,2017-04-01 00:16,-71.1786,44.5761,30.90,26.10,82.15,160.00,3.00,0.01,30.03,M,1.50,M,OVC,M,M,M,1500.00,M,M,M,-SN,KBML 010016Z AUTO 16003KT 1 1/2SM -SN OVC015 M01/M03 A3003 RMK AO2 P0001 T10061033
BML,2017-04-01 00:20,-71.1786,44.5761,M,M,M,0.00,0.00,0.01,30.03,M,1.75,M,OVC,M,M,M,1699.00,M,M,M,-SN,KBML 010020Z AUTO 00000KT 2SM -SN OVC016 A3003 RMK P0001 MADISHF
BML,2017-04-01 00:25,-71.1786,44.5761,M,M,M,170.00,3.00,0.01,30.03,M,2.00,M,FEW,OVC,M,M,1300.00,1699.00,M,M,-SN,KBML 010025Z AUTO 17003KT 2SM -SN FEW013 OVC016 A3003 RMK P0001 MADISHF
BML,2017-04-01 00:34,-71.1786,44.5761,30.90,26.10,82.15,0.00,0.00,0.01,30.03,M,2.00,M,FEW,OVC,M,M,1300.00,1900.00,M,M,-SN,KBML 010034Z AUTO 00000KT 2SM -SN FEW013 OVC019 M01/M03 A3003 RMK AO2 P0001 T10061033
BML,2017-04-01 00:35,-71.1786,44.5761,M,M,M,0.00,0.00,0.01,30.03,M,2.00,M,FEW,OVC,M,M,1300.00,1900.00,M,M,-SN,KBML 010035Z AUTO 00000KT 2SM -SN FEW013 OVC019 A3003 RMK P0001 MADISHF
BML,2017-04-01 00:40,-71.1786,44.5761,M,M,M,170.00,3.00,0.01,30.04,M,1.50,M,OVC,M,M,M,1900.00,M,M,M,-SN,KBML 010040Z AUTO 17003KT 1 1/2SM -SN OVC019 A3004 RMK P0001 MADISHF
BML,2017-04-01 00:43,-71.1786,44.5761,30.90,26.10,82.15,0.00,0.00,0.01,30.04,M,1.25,M,OVC,M,M,M,1700.00,M,M,M,-SN,KBML 010043Z AUTO 00000KT 1 1/4SM -SN OVC017 M01/M03 A3004 RMK AO2 P0001 T10061033
BML,2017-04-01 00:45,-71.1786,44.5761,M,M,M,180.00,4.00,0.02,30.04,M,1.25,M,OVC,M,M,M,1699.00,M,M,M,-SN BR,KBML 010045Z AUTO 18004KT 1 1/2SM -SN BR OVC016 A3004 RMK P0002 MADISHF
BML,2017-04-01 00:52,-71.1786,44.5761,30.90,27.00,85.26,0.00,0.00,0.02,30.04,1018.80,0.75,M,VV ,M,M,M,1500.00,M,M,M,-SN BR,KBML 010052Z AUTO 00000KT 3/4SM -SN BR VV015 M01/M03 A3004 RMK AO2 SLP188 P0002 T10061028
BML,2017-04-01 00:55,-71.1786,44.5761,M,M,M,0.00,0.00,M,30.04,M,0.75,M,VV ,M,M,M,1400.00,M,M,M,-SN BR,KBML 010055Z AUTO 00000KT 1SM -SN BR VV014 A3004 RMK MADISHF
BML,2017-04-01 00:59,-71.1786,44.5761,30.90,27.00,85.26,0.00,0.00,0.01,30.04,M,0.75,M,VV ,M,M,M,1300.00,M,M,M,-SN BR,KBML 010059Z AUTO 00000KT 3/4SM -SN BR VV013 M01/M03 A3004 RMK AO2 P0001 T10061028
BML,2017-04-01 01:00,-71.1786,44.5761,M,M,M,150.00,3.00,0.01,30.04,M,0.75,M,VV ,M,M,M,1300.00,M,M,M,-SN BR,KBML 010100Z AUTO 15003KT 1SM -SN BR VV013 A3004 RMK P0001 VRB03KT  MADISHF
BML,2017-04-01 01:05,-71.1786,44.5761,M,M,M,140.00,4.00,0.01,30.04,M,0.75,M,VV ,M,M,M,1300.00,M,M,M,-SN BR,KBML 010105Z AUTO 14004KT 1SM -SN BR VV013 A3004 RMK P0001 MADISHF
BML,2017-04-01 01:12,-71.1786,44.5761,30.90,27.00,85.26,160.00,3.00,0.02,30.04,M,1.00,M,VV ,M,M,M,1300.00,M,M,M,-SN BR,KBML 010112Z AUTO 16003KT 1SM -SN BR VV013 M01/M03 A3004 RMK AO2 P0002 T10061028
BML,2017-04-01 01:15,-71.1786,44.5761,M,M,M,170.00,4.00,0.02,30.05,M,1.00,M,VV ,M,M,M,1300.00,M,M,M,-SN BR,KBML 010115Z AUTO 17004KT 1SM -SN BR VV013 A3005 RMK P0002 MADISHF
BML,2017-04-01 01:20,-71.1786,44.5761,M,M,M,0.00,0.00,0.02,30.05,M,1.00,M,VV ,M,M,M,1300.00,M,M,M,-SN BR,KBML 010120Z AUTO 00000KT 1SM -SN BR VV013 A3005 RMK P0002 MADISHF
BML,2017-04-01 01:25,-71.1786,44.5761,M,M,M,160.00,3.00,0.03,30.05,M,0.75,M,VV ,M,M,M,1200.00,M,M,M,-SN BR,KBML 010125Z AUTO 16003KT 1SM -SN BR VV012 A3005 RMK P0003 MADISHF
BML,2017-04-01 01:27,-71.1786,44.5761,30.90,27.00,85.26,150.00,3.00,0.03,30.05,M,0.75,M,VV ,M,M,M,1200.00,M,M,M,-SN BR,KBML 010127Z AUTO 15003KT 3/4SM -SN BR VV012 M01/M03 A3005 RMK AO2 P0003 T10061028
BML,2017-04-01 01:30,-71.1786,44.5761,M,M,M,150.00,3.00,0.03,30.04,M,0.75,M,VV ,M,M,M,1200.00,M,M,M,-SN BR,KBML 010130Z AUTO 15003KT 1SM -SN BR VV012 A3004 RMK P0003 MADISHF
BML,2017-04-01 01:35,-71.1786,44.5761,M,M,M,140.00,4.00,0.04,30.04,M,0.75,M,VV ,M,M,M,1100.00,M,M,M,-SN BR,KBML 010135Z AUTO 14004KT 1SM -SN BR VV011 A3004 RMK P0004 MADISHF
BML,2017-04-01 01:40,-71.1786,44.5761,M,M,M,130.00,3.00,0.05,30.04,M,0.50,M,VV ,M,M,M,999.00,M,M,M,SN FZFG,KBML 010140Z AUTO 13003KT 1/2SM SN FZFG VV009 A3004 RMK P0005 MADISHF
BML,2017-04-01 01:45,-71.1786,44.5761,M,M,M,140.00,3.00,0.05,30.04,M,0.50,M,VV ,M,M,M,900.00,M,M,M,SN FZFG,KBML 010145Z AUTO 14003KT 1/2SM SN FZFG VV009 A3004 RMK P0005 MADISHF
BML,2017-04-01 01:50,-71.1786,44.5761,30.20,26.60,86.28,140.00,6.00,0.06,30.04,M,0.50,M,VV ,M,M,M,900.00,M,M,M,SN FZFG,KBML 010150Z AUTO 14006KT 1/2SM SN FZFG VV009 M01/M03 A3004 RMK AO2 P0006
BML,2017-04-01 01:52,-71.1786,44.5761,30.90,27.00,85.26,130.00,4.00,0.06,30.04,1018.60,0.50,M,VV ,M,M,M,800.00,M,M,M,SN FZFG,KBML 010152Z AUTO 13004KT 1/2SM SN FZFG VV008 M01/M03 A3004 RMK AO2 SLP186 P0006 T10061028
BML,2017-04-01 01:55,-71.1786,44.5761,M,M,M,120.00,4.00,0.01,30.04,M,0.50,M,VV ,M,M,M,800.00,M,M,M,SN FZFG,KBML 010155Z AUTO 12004KT 1/2SM SN FZFG VV008 A3004 RMK P0001 MADISHF
BML,2017-04-01 02:00,-71.1786,44.5761,M,M,M,150.00,3.00,0.01,30.03,M,0.50,M,VV ,M,M,M,800.00,M,M,M,SN FZFG,KBML 010200Z AUTO 15003KT 1/2SM SN FZFG VV008 A3003 RMK P0001 MADISHF
BML,2017-04-01 02:05,-71.1786,44.5761,M,M,M,130.00,3.00,0.02,30.03,M,0.50,M,VV ,M,M,M,800.00,M,M,M,SN FZFG,KBML 010205Z AUTO 13003KT 1/2SM SN FZFG VV008 A3003 RMK P0002 MADISHF
BML,2017-04-01 02:10,-71.1786,44.5761,M,M,M,0.00,0.00,0.02,30.03,M,0.50,M,VV ,M,M,M,800.00,M,M,M,SN FZFG,KBML 010210Z AUTO 00000KT 1/2SM SN FZFG VV008 A3003 RMK P0002 MADISHF
BML,2017-04-01 02:15,-71.1786,44.5761,M,M,M,0.00,0.00,0.03,30.03,M,0.50,M,VV ,M,M,M,800.00,M,M,M,SN FZFG,KBML 010215Z AUTO 00000KT 1/2SM SN FZFG VV008 A3003 RMK P0003 MADISHF
BML,2017-04-01 02:20,-71.1786,44.5761,M,M,M,130.00,3.00,0.03,30.03,M,0.50,M,VV ,M,M,M,900.00,M,M,M,SN FZFG,KBML 010220Z AUTO 13003KT 1/2SM SN FZFG VV009 A3003 RMK P0003 VRB03KT  MADISHF
BML,2017-04-01 02:25,-71.1786,44.5761,M,M,M,120.00,3.00,0.04,30.03,M,0.50,M,VV ,M,M,M,900.00,M,M,M,SN FZFG,KBML 010225Z AUTO 12003KT 1/2SM SN FZFG VV009 A3003 RMK P0004 MADISHF
BML,2017-04-01 02:30,-71.1786,44.5761,M,M,M,140.00,3.00,0.04,30.02,M,0.75,M,VV ,M,M,M,900.00,M,M,M,-SN BR,KBML 010230Z AUTO 14003KT 1SM -SN BR VV009 A3002 RMK P0004 MADISHF
BML,2017-04-01 02:35,-71.1786,44.5761,M,M,M,130.00,3.00,0.05,30.02,M,0.75,M,VV ,M,M,M,900.00,M,M,M,-SN BR,KBML 010235Z AUTO 13003KT 1SM -SN BR VV009 A3002 RMK P0005 MADISHF
