#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BMT,2017-04-01 00:15,-94.2151,30.0702,M,M,M,140.00,5.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBMT 010015Z AUTO 14005KT 10SM CLR A2985 RMK AO2
BMT,2017-04-01 00:35,-94.2151,30.0702,M,M,M,150.00,4.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBMT 010035Z AUTO 15004KT 10SM CLR A2986 RMK AO2
BMT,2017-04-01 00:55,-94.2151,30.0702,M,M,M,140.00,5.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBMT 010055Z AUTO 14005KT 10SM CLR A2986 RMK AO2
BMT,2017-04-01 01:15,-94.2151,30.0702,M,M,M,130.00,5.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBMT 010115Z AUTO 13005KT 10SM CLR A2987 RMK AO2
BMT,2017-04-01 01:35,-94.2151,30.0702,M,M,M,130.00,4.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBMT 010135Z AUTO 13004KT 10SM CLR A2987 RMK AO2
BMT,2017-04-01 01:55,-94.2151,30.0702,M,M,M,130.00,4.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBMT 010155Z AUTO 13004KT 10SM CLR A2988 RMK AO2
BMT,2017-04-01 02:15,-94.2151,30.0702,M,M,M,120.00,4.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBMT 010215Z AUTO 12004KT 10SM CLR A2989 RMK AO2
BMT,2017-04-01 02:35,-94.2151,30.0702,M,M,M,110.00,4.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBMT 010235Z AUTO 11004KT 10SM CLR A2989 RMK AO2
BMT,2017-04-01 02:55,-94.2151,30.0702,M,M,M,110.00,3.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBMT 010255Z AUTO 11003KT 10SM CLR A2989 RMK AO2
BMT,2017-04-01 03:15,-94.2151,30.0702,M,M,M,120.00,3.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBMT 010315Z AUTO 12003KT 10SM CLR A2990 RMK AO2
