#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BNW,2017-04-01 00:00,-93.8486,42.0486,42.80,39.20,86.99,40.00,7.00,0.00,30.04,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KBNW 010000Z AUTO 04007KT 10SM OVC015 06/04 A3004 RMK AO2
BNW,2017-04-01 00:10,-93.8486,42.0486,41.00,39.20,93.24,20.00,9.00,0.00,30.04,M,10.00,M,OVC,M,M,M,1400.00,M,M,M,M,KBNW 010010Z AUTO 02009KT 10SM OVC014 05/04 A3004 RMK AO2
BNW,2017-04-01 00:15,-93.8486,42.0486,41.00,37.40,86.89,30.00,10.00,0.00,30.04,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KBNW 010015Z AUTO 03010KT 10SM OVC015 05/03 A3004 RMK AO2
BNW,2017-04-01 00:20,-93.8486,42.0486,41.00,37.40,86.89,30.00,8.00,0.00,30.05,M,10.00,13.00,OVC,M,M,M,1500.00,M,M,M,M,KBNW 010020Z AUTO 03008G13KT 10SM OVC015 05/03 A3005 RMK AO2
BNW,2017-04-01 00:30,-93.8486,42.0486,41.00,37.40,86.89,30.00,7.00,0.00,30.05,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KBNW 010030Z AUTO 03007KT 10SM OVC015 05/03 A3005 RMK AO2
BNW,2017-04-01 00:35,-93.8486,42.0486,41.00,37.40,86.89,40.00,7.00,0.00,30.05,M,10.00,M,OVC,M,M,M,1500.00,M,M,M,M,KBNW 010035Z AUTO 04007KT 10SM OVC015 05/03 A3005 RMK AO2
BNW,2017-04-01 00:40,-93.8486,42.0486,41.00,37.40,86.89,40.00,9.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KBNW 010040Z AUTO 04009KT 10SM OVC016 05/03 A3006 RMK AO2
BNW,2017-04-01 00:50,-93.8486,42.0486,41.00,37.40,86.89,50.00,10.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1600.00,M,M,M,M,KBNW 010050Z AUTO 05010KT 10SM OVC016 05/03 A3006 RMK AO2
BNW,2017-04-01 00:55,-93.8486,42.0486,41.00,37.40,86.89,60.00,6.00,0.00,30.07,M,10.00,13.00,OVC,M,M,M,1600.00,M,M,M,M,KBNW 010055Z AUTO 06006G13KT 10SM OVC016 05/03 A3007 RMK AO2
BNW,2017-04-01 01:00,-93.8486,42.0486,41.00,37.40,86.89,40.00,4.00,0.00,30.08,M,10.00,13.00,OVC,M,M,M,1600.00,M,M,M,M,KBNW 010100Z AUTO 04004G13KT 10SM OVC016 05/03 A3008 RMK AO2
