#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BOK,2017-04-01 00:00,-124.2901,42.0746,M,M,M,320.00,11.00,M,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010000Z AUTO 32011KT 10SM CLR A3016 RMK MADISHF
BOK,2017-04-01 00:05,-124.2901,42.0746,M,M,M,320.00,11.00,M,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010005Z AUTO 32011KT 10SM CLR A3016 RMK MADISHF
BOK,2017-04-01 00:10,-124.2901,42.0746,M,M,M,320.00,10.00,M,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010010Z AUTO 32010KT 10SM CLR A3016 RMK MADISHF
BOK,2017-04-01 00:15,-124.2901,42.0746,M,M,M,320.00,11.00,M,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010015Z AUTO 32011KT 10SM CLR A3016 RMK MADISHF
BOK,2017-04-01 00:20,-124.2901,42.0746,M,M,M,320.00,12.00,M,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010020Z AUTO 32012KT 10SM CLR A3016 RMK MADISHF
BOK,2017-04-01 00:25,-124.2901,42.0746,M,M,M,320.00,11.00,M,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010025Z AUTO 32011KT 10SM CLR A3016 RMK MADISHF
BOK,2017-04-01 00:30,-124.2901,42.0746,M,M,M,320.00,11.00,M,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010030Z AUTO 32011KT 10SM CLR A3016 RMK MADISHF
BOK,2017-04-01 00:35,-124.2901,42.0746,M,M,M,320.00,11.00,M,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010035Z AUTO 32011KT 10SM CLR A3016 RMK MADISHF
BOK,2017-04-01 00:40,-124.2901,42.0746,M,M,M,320.00,11.00,M,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010040Z AUTO 32011KT 10SM CLR A3016 RMK MADISHF
BOK,2017-04-01 00:45,-124.2901,42.0746,M,M,M,330.00,13.00,M,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010045Z AUTO 33013KT 10SM CLR A3017 RMK MADISHF
BOK,2017-04-01 00:50,-124.2901,42.0746,M,M,M,330.00,14.00,M,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010050Z AUTO 33014KT 10SM CLR A3017 RMK MADISHF
BOK,2017-04-01 00:55,-124.2901,42.0746,M,M,M,320.00,14.00,M,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010055Z AUTO 32014KT 10SM CLR A3017 RMK MADISHF
BOK,2017-04-01 01:00,-124.2901,42.0746,M,M,M,320.00,15.00,M,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010100Z AUTO 32015KT 10SM CLR A3017 RMK MADISHF
BOK,2017-04-01 01:05,-124.2901,42.0746,M,M,M,320.00,14.00,M,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010105Z AUTO 32014KT 10SM CLR A3017 RMK MADISHF
BOK,2017-04-01 01:10,-124.2901,42.0746,M,M,M,320.00,13.00,M,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010110Z AUTO 32013KT 10SM CLR A3017 RMK MADISHF
BOK,2017-04-01 01:15,-124.2901,42.0746,M,M,M,330.00,12.00,M,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010115Z AUTO 33012KT 10SM CLR A3017 RMK MADISHF
BOK,2017-04-01 01:20,-124.2901,42.0746,M,M,M,320.00,12.00,M,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOK 010120Z AUTO 32012KT 10SM CLR A3017 RMK MADISHF
