#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BOW,2017-04-01 00:15,-81.7834,27.9434,73.40,62.60,68.94,260.00,12.00,0.00,29.90,M,10.00,M,FEW,M,M,M,2700.00,M,M,M,M,KBOW 010015Z AUTO 26012KT 10SM FEW027 23/17 A2990 RMK AO2 FZRANO
BOW,2017-04-01 00:35,-81.7834,27.9434,73.40,64.40,73.44,260.00,11.00,0.00,29.91,M,10.00,M,FEW,M,M,M,2700.00,M,M,M,M,KBOW 010035Z AUTO 26011KT 10SM FEW027 23/18 A2991 RMK AO2 FZRANO
BOW,2017-04-01 00:55,-81.7834,27.9434,73.40,64.40,73.44,250.00,10.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOW 010055Z AUTO 25010KT 10SM CLR 23/18 A2991 RMK AO2 FZRANO
BOW,2017-04-01 01:15,-81.7834,27.9434,71.60,64.40,78.04,250.00,12.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOW 010115Z AUTO 25012KT 10SM CLR 22/18 A2992 RMK AO2 FZRANO
BOW,2017-04-01 01:35,-81.7834,27.9434,71.60,66.20,83.09,250.00,9.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOW 010135Z AUTO 25009KT 10SM CLR 22/19 A2993 RMK AO2 FZRANO
BOW,2017-04-01 01:55,-81.7834,27.9434,71.60,66.20,83.09,250.00,8.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOW 010155Z AUTO 25008KT 10SM CLR 22/19 A2993 RMK AO2 FZRANO
BOW,2017-04-01 02:15,-81.7834,27.9434,69.80,66.20,88.34,260.00,6.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOW 010215Z AUTO 26006KT 10SM CLR 21/19 A2994 RMK AO2 FZRANO
BOW,2017-04-01 02:35,-81.7834,27.9434,69.80,68.00,94.01,260.00,6.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOW 010235Z AUTO 26006KT 10SM CLR 21/20 A2995 RMK AO2 FZRANO
BOW,2017-04-01 02:55,-81.7834,27.9434,69.80,68.00,94.01,260.00,6.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOW 010255Z AUTO 26006KT 10SM CLR 21/20 A2996 RMK AO2 FZRANO
BOW,2017-04-01 03:15,-81.7834,27.9434,68.00,68.00,100.00,240.00,5.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBOW 010315Z AUTO 24005KT 10SM CLR 20/20 A2996 RMK AO2 FZRANO
