#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BPI,2017-04-01 00:00,-110.1111,42.5851,M,M,M,30.00,12.00,M,29.91,M,10.00,M,FEW,M,M,M,5000.00,M,M,M,M,KBPI 010000Z AUTO 03012KT 10SM FEW050 A2991 RMK MADISHF
BPI,2017-04-01 00:05,-110.1111,42.5851,M,M,M,60.00,10.00,M,29.91,M,10.00,M,FEW,M,M,M,5000.00,M,M,M,M,KBPI 010005Z AUTO 06010KT 10SM FEW050 A2991 RMK MADISHF
BPI,2017-04-01 00:10,-110.1111,42.5851,M,M,M,50.00,8.00,M,29.91,M,10.00,M,FEW,M,M,M,5000.00,M,M,M,M,KBPI 010010Z AUTO 05008KT 10SM FEW050 A2991 RMK MADISHF
BPI,2017-04-01 00:15,-110.1111,42.5851,M,M,M,40.00,9.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBPI 010015Z AUTO 04009KT 10SM CLR A2992 RMK MADISHF
BPI,2017-04-01 00:20,-110.1111,42.5851,M,M,M,50.00,8.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBPI 010020Z AUTO 05008KT 10SM CLR A2992 RMK MADISHF
BPI,2017-04-01 00:25,-110.1111,42.5851,M,M,M,50.00,8.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBPI 010025Z AUTO 05008KT 10SM CLR A2992 RMK MADISHF
BPI,2017-04-01 00:30,-110.1111,42.5851,M,M,M,50.00,8.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBPI 010030Z AUTO 05008KT 10SM CLR A2992 RMK MADISHF
BPI,2017-04-01 00:35,-110.1111,42.5851,M,M,M,50.00,11.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBPI 010035Z AUTO 05011KT 10SM CLR A2992 RMK MADISHF
BPI,2017-04-01 00:40,-110.1111,42.5851,M,M,M,70.00,10.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBPI 010040Z AUTO 07010KT 10SM CLR A2993 RMK MADISHF
BPI,2017-04-01 00:45,-110.1111,42.5851,M,M,M,70.00,11.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBPI 010045Z AUTO 07011KT 10SM CLR A2993 RMK MADISHF
BPI,2017-04-01 00:50,-110.1111,42.5851,M,M,M,70.00,11.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBPI 010050Z AUTO 07011KT 10SM CLR A2993 RMK MADISHF
BPI,2017-04-01 00:53,-110.1111,42.5851,45.00,26.10,47.23,70.00,11.00,0.00,29.93,1010.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KBPI 010053Z AUTO 07011KT 10SM CLR 07/M03 A2993 RMK AO2 SLP102 T00721033
BPI,2017-04-01 00:55,-110.1111,42.5851,M,M,M,70.00,10.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBPI 010055Z AUTO 07010KT 10SM CLR A2993 RMK MADISHF
BPI,2017-04-01 01:00,-110.1111,42.5851,M,M,M,70.00,9.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBPI 010100Z AUTO 07009KT 10SM CLR A2994 RMK MADISHF
