#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BQK,2017-04-01 00:15,-81.4665,31.2588,78.80,59.00,50.69,270.00,6.00,0.00,29.80,M,10.00,M,SCT,M,M,M,7500.00,M,M,M,M,KBQK 010015Z AUTO 27006KT 10SM SCT075 26/15 A2980 RMK AO2
BQK,2017-04-01 00:35,-81.4665,31.2588,77.00,57.20,50.43,260.00,3.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQK 010035Z AUTO 26003KT 10SM CLR 25/14 A2981 RMK AO2
BQK,2017-04-01 00:55,-81.4665,31.2588,77.00,57.20,50.43,250.00,3.00,0.00,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQK 010055Z AUTO 25003KT 10SM CLR 25/14 A2982 RMK AO2
BQK,2017-04-01 01:15,-81.4665,31.2588,77.00,57.20,50.43,230.00,4.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQK 010115Z AUTO 23004KT 10SM CLR 25/14 A2983 RMK AO2
BQK,2017-04-01 01:35,-81.4665,31.2588,73.40,59.00,60.67,220.00,3.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQK 010135Z AUTO 22003KT 10SM CLR 23/15 A2984 RMK AO2
BQK,2017-04-01 01:55,-81.4665,31.2588,73.40,59.00,60.67,230.00,3.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQK 010155Z AUTO 23003KT 10SM CLR 23/15 A2985 RMK AO2
BQK,2017-04-01 02:15,-81.4665,31.2588,71.60,59.00,64.48,230.00,4.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQK 010215Z AUTO 23004KT 10SM CLR 22/15 A2986 RMK AO2
BQK,2017-04-01 02:35,-81.4665,31.2588,71.60,59.00,64.48,230.00,4.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQK 010235Z AUTO 23004KT 10SM CLR 22/15 A2987 RMK AO2
BQK,2017-04-01 02:55,-81.4665,31.2588,71.60,59.00,64.48,240.00,6.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQK 010255Z AUTO 24006KT 10SM CLR 22/15 A2988 RMK AO2
BQK,2017-04-01 03:15,-81.4665,31.2588,71.60,59.00,64.48,240.00,6.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQK 010315Z AUTO 24006KT 10SM CLR 22/15 A2988 RMK AO2
BQK,2017-04-01 03:35,-81.4665,31.2588,69.80,59.00,68.55,250.00,6.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQK 010335Z AUTO 25006KT 10SM CLR 21/15 A2989 RMK AO2
BQK,2017-04-01 03:55,-81.4665,31.2588,69.80,59.00,68.55,230.00,5.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQK 010355Z AUTO 23005KT 10SM CLR 21/15 A2989 RMK AO2
BQK,2017-04-01 04:15,-81.4665,31.2588,69.80,59.00,68.55,250.00,7.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQK 010415Z AUTO 25007KT 10SM CLR 21/15 A2990 RMK AO2
BQK,2017-04-01 04:35,-81.4665,31.2588,69.80,59.00,68.55,250.00,6.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQK 010435Z AUTO 25006KT 10SM CLR 21/15 A2990 RMK AO2
