#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BQP,2017-04-01 00:15,-91.8806,32.7561,71.10,57.00,61.04,0.00,0.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010015Z AUTO 00000KT 10SM CLR 22/14 A2987 RMK AO2 T02170139
BQP,2017-04-01 00:35,-91.8806,32.7561,68.00,57.40,68.85,0.00,0.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010035Z AUTO 00000KT 10SM CLR 20/14 A2987 RMK AO2 T02000141
BQP,2017-04-01 00:55,-91.8806,32.7561,66.00,57.90,75.12,0.00,0.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010055Z AUTO 00000KT 10SM CLR 19/14 A2987 RMK AO2 T01890144
BQP,2017-04-01 01:15,-91.8806,32.7561,65.30,57.20,75.05,0.00,0.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010115Z AUTO 00000KT 10SM CLR 19/14 A2988 RMK AO2 T01850140
BQP,2017-04-01 01:35,-91.8806,32.7561,64.00,58.10,81.12,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010135Z AUTO 00000KT 10SM CLR 18/15 A2989 RMK AO2 T01780145
BQP,2017-04-01 01:55,-91.8806,32.7561,63.70,58.10,81.98,0.00,0.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010155Z AUTO 00000KT 10SM CLR 18/15 A2990 RMK AO2 T01760145
BQP,2017-04-01 02:15,-91.8806,32.7561,63.00,58.50,85.23,90.00,3.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010215Z AUTO 09003KT 10SM CLR 17/15 A2990 RMK AO2 T01720147
BQP,2017-04-01 02:35,-91.8806,32.7561,63.70,56.80,78.23,100.00,3.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010235Z AUTO 10003KT 10SM CLR 18/14 A2991 RMK AO2 T01760138
BQP,2017-04-01 02:55,-91.8806,32.7561,63.30,56.80,79.34,100.00,3.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010255Z AUTO 10003KT 10SM CLR 17/14 A2991 RMK AO2 T01740138
BQP,2017-04-01 03:15,-91.8806,32.7561,64.40,56.50,75.51,90.00,4.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010315Z AUTO 09004KT 10SM CLR 18/14 A2991 RMK AO2 T01800136
BQP,2017-04-01 03:35,-91.8806,32.7561,64.60,56.80,75.80,90.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010335Z AUTO 09003KT 10SM CLR 18/14 A2992 RMK AO2 T01810138
BQP,2017-04-01 03:55,-91.8806,32.7561,62.80,57.70,83.40,90.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010355Z AUTO 09003KT 10SM CLR 17/14 A2992 RMK AO2 T01710143
BQP,2017-04-01 04:15,-91.8806,32.7561,61.90,58.30,87.97,100.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010415Z AUTO 10003KT 10SM CLR 17/15 A2992 RMK AO2 T01660146
BQP,2017-04-01 04:35,-91.8806,32.7561,61.20,59.00,92.47,90.00,3.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010435Z AUTO 09003KT 10SM CLR 16/15 A2992 RMK AO2 T01620150
BQP,2017-04-01 04:55,-91.8806,32.7561,60.40,59.40,96.50,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010455Z AUTO 00000KT 10SM CLR 16/15 A2993 RMK AO2 T01580152
BQP,2017-04-01 05:15,-91.8806,32.7561,58.50,57.90,97.87,0.00,0.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010515Z AUTO 00000KT 10SM CLR 15/14 A2993 RMK AO2 T01470144
BQP,2017-04-01 05:35,-91.8806,32.7561,57.20,56.70,98.21,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010535Z AUTO 00000KT 10SM CLR 14/14 A2994 RMK AO2 T01400137
BQP,2017-04-01 05:55,-91.8806,32.7561,57.40,56.80,97.86,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010555Z AUTO 00000KT 10SM CLR 14/14 A2994 RMK AO2 T01410138 10240 20135 402650079
BQP,2017-04-01 06:15,-91.8806,32.7561,57.60,57.00,97.86,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010615Z AUTO 00000KT 10SM CLR 14/14 A2995 RMK AO2 T01420139
BQP,2017-04-01 06:35,-91.8806,32.7561,57.00,56.50,98.21,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010635Z AUTO 00000KT 10SM CLR 14/14 A2995 RMK AO2 T01390136
BQP,2017-04-01 06:55,-91.8806,32.7561,57.00,56.50,98.21,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010655Z AUTO 00000KT 10SM CLR 14/14 A2995 RMK AO2 T01390136
BQP,2017-04-01 07:15,-91.8806,32.7561,56.10,55.60,98.20,0.00,0.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010715Z AUTO 00000KT 10SM CLR 13/13 A2996 RMK AO2 T01340131
BQP,2017-04-01 07:35,-91.8806,32.7561,56.70,56.10,97.85,80.00,3.00,0.00,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010735Z AUTO 08003KT 10SM CLR 14/13 A2996 RMK AO2 T01370134
BQP,2017-04-01 07:55,-91.8806,32.7561,57.60,57.20,98.57,90.00,3.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010755Z AUTO 09003KT 10SM CLR 14/14 A2997 RMK AO2 T01420140
BQP,2017-04-01 08:15,-91.8806,32.7561,56.80,56.30,98.21,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010815Z AUTO 00000KT 10SM CLR 14/14 A2997 RMK AO2 T01380135
BQP,2017-04-01 08:35,-91.8806,32.7561,56.50,55.80,97.50,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010835Z AUTO 00000KT 10SM CLR 14/13 A2997 RMK AO2 T01360132
BQP,2017-04-01 08:55,-91.8806,32.7561,57.20,56.70,98.21,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010855Z AUTO 00000KT 10SM CLR 14/14 A2997 RMK AO2 T01400137
BQP,2017-04-01 09:15,-91.8806,32.7561,57.40,56.80,97.86,0.00,0.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010915Z AUTO 00000KT 10SM CLR 14/14 A2997 RMK AO2 T01410138
BQP,2017-04-01 09:35,-91.8806,32.7561,55.80,55.20,97.84,0.00,0.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010935Z AUTO 00000KT 10SM CLR 13/13 A2998 RMK AO2 T01320129
BQP,2017-04-01 09:55,-91.8806,32.7561,55.20,54.70,98.20,0.00,0.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 010955Z AUTO 00000KT 10SM CLR 13/13 A2999 RMK AO2 T01290126
BQP,2017-04-01 10:15,-91.8806,32.7561,55.40,54.90,98.20,0.00,0.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011015Z AUTO 00000KT 10SM CLR 13/13 A2999 RMK AO2 T01300127
BQP,2017-04-01 10:35,-91.8806,32.7561,55.40,54.90,98.20,0.00,0.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011035Z AUTO 00000KT 10SM CLR 13/13 A2999 RMK AO2 T01300127
BQP,2017-04-01 10:55,-91.8806,32.7561,55.00,54.50,98.19,0.00,0.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011055Z AUTO 00000KT 10SM CLR 13/13 A2999 RMK AO2 T01280125
BQP,2017-04-01 11:15,-91.8806,32.7561,53.60,53.10,98.18,0.00,0.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011115Z AUTO 00000KT 10SM CLR 12/12 A3000 RMK AO2 T01200117
BQP,2017-04-01 11:35,-91.8806,32.7561,53.60,53.10,98.18,0.00,0.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011135Z AUTO 00000KT 10SM CLR 12/12 A3001 RMK AO2 T01200117
BQP,2017-04-01 11:55,-91.8806,32.7561,54.90,54.30,97.84,70.00,3.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011155Z AUTO 07003KT 10SM CLR 13/12 A3002 RMK AO2 T01270124 10145 20119
BQP,2017-04-01 12:15,-91.8806,32.7561,55.20,54.70,98.20,70.00,3.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011215Z AUTO 07003KT 10SM CLR 13/13 A3002 RMK AO2 T01290126
BQP,2017-04-01 12:35,-91.8806,32.7561,56.70,56.10,97.85,70.00,3.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011235Z AUTO 07003KT 10SM CLR 14/13 A3003 RMK AO2 T01370134
BQP,2017-04-01 12:55,-91.8806,32.7561,59.20,58.50,97.53,80.00,4.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011255Z AUTO 08004KT 10SM CLR 15/15 A3004 RMK AO2 T01510147
BQP,2017-04-01 13:15,-91.8806,32.7561,61.00,59.50,94.80,80.00,3.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011315Z AUTO 08003KT 10SM CLR 16/15 A3004 RMK AO2 T01610153
BQP,2017-04-01 13:35,-91.8806,32.7561,63.00,58.30,84.62,70.00,4.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011335Z AUTO 07004KT 10SM CLR 17/15 A3004 RMK AO2 T01720146
BQP,2017-04-01 13:55,-91.8806,32.7561,64.40,58.50,81.15,80.00,7.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011355Z AUTO 08007KT 10SM CLR 18/15 A3004 RMK AO2 T01800147
BQP,2017-04-01 14:15,-91.8806,32.7561,66.00,57.60,74.31,90.00,6.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011415Z AUTO 09006KT 10SM CLR 19/14 A3005 RMK AO2 T01890142
BQP,2017-04-01 14:35,-91.8806,32.7561,68.50,57.20,67.19,100.00,6.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011435Z AUTO 10006KT 10SM CLR 20/14 A3006 RMK AO2 T02030140
BQP,2017-04-01 14:55,-91.8806,32.7561,70.20,56.10,60.92,90.00,3.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011455Z AUTO 09003KT 10SM CLR 21/13 A3007 RMK AO2 T02120134
BQP,2017-04-01 15:15,-91.8806,32.7561,72.00,54.70,54.46,120.00,3.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011515Z AUTO 12003KT 10SM CLR 22/13 A3008 RMK AO2 T02220126
BQP,2017-04-01 15:35,-91.8806,32.7561,73.00,54.10,51.51,110.00,4.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011535Z AUTO 11004KT 10SM CLR 23/12 A3008 RMK AO2 T02280123
BQP,2017-04-01 15:55,-91.8806,32.7561,73.60,54.10,50.48,100.00,5.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011555Z AUTO 10005KT 10SM CLR 23/12 A3008 RMK AO2 T02310123
BQP,2017-04-01 16:15,-91.8806,32.7561,74.80,54.70,49.56,80.00,5.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011615Z AUTO 08005KT 10SM CLR 24/13 A3007 RMK AO2 T02380126
BQP,2017-04-01 16:35,-91.8806,32.7561,75.90,54.70,47.78,80.00,6.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011635Z AUTO 08006KT 10SM CLR 24/13 A3007 RMK AO2 T02440126
BQP,2017-04-01 16:55,-91.8806,32.7561,76.80,55.00,46.88,100.00,8.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011655Z AUTO 10008KT 10SM CLR 25/13 A3007 RMK AO2 T02490128
BQP,2017-04-01 17:15,-91.8806,32.7561,77.50,55.20,46.14,50.00,5.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011715Z AUTO 05005KT 10SM CLR 25/13 A3006 RMK AO2 T02530129
BQP,2017-04-01 17:35,-91.8806,32.7561,78.10,55.40,45.56,70.00,4.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011735Z AUTO 07004KT 10SM CLR 26/13 A3005 RMK AO2 T02560130
BQP,2017-04-01 17:55,-91.8806,32.7561,79.50,55.80,44.15,90.00,7.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011755Z AUTO 09007KT 10SM CLR 26/13 A3005 RMK AO2 T02640132 10264 20126
BQP,2017-04-01 18:15,-91.8806,32.7561,80.20,56.10,43.62,120.00,7.00,0.00,30.04,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,KBQP 011815Z AUTO 12007G14KT 10SM CLR 27/13 A3004 RMK AO2 T02680134
BQP,2017-04-01 18:35,-91.8806,32.7561,81.50,56.80,42.88,80.00,8.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011835Z AUTO 08008KT 080V140 10SM CLR 28/14 A3003 RMK AO2 T02750138
BQP,2017-04-01 18:55,-91.8806,32.7561,81.90,55.90,40.97,110.00,4.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011855Z AUTO 11004KT 10SM CLR 28/13 A3002 RMK AO2 T02770133
BQP,2017-04-01 19:15,-91.8806,32.7561,81.90,55.90,40.97,90.00,5.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011915Z AUTO 09005KT 10SM CLR 28/13 A3002 RMK AO2 T02770133
BQP,2017-04-01 19:35,-91.8806,32.7561,83.10,55.00,38.14,110.00,7.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011935Z AUTO 11007KT 10SM CLR 28/13 A3002 RMK AO2 T02840128
BQP,2017-04-01 19:55,-91.8806,32.7561,83.10,54.50,37.45,130.00,4.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 011955Z AUTO 13004KT 10SM CLR 28/13 A3001 RMK AO2 T02840125
BQP,2017-04-01 20:15,-91.8806,32.7561,83.70,54.50,36.73,70.00,7.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBQP 012015Z AUTO 07007KT 10SM CLR 29/13 A3000 RMK AO2 T02870125
