#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BRD,2017-04-01 00:00,-94.1308,46.4047,M,M,M,350.00,8.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010000Z AUTO 35008KT 10SM CLR A3005 RMK MADISHF
BRD,2017-04-01 00:05,-94.1308,46.4047,M,M,M,340.00,6.00,M,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010005Z AUTO 34006KT 10SM CLR A3005 RMK MADISHF
BRD,2017-04-01 00:10,-94.1308,46.4047,M,M,M,360.00,6.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010010Z AUTO 36006KT 10SM CLR A3006 RMK MADISHF
BRD,2017-04-01 00:15,-94.1308,46.4047,M,M,M,360.00,4.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010015Z AUTO 36004KT 10SM CLR A3006 RMK MADISHF
BRD,2017-04-01 00:20,-94.1308,46.4047,M,M,M,360.00,4.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010020Z AUTO 36004KT 10SM CLR A3006 RMK MADISHF
BRD,2017-04-01 00:25,-94.1308,46.4047,M,M,M,10.00,4.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010025Z AUTO 01004KT 10SM CLR A3006 RMK MADISHF
BRD,2017-04-01 00:30,-94.1308,46.4047,M,M,M,350.00,4.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010030Z AUTO 35004KT 10SM CLR A3006 RMK MADISHF
BRD,2017-04-01 00:35,-94.1308,46.4047,M,M,M,350.00,4.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010035Z AUTO 35004KT 10SM CLR A3006 RMK MADISHF
BRD,2017-04-01 00:40,-94.1308,46.4047,M,M,M,340.00,5.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010040Z AUTO 34005KT 10SM CLR A3006 RMK MADISHF
BRD,2017-04-01 00:45,-94.1308,46.4047,M,M,M,330.00,5.00,M,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010045Z AUTO 33005KT 10SM CLR A3006 RMK MADISHF
BRD,2017-04-01 00:50,-94.1308,46.4047,M,M,M,330.00,4.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010050Z AUTO 33004KT 10SM CLR A3007 RMK MADISHF
BRD,2017-04-01 00:53,-94.1308,46.4047,48.90,27.00,42.32,330.00,4.00,0.00,30.07,1019.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010053Z AUTO 33004KT 10SM CLR 09/M03 A3007 RMK AO2 SLP193 T00941028
BRD,2017-04-01 00:55,-94.1308,46.4047,M,M,M,330.00,4.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010055Z AUTO 33004KT 10SM CLR A3007 RMK MADISHF
BRD,2017-04-01 01:00,-94.1308,46.4047,M,M,M,330.00,4.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010100Z AUTO 33004KT 10SM CLR A3007 RMK MADISHF
BRD,2017-04-01 01:05,-94.1308,46.4047,M,M,M,330.00,3.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010105Z AUTO 33003KT 10SM CLR A3007 RMK MADISHF
BRD,2017-04-01 01:10,-94.1308,46.4047,M,M,M,330.00,3.00,M,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBRD 010110Z AUTO 33003KT 10SM CLR A3007 RMK MADISHF
