#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BRL,2017-04-01 00:00,-91.1255,40.7729,M,M,M,10.00,10.00,M,30.01,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KBRL 010000Z AUTO 01010KT 10SM OVC018 A3001 RMK MADISHF
BRL,2017-04-01 00:05,-91.1255,40.7729,M,M,M,360.00,10.00,M,30.02,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KBRL 010005Z AUTO 36010KT 10SM OVC018 A3002 RMK MADISHF
BRL,2017-04-01 00:10,-91.1255,40.7729,M,M,M,10.00,12.00,M,30.02,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KBRL 010010Z AUTO 01012KT 10SM OVC018 A3002 RMK MADISHF
BRL,2017-04-01 00:15,-91.1255,40.7729,M,M,M,10.00,9.00,M,30.02,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KBRL 010015Z AUTO 01009KT 10SM OVC016 A3002 RMK MADISHF
BRL,2017-04-01 00:20,-91.1255,40.7729,M,M,M,20.00,12.00,M,30.02,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KBRL 010020Z AUTO 02012KT 10SM OVC016 A3002 RMK MADISHF
BRL,2017-04-01 00:25,-91.1255,40.7729,M,M,M,10.00,12.00,M,30.02,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KBRL 010025Z AUTO 01012KT 10SM OVC016 A3002 RMK MADISHF
BRL,2017-04-01 00:30,-91.1255,40.7729,M,M,M,10.00,12.00,M,30.02,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KBRL 010030Z AUTO 01012KT 10SM OVC016 A3002 RMK MADISHF
BRL,2017-04-01 00:35,-91.1255,40.7729,M,M,M,30.00,11.00,M,30.03,M,10.00,M,OVC,M,M,M,1699.00,M,M,M,M,KBRL 010035Z AUTO 03011KT 10SM OVC016 A3003 RMK MADISHF
BRL,2017-04-01 00:40,-91.1255,40.7729,M,M,M,40.00,9.00,M,30.03,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KBRL 010040Z AUTO 04009KT 10SM OVC018 A3003 RMK MADISHF
BRL,2017-04-01 00:45,-91.1255,40.7729,M,M,M,20.00,8.00,M,30.03,M,10.00,M,OVC,M,M,M,1800.00,M,M,M,M,KBRL 010045Z AUTO 02008KT 10SM OVC018 A3003 RMK MADISHF
BRL,2017-04-01 00:53,-91.1255,40.7729,42.10,37.00,81.98,10.00,7.00,0.00,30.04,1017.60,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010053Z AUTO 01007KT 10SM OVC019 06/03 A3004 RMK AO2 SLP176 T00560028 $
BRL,2017-04-01 00:55,-91.1255,40.7729,M,M,M,10.00,7.00,M,30.04,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010055Z AUTO 01007KT 10SM OVC019 A3004 RMK MADISHF
BRL,2017-04-01 01:00,-91.1255,40.7729,M,M,M,10.00,6.00,M,30.04,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010100Z AUTO 01006KT 10SM OVC019 A3004 RMK MADISHF
BRL,2017-04-01 01:05,-91.1255,40.7729,M,M,M,360.00,6.00,M,30.04,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010105Z AUTO 36006KT 10SM OVC019 A3004 RMK MADISHF
BRL,2017-04-01 01:10,-91.1255,40.7729,M,M,M,10.00,8.00,M,30.05,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010110Z AUTO 01008KT 10SM OVC019 A3005 RMK MADISHF
BRL,2017-04-01 01:15,-91.1255,40.7729,M,M,M,20.00,6.00,M,30.05,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010115Z AUTO 02006KT 10SM OVC019 A3005 RMK MADISHF
BRL,2017-04-01 01:20,-91.1255,40.7729,M,M,M,360.00,6.00,M,30.06,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010120Z AUTO 36006KT 10SM OVC019 A3006 RMK MADISHF
BRL,2017-04-01 01:25,-91.1255,40.7729,M,M,M,350.00,5.00,M,30.06,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010125Z AUTO 35005KT 10SM OVC019 A3006 RMK MADISHF
BRL,2017-04-01 01:30,-91.1255,40.7729,M,M,M,10.00,8.00,M,30.07,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010130Z AUTO 01008KT 10SM OVC019 A3007 RMK MADISHF
BRL,2017-04-01 01:35,-91.1255,40.7729,M,M,M,340.00,7.00,M,30.07,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010135Z AUTO 34007KT 10SM OVC019 A3007 RMK WND 30V01  MADISHF
BRL,2017-04-01 01:40,-91.1255,40.7729,M,M,M,10.00,7.00,M,30.07,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010140Z AUTO 01007KT 10SM OVC019 A3007 RMK MADISHF
BRL,2017-04-01 01:45,-91.1255,40.7729,M,M,M,30.00,7.00,M,30.07,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010145Z AUTO 03007KT 10SM OVC019 A3007 RMK MADISHF
BRL,2017-04-01 01:50,-91.1255,40.7729,M,M,M,30.00,9.00,M,30.07,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010150Z AUTO 03009KT 10SM OVC019 A3007 RMK MADISHF
BRL,2017-04-01 01:53,-91.1255,40.7729,42.10,36.00,78.80,30.00,9.00,0.00,30.07,1018.70,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010153Z AUTO 03009KT 10SM OVC019 06/02 A3007 RMK AO2 SLP187 T00560022 $
BRL,2017-04-01 01:55,-91.1255,40.7729,M,M,M,30.00,8.00,M,30.07,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KBRL 010155Z AUTO 03008KT 10SM OVC019 A3007 RMK MADISHF
BRL,2017-04-01 02:00,-91.1255,40.7729,M,M,M,20.00,9.00,M,30.07,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KBRL 010200Z AUTO 02009KT 10SM OVC019 A3007 RMK MADISHF
BRL,2017-04-01 02:15,-91.1255,40.7729,M,M,M,30.00,12.00,M,30.08,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010215Z AUTO 03012KT 10SM OVC019 A3008 RMK MADISHF
BRL,2017-04-01 02:20,-91.1255,40.7729,M,M,M,20.00,8.00,M,30.08,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010220Z AUTO 02008KT 10SM OVC019 A3008 RMK MADISHF
BRL,2017-04-01 02:25,-91.1255,40.7729,M,M,M,30.00,8.00,M,30.08,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010225Z AUTO 03008KT 10SM OVC019 A3008 RMK MADISHF
BRL,2017-04-01 02:30,-91.1255,40.7729,M,M,M,20.00,6.00,M,30.08,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010230Z AUTO 02006KT 10SM OVC019 A3008 RMK MADISHF
BRL,2017-04-01 02:35,-91.1255,40.7729,M,M,M,10.00,5.00,M,30.09,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010235Z AUTO 01005KT 10SM OVC019 A3009 RMK MADISHF
BRL,2017-04-01 02:40,-91.1255,40.7729,M,M,M,360.00,5.00,M,30.09,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBRL 010240Z AUTO 36005KT 10SM OVC019 A3009 RMK MADISHF
