#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BTL,2017-04-01 00:00,-85.2515,42.3073,M,M,M,10.00,6.00,M,29.89,M,4.00,M,OVC,M,M,M,600.00,M,M,M,-RA BR,KBTL 010000Z AUTO 01006KT 4SM -RA BR OVC006 A2989 RMK CIG 3V9  MADISHF
BTL,2017-04-01 00:05,-85.2515,42.3073,M,M,M,360.00,6.00,0.01,29.89,M,4.00,M,OVC,M,M,M,499.00,M,M,M,-RA BR,KBTL 010005Z AUTO 36006KT 4SM -RA BR OVC004 A2989 RMK P0001 CIG 3V9  MADISHF
BTL,2017-04-01 00:10,-85.2515,42.3073,M,M,M,350.00,7.00,0.01,29.90,M,5.00,M,BKN,OVC,M,M,499.00,800.00,M,M,-RA BR,KBTL 010010Z AUTO 35007KT 5SM -RA BR BKN004 OVC008 A2990 RMK P0001 MADISHF
BTL,2017-04-01 00:15,-85.2515,42.3073,M,M,M,360.00,10.00,0.01,29.90,M,6.00,M,OVC,M,M,M,499.00,M,M,M,-RA BR,KBTL 010015Z AUTO 36010KT 6SM -RA BR OVC004 A2990 RMK P0001 CIG 3V8  MADISHF
BTL,2017-04-01 00:20,-85.2515,42.3073,M,M,M,M,M,0.01,29.90,M,6.00,M,BKN,OVC,M,M,499.00,1200.00,M,M,UP BR,KBTL 010020Z AUTO /////KT 6SM UP BR BKN004 OVC012 A2990 RMK P0001 MADISHF
BTL,2017-04-01 00:25,-85.2515,42.3073,M,M,M,20.00,9.00,0.01,29.90,M,8.00,M,BKN,BKN,OVC,M,499.00,1200.00,1600.00,M,M,KBTL 010025Z AUTO 02009KT 8SM BKN004 BKN012 OVC016 A2990 RMK P0001 MADISHF
BTL,2017-04-01 00:30,-85.2515,42.3073,M,M,M,M,M,0.01,29.90,M,9.00,M,SCT,BKN,OVC,M,499.00,1200.00,1999.00,M,M,KBTL 010030Z AUTO /////KT 9SM SCT004 BKN012 OVC019 A2990 RMK P0001 MADISHF
BTL,2017-04-01 00:34,-85.2515,42.3073,37.00,35.10,92.76,20.00,10.00,0.01,29.90,M,10.00,M,SCT,BKN,OVC,M,500.00,1300.00,2000.00,M,M,KBTL 010034Z 02010KT 10SM SCT005 BKN013 OVC020 03/02 A2990 RMK AO2 RAE20UPB20E23 P0001 T00280017
BTL,2017-04-01 00:35,-85.2515,42.3073,M,M,M,20.00,9.00,0.01,29.90,M,10.00,M,SCT,BKN,OVC,M,499.00,1300.00,1999.00,M,M,KBTL 010035Z AUTO 02009KT 10SM SCT004 BKN013 OVC019 A2990 RMK P0001 MADISHF
BTL,2017-04-01 00:40,-85.2515,42.3073,M,M,M,M,M,0.01,29.91,M,8.00,M,SCT,OVC,M,M,800.00,1300.00,M,M,M,KBTL 010040Z AUTO /////KT 8SM SCT008 OVC013 A2991 RMK P0001 MADISHF
BTL,2017-04-01 00:45,-85.2515,42.3073,M,M,M,20.00,9.00,0.01,29.91,M,6.00,M,SCT,OVC,M,M,800.00,1300.00,M,M,BR,KBTL 010045Z AUTO 02009KT 6SM BR SCT008 OVC013 A2991 RMK P0001 MADISHF
BTL,2017-04-01 00:50,-85.2515,42.3073,M,M,M,10.00,7.00,0.01,29.91,M,5.00,M,SCT,OVC,M,M,800.00,1300.00,M,M,BR,KBTL 010050Z AUTO 01007KT 5SM BR SCT008 OVC013 A2991 RMK P0001 MADISHF
BTL,2017-04-01 00:53,-85.2515,42.3073,36.00,35.10,96.49,360.00,7.00,0.01,29.92,1013.90,5.00,M,BKN,OVC,M,M,800.00,1300.00,M,M,BR,KBTL 010053Z 36007KT 5SM BR BKN008 OVC013 02/02 A2992 RMK AO2 RAE20UPB20E23 SLP139 P0001 T00220017
BTL,2017-04-01 00:55,-85.2515,42.3073,M,M,M,360.00,8.00,M,29.92,M,6.00,M,BKN,OVC,M,M,800.00,1300.00,M,M,BR,KBTL 010055Z AUTO 36008KT 6SM BR BKN008 OVC013 A2992 RMK MADISHF
BTL,2017-04-01 01:00,-85.2515,42.3073,M,M,M,10.00,8.00,M,29.92,M,7.00,M,BKN,OVC,M,M,700.00,1300.00,M,M,M,KBTL 010100Z AUTO 01008KT 7SM BKN007 OVC013 A2992 RMK CIG 5V9  MADISHF
BTL,2017-04-01 01:05,-85.2515,42.3073,M,M,M,10.00,9.00,M,29.92,M,5.00,M,BKN,OVC,M,M,700.00,1200.00,M,M,BR,KBTL 010105Z AUTO 01009KT 5SM BR BKN007 OVC012 A2992 RMK CIG 4V9  MADISHF
BTL,2017-04-01 01:10,-85.2515,42.3073,M,M,M,10.00,7.00,0.00,29.92,M,3.00,M,OVC,M,M,M,700.00,M,M,M,UP BR,KBTL 010110Z AUTO 01007KT 3SM UP BR OVC007 A2992 RMK P0000 CIG 4V9  MADISHF
BTL,2017-04-01 01:15,-85.2515,42.3073,M,M,M,10.00,6.00,0.00,29.92,M,3.00,M,OVC,M,M,M,499.00,M,M,M,UP BR,KBTL 010115Z AUTO 01006KT 3SM UP BR OVC004 A2992 RMK P0000 CIG 3V9  MADISHF
BTL,2017-04-01 01:20,-85.2515,42.3073,M,M,M,10.00,6.00,0.00,29.93,M,3.00,M,OVC,M,M,M,499.00,M,M,M,UP BR,KBTL 010120Z AUTO 01006KT 3SM UP BR OVC004 A2993 RMK P0000 CIG 3V7  MADISHF
BTL,2017-04-01 01:25,-85.2515,42.3073,M,M,M,350.00,8.00,0.00,29.93,M,3.50,M,OVC,M,M,M,499.00,M,M,M,UP BR,KBTL 010125Z AUTO 35008KT 3SM UP BR OVC004 A2993 RMK P0000 CIG 3V9  MADISHF
BTL,2017-04-01 01:30,-85.2515,42.3073,M,M,M,360.00,7.00,0.00,29.94,M,4.00,M,OVC,M,M,M,499.00,M,M,M,UP BR,KBTL 010130Z AUTO 36007KT 4SM UP BR OVC004 A2994 RMK P0000 CIG 3V8  MADISHF
BTL,2017-04-01 01:35,-85.2515,42.3073,M,M,M,360.00,6.00,M,29.94,M,4.00,M,BKN,OVC,M,M,499.00,800.00,M,M,-RA BR,KBTL 010135Z AUTO 36006KT 4SM -RA BR BKN004 OVC008 A2994 RMK MADISHF
BTL,2017-04-01 01:40,-85.2515,42.3073,M,M,M,10.00,9.00,M,29.94,M,4.00,M,OVC,M,M,M,499.00,M,M,M,-RA BR,KBTL 010140Z AUTO 01009KT 4SM -RA BR OVC004 A2994 RMK CIG 3V10  MADISHF
BTL,2017-04-01 01:45,-85.2515,42.3073,M,M,M,10.00,8.00,M,29.94,M,5.00,M,BKN,OVC,M,M,499.00,1100.00,M,M,-RA BR,KBTL 010145Z AUTO 01008KT 5SM -RA BR BKN004 OVC011 A2994 RMK MADISHF
BTL,2017-04-01 01:50,-85.2515,42.3073,M,M,M,20.00,8.00,M,29.94,M,9.00,M,BKN,OVC,M,M,499.00,1100.00,M,M,-RA,KBTL 010150Z AUTO 02008KT 9SM -RA BKN004 OVC011 A2994 RMK CIG 3V7  MADISHF
BTL,2017-04-01 01:53,-85.2515,42.3073,37.00,35.10,92.76,20.00,7.00,0.00,29.94,1014.80,10.00,M,BKN,OVC,M,M,500.00,1100.00,M,M,M,KBTL 010153Z 02007KT 10SM BKN005 OVC011 03/02 A2994 RMK AO2 UPB08E33RAB33E53 SLP148 P0000 T00280017
BTL,2017-04-01 01:55,-85.2515,42.3073,M,M,M,30.00,8.00,M,29.94,M,10.00,M,SCT,BKN,OVC,M,499.00,1100.00,1400.00,M,M,KBTL 010155Z AUTO 03008KT 10SM SCT004 BKN011 OVC014 A2994 RMK CIG 8V12  MADISHF
BTL,2017-04-01 02:00,-85.2515,42.3073,M,M,M,20.00,8.00,M,29.95,M,9.00,M,SCT,OVC,M,M,600.00,1100.00,M,M,M,KBTL 010200Z AUTO 02008KT 9SM SCT006 OVC011 A2995 RMK MADISHF
