#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BUR,2017-04-01 00:00,-118.3587,34.2007,M,M,M,180.00,10.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUR 010000Z AUTO 18010KT 10SM CLR A2979 RMK MADISHF
BUR,2017-04-01 00:05,-118.3587,34.2007,M,M,M,190.00,11.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUR 010005Z AUTO 19011KT 10SM CLR A2979 RMK MADISHF
BUR,2017-04-01 00:10,-118.3587,34.2007,M,M,M,190.00,9.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUR 010010Z AUTO 19009KT 10SM CLR A2979 RMK MADISHF
BUR,2017-04-01 00:15,-118.3587,34.2007,M,M,M,160.00,9.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUR 010015Z AUTO 16009KT 10SM CLR A2979 RMK MADISHF
BUR,2017-04-01 00:20,-118.3587,34.2007,M,M,M,M,M,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUR 010020Z AUTO /////KT 10SM CLR A2979 RMK MADISHF
BUR,2017-04-01 00:25,-118.3587,34.2007,M,M,M,160.00,9.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUR 010025Z AUTO 16009KT 10SM CLR A2979 RMK MADISHF
BUR,2017-04-01 00:30,-118.3587,34.2007,M,M,M,150.00,11.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUR 010030Z AUTO 15011KT 10SM CLR A2979 RMK MADISHF
BUR,2017-04-01 00:35,-118.3587,34.2007,M,M,M,180.00,8.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUR 010035Z AUTO 18008KT 10SM CLR A2980 RMK MADISHF
BUR,2017-04-01 00:40,-118.3587,34.2007,M,M,M,180.00,7.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUR 010040Z AUTO 18007KT 10SM CLR A2980 RMK MADISHF
BUR,2017-04-01 00:45,-118.3587,34.2007,M,M,M,160.00,8.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUR 010045Z AUTO 16008KT 10SM CLR A2980 RMK MADISHF
BUR,2017-04-01 00:50,-118.3587,34.2007,M,M,M,190.00,9.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUR 010050Z AUTO 19009KT 10SM CLR A2980 RMK MADISHF
BUR,2017-04-01 00:53,-118.3587,34.2007,64.90,27.00,23.75,200.00,7.00,0.00,29.80,1008.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUR 010053Z 20007KT 10SM CLR 18/M03 A2980 RMK AO2 SLP082 T01831028
BUR,2017-04-01 00:55,-118.3587,34.2007,M,M,M,170.00,6.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUR 010055Z AUTO 17006KT 10SM CLR A2980 RMK MADISHF
