#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BUU,2017-04-01 00:15,-88.3046,42.6907,46.80,37.00,68.53,10.00,6.00,0.00,29.97,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KBUU 010015Z AUTO 01006KT 10SM OVC050 08/03 A2997 RMK AO2 T00820028
BUU,2017-04-01 00:35,-88.3046,42.6907,45.90,37.40,72.03,20.00,3.00,0.00,29.98,M,10.00,M,OVC,M,M,M,4800.00,M,M,M,M,KBUU 010035Z AUTO 02003KT 10SM OVC048 08/03 A2998 RMK AO2 T00770030
BUU,2017-04-01 00:55,-88.3046,42.6907,44.40,37.60,76.86,0.00,0.00,0.00,29.99,M,10.00,M,OVC,M,M,M,5000.00,M,M,M,M,KBUU 010055Z AUTO 00000KT 10SM OVC050 07/03 A2999 RMK AO2 T00690031
BUU,2017-04-01 01:15,-88.3046,42.6907,42.80,36.90,79.49,70.00,5.00,0.00,30.00,M,10.00,M,SCT,M,M,M,5000.00,M,M,M,M,KBUU 010115Z AUTO 07005KT 10SM SCT050 06/03 A3000 RMK AO2 T00600027
BUU,2017-04-01 01:35,-88.3046,42.6907,41.50,36.10,80.97,70.00,3.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010135Z AUTO 07003KT 10SM CLR 05/02 A3001 RMK AO2 T00530023
BUU,2017-04-01 01:55,-88.3046,42.6907,40.10,35.60,83.81,0.00,0.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010155Z AUTO 00000KT 10SM CLR 05/02 A3002 RMK AO2 T00450020
BUU,2017-04-01 02:15,-88.3046,42.6907,40.30,35.60,83.16,0.00,0.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010215Z AUTO 00000KT 10SM CLR 05/02 A3003 RMK AO2 T00460020
BUU,2017-04-01 02:35,-88.3046,42.6907,38.30,34.70,86.74,0.00,0.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010235Z AUTO 00000KT 10SM CLR 04/02 A3004 RMK AO2 T00350015
BUU,2017-04-01 02:55,-88.3046,42.6907,37.00,34.90,92.02,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010255Z AUTO 00000KT 10SM CLR 03/02 A3005 RMK AO2 T00280016
BUU,2017-04-01 03:15,-88.3046,42.6907,36.90,34.20,89.84,330.00,3.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010315Z AUTO 33003KT 10SM CLR 03/01 A3005 RMK AO2 T00270012
BUU,2017-04-01 03:35,-88.3046,42.6907,35.10,34.00,95.71,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010335Z AUTO 00000KT 10SM CLR 02/01 A3005 RMK AO2 T00170011
BUU,2017-04-01 03:55,-88.3046,42.6907,35.10,34.50,97.64,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010355Z AUTO 00000KT 10SM CLR 02/01 A3005 RMK AO2 T00170014
BUU,2017-04-01 04:15,-88.3046,42.6907,33.60,33.30,98.81,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010415Z AUTO 00000KT 10SM CLR 01/01 A3005 RMK AO2 T00090007
BUU,2017-04-01 04:35,-88.3046,42.6907,34.20,33.60,97.63,0.00,0.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010435Z AUTO 00000KT 10SM CLR 01/01 A3007 RMK AO2 T00120009
BUU,2017-04-01 04:55,-88.3046,42.6907,32.50,32.50,100.00,0.00,0.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010455Z AUTO 00000KT 10SM CLR 00/00 A3007 RMK AO2 T00030003
BUU,2017-04-01 05:15,-88.3046,42.6907,33.80,33.80,100.00,0.00,0.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010515Z AUTO 00000KT 10SM CLR 01/01 A3008 RMK AO2 T00100010
BUU,2017-04-01 05:35,-88.3046,42.6907,32.90,32.90,100.00,0.00,0.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010535Z AUTO 00000KT 10SM CLR 01/01 A3009 RMK AO2 T00050005
BUU,2017-04-01 05:55,-88.3046,42.6907,32.50,32.50,100.00,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010555Z AUTO 00000KT 10SM CLR 00/00 A3010 RMK AO2 T00030003 10082 20000 400860000
BUU,2017-04-01 06:15,-88.3046,42.6907,32.00,32.00,100.00,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010615Z AUTO 00000KT 10SM CLR 00/00 A3010 RMK AO2 T00000000
BUU,2017-04-01 06:35,-88.3046,42.6907,32.00,32.00,100.00,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010635Z AUTO 00000KT 10SM CLR 00/00 A3010 RMK AO2 T00000000
BUU,2017-04-01 06:55,-88.3046,42.6907,32.00,32.00,100.00,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010655Z AUTO 00000KT 10SM CLR 00/00 A3010 RMK AO2 T00000000
BUU,2017-04-01 07:15,-88.3046,42.6907,31.80,31.80,100.00,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010715Z AUTO 00000KT 10SM CLR 00/00 A3010 RMK AO2 T10011001
BUU,2017-04-01 07:35,-88.3046,42.6907,31.60,31.60,100.00,0.00,0.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010735Z AUTO 00000KT 10SM CLR 00/00 A3011 RMK AO2 T10021002
BUU,2017-04-01 07:55,-88.3046,42.6907,32.00,32.00,100.00,290.00,3.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010755Z AUTO 29003KT 10SM CLR 00/00 A3012 RMK AO2 T00000000
BUU,2017-04-01 08:15,-88.3046,42.6907,32.00,32.00,100.00,0.00,0.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010815Z AUTO 00000KT 10SM CLR 00/00 A3012 RMK AO2 T00000000
BUU,2017-04-01 08:35,-88.3046,42.6907,32.00,32.00,100.00,0.00,0.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010835Z AUTO 00000KT 10SM CLR 00/00 A3013 RMK AO2 T00000000
BUU,2017-04-01 08:55,-88.3046,42.6907,31.10,31.10,100.00,0.00,0.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010855Z AUTO 00000KT 10SM CLR 00/00 A3013 RMK AO2 T10051005
BUU,2017-04-01 09:15,-88.3046,42.6907,31.10,31.10,100.00,0.00,0.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010915Z AUTO 00000KT 10SM CLR 00/00 A3013 RMK AO2 T10051005
BUU,2017-04-01 09:35,-88.3046,42.6907,31.10,31.10,100.00,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010935Z AUTO 00000KT 10SM CLR 00/00 A3014 RMK AO2 T10051005
BUU,2017-04-01 09:55,-88.3046,42.6907,31.60,30.70,96.42,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 010955Z AUTO 00000KT 10SM CLR 00/M01 A3014 RMK AO2 T10021007
BUU,2017-04-01 10:15,-88.3046,42.6907,30.90,30.70,99.19,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011015Z AUTO 00000KT 10SM CLR M01/M01 A3014 RMK AO2 T10061007
BUU,2017-04-01 10:35,-88.3046,42.6907,31.10,31.10,100.00,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011035Z AUTO 00000KT 10SM CLR 00/00 A3014 RMK AO2 T10051005
BUU,2017-04-01 10:55,-88.3046,42.6907,32.00,32.00,100.00,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011055Z AUTO 00000KT 10SM CLR 00/00 A3014 RMK AO2 T00000000
BUU,2017-04-01 11:15,-88.3046,42.6907,30.90,30.90,100.00,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011115Z AUTO 00000KT 10SM CLR M01/M01 A3014 RMK AO2 T10061006
BUU,2017-04-01 11:35,-88.3046,42.6907,31.60,31.60,100.00,0.00,0.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011135Z AUTO 00000KT 10SM CLR 00/00 A3016 RMK AO2 T10021002
BUU,2017-04-01 11:55,-88.3046,42.6907,31.30,31.30,100.00,0.00,0.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011155Z AUTO 00000KT 10SM CLR 00/00 A3018 RMK AO2 T10041004 10006 21010
BUU,2017-04-01 12:15,-88.3046,42.6907,31.30,31.30,100.00,0.00,0.00,0.00,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011215Z AUTO 00000KT 10SM CLR 00/00 A3019 RMK AO2 T10041004
BUU,2017-04-01 12:35,-88.3046,42.6907,32.50,32.50,100.00,0.00,0.00,0.00,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011235Z AUTO 00000KT 10SM CLR 00/00 A3019 RMK AO2 T00030003
BUU,2017-04-01 12:55,-88.3046,42.6907,35.10,34.90,99.21,0.00,0.00,0.00,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011255Z AUTO 00000KT 10SM CLR 02/02 A3019 RMK AO2 T00170016
BUU,2017-04-01 13:15,-88.3046,42.6907,37.80,35.80,92.41,0.00,0.00,0.00,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011315Z AUTO 00000KT 10SM CLR 03/02 A3020 RMK AO2 T00320021
BUU,2017-04-01 13:35,-88.3046,42.6907,41.70,36.00,80.03,0.00,0.00,0.00,30.20,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011335Z AUTO 00000KT 10SM CLR 05/02 A3020 RMK AO2 T00540022
BUU,2017-04-01 13:55,-88.3046,42.6907,44.40,33.60,65.58,0.00,0.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011355Z AUTO 00000KT 10SM CLR 07/01 A3021 RMK AO2 T00690009
BUU,2017-04-01 14:15,-88.3046,42.6907,47.10,30.90,53.10,360.00,3.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011415Z AUTO 36003KT 10SM CLR 08/M01 A3021 RMK AO2 T00841006
BUU,2017-04-01 14:35,-88.3046,42.6907,48.90,27.10,42.49,360.00,4.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011435Z AUTO 36004KT 10SM CLR 09/M03 A3021 RMK AO2 T00941027
BUU,2017-04-01 14:55,-88.3046,42.6907,49.50,24.10,36.69,0.00,0.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011455Z AUTO 00000KT 10SM CLR 10/M04 A3022 RMK AO2 T00971044
BUU,2017-04-01 15:15,-88.3046,42.6907,51.10,26.10,37.57,290.00,3.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011515Z AUTO 29003KT 10SM CLR 11/M03 A3023 RMK AO2 T01061033
BUU,2017-04-01 15:35,-88.3046,42.6907,51.60,23.70,33.37,0.00,0.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011535Z AUTO 00000KT 10SM CLR 11/M05 A3023 RMK AO2 T01091046
BUU,2017-04-01 15:55,-88.3046,42.6907,53.10,28.20,38.06,280.00,3.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011555Z AUTO 28003KT 10SM CLR 12/M02 A3023 RMK AO2 T01171021
BUU,2017-04-01 16:15,-88.3046,42.6907,53.60,26.80,35.27,290.00,7.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011615Z AUTO 29007KT 10SM CLR 12/M03 A3023 RMK AO2 T01201029
BUU,2017-04-01 16:35,-88.3046,42.6907,54.30,26.20,33.54,320.00,3.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011635Z AUTO 32003KT 10SM CLR 12/M03 A3023 RMK AO2 T01241032
BUU,2017-04-01 16:55,-88.3046,42.6907,54.90,28.20,35.63,280.00,5.00,0.00,30.23,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011655Z AUTO 28005KT 10SM CLR 13/M02 A3023 RMK AO2 T01271021
BUU,2017-04-01 17:15,-88.3046,42.6907,55.90,29.30,35.94,280.00,6.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011715Z AUTO 28006KT 10SM CLR 13/M01 A3022 RMK AO2 T01331015
BUU,2017-04-01 17:35,-88.3046,42.6907,56.70,27.70,32.70,0.00,0.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011735Z AUTO 00000KT 10SM CLR 14/M02 A3021 RMK AO2 T01371024
BUU,2017-04-01 17:55,-88.3046,42.6907,56.80,27.30,32.05,270.00,3.00,0.00,30.22,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011755Z AUTO 27003KT 10SM CLR 14/M03 A3022 RMK AO2 T01381026 10140 21005
BUU,2017-04-01 18:15,-88.3046,42.6907,57.90,28.90,32.90,290.00,5.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011815Z AUTO 29005KT 10SM CLR 14/M02 A3021 RMK AO2 T01441017
BUU,2017-04-01 18:35,-88.3046,42.6907,58.60,28.80,31.95,290.00,3.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011835Z AUTO 29003KT 10SM CLR 15/M02 A3021 RMK AO2 T01481018
BUU,2017-04-01 18:55,-88.3046,42.6907,59.00,28.40,30.98,0.00,0.00,0.00,30.21,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011855Z AUTO 00000KT 10SM CLR 15/M02 A3021 RMK AO2 T01501020
BUU,2017-04-01 19:15,-88.3046,42.6907,59.20,27.90,30.14,330.00,5.00,0.00,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011915Z AUTO 33005KT 10SM CLR 15/M02 A3019 RMK AO2 T01511023
BUU,2017-04-01 19:35,-88.3046,42.6907,59.40,26.40,28.13,50.00,4.00,0.00,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011935Z AUTO 05004KT 10SM CLR 15/M03 A3019 RMK AO2 T01521031
BUU,2017-04-01 19:55,-88.3046,42.6907,60.40,28.90,30.09,30.00,5.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 011955Z AUTO 03005KT 10SM CLR 16/M02 A3017 RMK AO2 T01581017
BUU,2017-04-01 20:15,-88.3046,42.6907,60.40,28.60,29.72,30.00,3.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 012015Z AUTO 03003KT 10SM CLR 16/M02 A3017 RMK AO2 T01581019
BUU,2017-04-01 20:35,-88.3046,42.6907,61.00,29.10,29.69,340.00,4.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 012035Z AUTO 34004KT 10SM CLR 16/M02 A3017 RMK AO2 T01611016
BUU,2017-04-01 20:55,-88.3046,42.6907,60.40,25.50,26.15,0.00,0.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 012055Z AUTO 00000KT 10SM CLR 16/M04 A3017 RMK AO2 T01581036
BUU,2017-04-01 21:15,-88.3046,42.6907,60.30,25.20,25.92,0.00,0.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 012115Z AUTO 00000KT 10SM CLR 16/M04 A3017 RMK AO2 T01571038
BUU,2017-04-01 21:35,-88.3046,42.6907,60.80,29.10,29.90,0.00,0.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 012135Z AUTO 00000KT 10SM CLR 16/M02 A3017 RMK AO2 T01601016
BUU,2017-04-01 21:55,-88.3046,42.6907,61.00,27.90,28.27,0.00,0.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 012155Z AUTO 00000KT 10SM CLR 16/M02 A3017 RMK AO2 T01611023
BUU,2017-04-01 22:15,-88.3046,42.6907,61.20,28.80,29.12,240.00,4.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 012215Z AUTO 24004KT 10SM CLR 16/M02 A3017 RMK AO2 T01621018
BUU,2017-04-01 22:35,-88.3046,42.6907,60.30,28.60,29.82,210.00,3.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 012235Z AUTO 21003KT 10SM CLR 16/M02 A3017 RMK AO2 T01571019
BUU,2017-04-01 22:55,-88.3046,42.6907,60.10,26.80,27.89,0.00,0.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 012255Z AUTO 00000KT 10SM CLR 16/M03 A3017 RMK AO2 T01561029
BUU,2017-04-01 23:15,-88.3046,42.6907,59.50,30.70,33.43,220.00,5.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 012315Z AUTO 22005KT 10SM CLR 15/M01 A3018 RMK AO2 T01531007
BUU,2017-04-01 23:35,-88.3046,42.6907,57.40,32.00,37.99,230.00,4.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 012335Z AUTO 23004KT 10SM CLR 14/00 A3018 RMK AO2 T01410000
BUU,2017-04-01 23:55,-88.3046,42.6907,55.40,33.30,43.03,250.00,3.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBUU 012355Z AUTO 25003KT 10SM CLR 13/01 A3018 RMK AO2 T01300007 10164 20130
