#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BVE,2017-04-01 00:51,-89.4075,29.3333,69.10,54.00,58.60,140.00,3.00,0.00,29.91,1012.80,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 010051Z AUTO 14003KT 10SM CLR 21/12 A2991 RMK AO2 SLP128 T02060122
BVE,2017-04-01 01:51,-89.4075,29.3333,66.90,60.10,78.77,140.00,3.00,0.00,29.93,1013.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 010151Z AUTO 14003KT 10SM CLR 19/16 A2993 RMK AO2 SLP134 T01940156
BVE,2017-04-01 02:51,-89.4075,29.3333,66.00,57.90,75.12,0.00,0.00,0.00,29.94,1013.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 010251Z AUTO 00000KT 10SM CLR 19/14 A2994 RMK AO2 SLP139 T01890144 53014
BVE,2017-04-01 03:51,-89.4075,29.3333,66.00,60.10,81.27,140.00,5.00,0.00,29.95,1014.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 010351Z AUTO 14005KT 10SM CLR 19/16 A2995 RMK AO2 SLP142 T01890156
BVE,2017-04-01 04:51,-89.4075,29.3333,66.00,61.00,83.91,150.00,4.00,0.00,29.96,1014.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 010451Z AUTO 15004KT 10SM CLR 19/16 A2996 RMK AO2 SLP143 T01890161
BVE,2017-04-01 05:51,-89.4075,29.3333,66.00,61.00,83.91,160.00,3.00,0.00,29.96,1014.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 010551Z AUTO 16003KT 10SM CLR 19/16 A2996 RMK AO2 SLP144 T01890161 10228 20189 402390167 51005
BVE,2017-04-01 06:51,-89.4075,29.3333,64.00,60.10,87.14,0.00,0.00,0.00,29.95,1014.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 010651Z AUTO 00000KT 10SM CLR 18/16 A2995 RMK AO2 SLP142 T01780156
BVE,2017-04-01 07:51,-89.4075,29.3333,63.00,59.00,86.77,120.00,3.00,0.00,29.95,1014.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 010751Z AUTO 12003KT 10SM CLR 17/15 A2995 RMK AO2 SLP143 T01720150
BVE,2017-04-01 08:51,-89.4075,29.3333,62.10,60.10,93.16,0.00,0.00,0.00,29.96,1014.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 010851Z AUTO 00000KT 10SM CLR 17/16 A2996 RMK AO2 SLP144 T01670156 53000
BVE,2017-04-01 09:51,-89.4075,29.3333,61.00,60.10,96.85,0.00,0.00,0.00,29.96,1014.40,8.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 010951Z AUTO 00000KT 8SM CLR 16/16 A2996 RMK AO2 SLP144 T01610156
BVE,2017-04-01 10:51,-89.4075,29.3333,61.00,61.00,100.00,50.00,3.00,0.00,29.97,1014.90,7.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 011051Z AUTO 05003KT 7SM CLR 16/16 A2997 RMK AO2 SLP149 T01610161
BVE,2017-04-01 11:51,-89.4075,29.3333,62.10,61.00,96.18,70.00,3.00,0.00,30.00,1015.70,5.00,M,CLR,M,M,M,M,M,M,M,BR,KBVE 011151Z AUTO 07003KT 5SM BR CLR 17/16 A3000 RMK AO2 SLP157 T01670161 10194 20161 53013
BVE,2017-04-01 12:51,-89.4075,29.3333,64.90,62.10,90.64,90.00,3.00,0.00,30.02,1016.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 011251Z AUTO 09003KT 10SM CLR 18/17 A3002 RMK AO2 SLP165 T01830167
BVE,2017-04-01 13:51,-89.4075,29.3333,69.10,62.10,78.39,70.00,3.00,0.00,30.04,1017.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 011351Z AUTO 07003KT 10SM CLR 21/17 A3004 RMK AO2 SLP172 T02060167
BVE,2017-04-01 14:51,-89.4075,29.3333,71.10,64.00,78.28,80.00,6.00,0.00,30.05,1017.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 011451Z AUTO 08006KT 10SM CLR 22/18 A3005 RMK AO2 SLP174 T02170178 51017
BVE,2017-04-01 15:51,-89.4075,29.3333,73.90,63.00,68.76,90.00,11.00,0.00,30.05,1017.70,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 011551Z AUTO 09011KT 10SM CLR 23/17 A3005 RMK AO2 SLP177 T02330172
BVE,2017-04-01 16:51,-89.4075,29.3333,75.00,63.00,66.27,100.00,9.00,0.00,30.05,1017.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 011651Z AUTO 10009KT 10SM CLR 24/17 A3005 RMK AO2 SLP176 T02390172
BVE,2017-04-01 17:51,-89.4075,29.3333,75.00,63.00,66.27,80.00,11.00,0.00,30.05,1017.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 011751Z AUTO 08011KT 10SM CLR 24/17 A3005 RMK AO2 SLP174 T02390172 10244 20167 50001
BVE,2017-04-01 18:51,-89.4075,29.3333,75.90,62.10,62.30,100.00,11.00,0.00,30.04,1017.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 011851Z AUTO 10011KT 10SM CLR 24/17 A3004 RMK AO2 SLP171 T02440167
BVE,2017-04-01 19:51,-89.4075,29.3333,75.00,63.00,66.27,80.00,12.00,0.00,30.02,1016.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 011951Z AUTO 08012KT 10SM CLR 24/17 A3002 RMK AO2 SLP165 T02390172
BVE,2017-04-01 20:51,-89.4075,29.3333,75.00,64.00,68.64,80.00,13.00,0.00,30.00,1016.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 012051Z AUTO 08013KT 10SM CLR 24/18 A3000 RMK AO2 SLP160 T02390178 58015
BVE,2017-04-01 21:51,-89.4075,29.3333,75.00,64.00,68.64,100.00,9.00,0.00,30.01,1016.00,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 012151Z AUTO 10009KT 10SM CLR 24/18 A3001 RMK AO2 SLP160 T02390178
BVE,2017-04-01 22:51,-89.4075,29.3333,75.00,64.90,70.83,100.00,9.00,0.00,30.00,1015.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 012251Z AUTO 10009KT 10SM CLR 24/18 A3000 RMK AO2 SLP159 T02390183
BVE,2017-04-01 23:51,-89.4075,29.3333,71.10,64.90,80.78,110.00,6.00,0.00,30.01,1016.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVE 012351Z AUTO 11006KT 10SM CLR 22/18 A3001 RMK AO2 SLP163 T02170183 10244 20217 53003
