#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BVO,2017-04-01 00:00,-96.0112,36.7625,55.00,44.10,66.61,50.00,8.00,0.00,29.93,M,10.00,M,SCT,M,M,M,2600.00,M,M,M,M,KBVO 010000Z AUTO 05008KT 10SM SCT026 13/07 A2993 RMK AO2 T01280067 TSNO
BVO,2017-04-01 00:05,-96.0112,36.7625,M,M,M,60.00,10.00,M,29.93,M,10.00,M,FEW,M,M,M,2600.00,M,M,M,M,KBVO 010005Z AUTO 06010KT 10SM FEW026 A2993 RMK MADISHF
BVO,2017-04-01 00:10,-96.0112,36.7625,M,M,M,60.00,10.00,M,29.93,M,10.00,M,FEW,M,M,M,2600.00,M,M,M,M,KBVO 010010Z AUTO 06010KT 10SM FEW026 A2993 RMK MADISHF
BVO,2017-04-01 00:15,-96.0112,36.7625,M,M,M,60.00,8.00,M,29.93,M,10.00,M,FEW,M,M,M,2600.00,M,M,M,M,KBVO 010015Z AUTO 06008KT 10SM FEW026 A2993 RMK MADISHF
BVO,2017-04-01 00:20,-96.0112,36.7625,M,M,M,60.00,9.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010020Z AUTO 06009KT 10SM CLR A2993 RMK MADISHF
BVO,2017-04-01 00:25,-96.0112,36.7625,M,M,M,60.00,8.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010025Z AUTO 06008KT 10SM CLR A2993 RMK MADISHF
BVO,2017-04-01 00:30,-96.0112,36.7625,M,M,M,50.00,7.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010030Z AUTO 05007KT 10SM CLR A2993 RMK MADISHF
BVO,2017-04-01 00:35,-96.0112,36.7625,M,M,M,50.00,6.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010035Z AUTO 05006KT 10SM CLR A2993 RMK MADISHF
BVO,2017-04-01 00:40,-96.0112,36.7625,M,M,M,50.00,7.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010040Z AUTO 05007KT 10SM CLR A2994 RMK MADISHF
BVO,2017-04-01 00:50,-96.0112,36.7625,M,M,M,50.00,7.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010050Z AUTO 05007KT 10SM CLR A2994 RMK MADISHF
BVO,2017-04-01 00:53,-96.0112,36.7625,53.10,44.10,71.40,50.00,5.00,0.00,29.94,1013.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010053Z AUTO 05005KT 10SM CLR 12/07 A2994 RMK AO2 SLP135 T01170067 TSNO
BVO,2017-04-01 00:55,-96.0112,36.7625,M,M,M,50.00,6.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010055Z AUTO 05006KT 10SM CLR A2994 RMK MADISHF
BVO,2017-04-01 01:00,-96.0112,36.7625,M,M,M,50.00,5.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010100Z AUTO 05005KT 10SM CLR A2994 RMK MADISHF
BVO,2017-04-01 01:05,-96.0112,36.7625,M,M,M,50.00,5.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010105Z AUTO 05005KT 10SM CLR A2994 RMK MADISHF
BVO,2017-04-01 01:10,-96.0112,36.7625,M,M,M,40.00,5.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010110Z AUTO 04005KT 10SM CLR A2994 RMK MADISHF
BVO,2017-04-01 01:15,-96.0112,36.7625,M,M,M,30.00,5.00,M,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010115Z AUTO 03005KT 10SM CLR A2995 RMK MADISHF
BVO,2017-04-01 01:20,-96.0112,36.7625,M,M,M,30.00,5.00,M,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010120Z AUTO 03005KT 10SM CLR A2995 RMK MADISHF
BVO,2017-04-01 01:25,-96.0112,36.7625,M,M,M,30.00,5.00,M,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010125Z AUTO 03005KT 10SM CLR A2995 RMK MADISHF
BVO,2017-04-01 01:45,-96.0112,36.7625,M,M,M,30.00,6.00,M,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010145Z AUTO 03006KT 10SM CLR A2995 RMK MADISHF
BVO,2017-04-01 01:50,-96.0112,36.7625,M,M,M,30.00,5.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010150Z AUTO 03005KT 10SM CLR A2996 RMK MADISHF
BVO,2017-04-01 01:53,-96.0112,36.7625,50.00,43.00,76.76,30.00,6.00,0.00,29.96,1014.10,9.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010153Z AUTO 03006KT 9SM CLR 10/06 A2996 RMK AO2 SLP141 T01000061 TSNO
BVO,2017-04-01 01:55,-96.0112,36.7625,M,M,M,20.00,6.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010155Z AUTO 02006KT 10SM CLR A2996 RMK MADISHF
BVO,2017-04-01 02:00,-96.0112,36.7625,M,M,M,20.00,6.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010200Z AUTO 02006KT 10SM CLR A2996 RMK MADISHF
BVO,2017-04-01 02:05,-96.0112,36.7625,M,M,M,20.00,7.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010205Z AUTO 02007KT 10SM CLR A2996 RMK MADISHF
BVO,2017-04-01 02:10,-96.0112,36.7625,M,M,M,20.00,7.00,M,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010210Z AUTO 02007KT 10SM CLR A2995 RMK MADISHF
BVO,2017-04-01 02:25,-96.0112,36.7625,M,M,M,30.00,6.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010225Z AUTO 03006KT 10SM CLR A2996 RMK MADISHF
BVO,2017-04-01 02:30,-96.0112,36.7625,M,M,M,30.00,7.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010230Z AUTO 03007KT 10SM CLR A2996 RMK MADISHF
BVO,2017-04-01 02:35,-96.0112,36.7625,M,M,M,30.00,7.00,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010235Z AUTO 03007KT 10SM CLR A2997 RMK MADISHF
BVO,2017-04-01 02:40,-96.0112,36.7625,M,M,M,40.00,6.00,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010240Z AUTO 04006KT 10SM CLR A2997 RMK MADISHF
BVO,2017-04-01 02:45,-96.0112,36.7625,M,M,M,40.00,5.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010245Z AUTO 04005KT 10SM CLR A2998 RMK MADISHF
BVO,2017-04-01 02:50,-96.0112,36.7625,M,M,M,30.00,6.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010250Z AUTO 03006KT 10SM CLR A2998 RMK MADISHF
BVO,2017-04-01 02:53,-96.0112,36.7625,50.00,44.10,80.06,30.00,7.00,0.00,29.98,1014.90,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010253Z AUTO 03007KT 10SM CLR 10/07 A2998 RMK AO2 SLP149 T01000067 53017 TSNO
BVO,2017-04-01 03:00,-96.0112,36.7625,M,M,M,40.00,7.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010300Z AUTO 04007KT 10SM CLR A2998 RMK MADISHF
BVO,2017-04-01 03:05,-96.0112,36.7625,M,M,M,30.00,7.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVO 010305Z AUTO 03007KT 10SM CLR A2998 RMK MADISHF
