#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BVX,2017-04-01 00:00,-91.6472,35.7261,M,M,M,40.00,3.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010000Z AUTO 04003KT 10SM CLR A2990 RMK MADISHF
BVX,2017-04-01 00:10,-91.6472,35.7261,M,M,M,80.00,4.00,M,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010010Z AUTO 08004KT 10SM CLR A2991 RMK MADISHF
BVX,2017-04-01 00:15,-91.6472,35.7261,68.00,46.40,45.88,100.00,9.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010015Z AUTO 10009KT 10SM CLR 20/08 A2991 RMK AO1
BVX,2017-04-01 00:20,-91.6472,35.7261,M,M,M,100.00,8.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010020Z AUTO 10008KT 10SM CLR A2992 RMK MADISHF
BVX,2017-04-01 00:30,-91.6472,35.7261,M,M,M,100.00,8.00,M,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010030Z AUTO 10008KT 10SM CLR A2992 RMK MADISHF
BVX,2017-04-01 00:35,-91.6472,35.7261,64.40,48.20,55.63,110.00,6.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010035Z AUTO 11006KT 10SM CLR 18/09 A2992 RMK AO1
BVX,2017-04-01 00:40,-91.6472,35.7261,M,M,M,100.00,6.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010040Z AUTO 10006KT 10SM CLR A2993 RMK MADISHF
BVX,2017-04-01 00:50,-91.6472,35.7261,M,M,M,120.00,6.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010050Z AUTO 12006KT 10SM CLR A2993 RMK MADISHF
BVX,2017-04-01 00:55,-91.6472,35.7261,62.60,48.20,59.26,110.00,5.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010055Z AUTO 11005KT 10SM CLR 17/09 A2993 RMK AO1
BVX,2017-04-01 01:00,-91.6472,35.7261,M,M,M,120.00,5.00,M,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010100Z AUTO 12005KT 10SM CLR A2993 RMK MADISHF
BVX,2017-04-01 01:10,-91.6472,35.7261,M,M,M,120.00,4.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010110Z AUTO 12004KT 10SM CLR A2994 RMK MADISHF
BVX,2017-04-01 01:15,-91.6472,35.7261,60.80,48.20,63.15,120.00,5.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010115Z AUTO 12005KT 10SM CLR 16/09 A2994 RMK AO1
BVX,2017-04-01 01:20,-91.6472,35.7261,M,M,M,110.00,5.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010120Z AUTO 11005KT 10SM CLR A2994 RMK MADISHF
BVX,2017-04-01 01:30,-91.6472,35.7261,M,M,M,90.00,5.00,M,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010130Z AUTO 09005KT 10SM CLR A2994 RMK MADISHF
BVX,2017-04-01 01:35,-91.6472,35.7261,60.80,48.20,63.15,90.00,5.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010135Z AUTO 09005KT 10SM CLR 16/09 A2994 RMK AO1
BVX,2017-04-01 01:40,-91.6472,35.7261,M,M,M,90.00,5.00,M,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010140Z AUTO 09005KT 10SM CLR A2995 RMK MADISHF
BVX,2017-04-01 01:50,-91.6472,35.7261,M,M,M,90.00,5.00,M,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010150Z AUTO 09005KT 10SM CLR A2995 RMK MADISHF
BVX,2017-04-01 01:55,-91.6472,35.7261,60.80,50.00,67.54,90.00,5.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010155Z AUTO 09005KT 10SM CLR 16/10 A2995 RMK AO1
BVX,2017-04-01 02:00,-91.6472,35.7261,M,M,M,80.00,4.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010200Z AUTO 08004KT 10SM CLR A2996 RMK MADISHF
BVX,2017-04-01 02:10,-91.6472,35.7261,M,M,M,80.00,5.00,M,29.96,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010210Z AUTO 08005KT 10SM CLR A2996 RMK MADISHF
BVX,2017-04-01 02:15,-91.6472,35.7261,60.80,50.00,67.54,70.00,5.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010215Z AUTO 07005KT 10SM CLR 16/10 A2997 RMK AO1
BVX,2017-04-01 02:20,-91.6472,35.7261,M,M,M,60.00,5.00,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010220Z AUTO 06005KT 10SM CLR A2997 RMK MADISHF
BVX,2017-04-01 02:30,-91.6472,35.7261,M,M,M,60.00,5.00,M,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010230Z AUTO 06005KT 10SM CLR A2997 RMK MADISHF
BVX,2017-04-01 02:35,-91.6472,35.7261,60.80,50.00,67.54,70.00,6.00,0.00,29.97,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010235Z AUTO 07006KT 10SM CLR 16/10 A2997 RMK AO1
BVX,2017-04-01 02:40,-91.6472,35.7261,M,M,M,70.00,7.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010240Z AUTO 07007KT 10SM CLR A2998 RMK MADISHF
BVX,2017-04-01 02:50,-91.6472,35.7261,M,M,M,70.00,6.00,M,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010250Z AUTO 07006KT 10SM CLR A2998 RMK MADISHF
BVX,2017-04-01 02:55,-91.6472,35.7261,59.00,50.00,72.01,70.00,6.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010255Z AUTO 07006KT 10SM CLR 15/10 A2998 RMK AO1 52027
BVX,2017-04-01 03:00,-91.6472,35.7261,M,M,M,70.00,7.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010300Z AUTO 07007KT 10SM CLR A2999 RMK MADISHF
BVX,2017-04-01 03:10,-91.6472,35.7261,M,M,M,40.00,5.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010310Z AUTO 04005KT 10SM CLR A2999 RMK MADISHF
BVX,2017-04-01 03:15,-91.6472,35.7261,59.00,48.20,67.33,40.00,5.00,0.00,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010315Z AUTO 04005KT 10SM CLR 15/09 A2999 RMK AO1
BVX,2017-04-01 03:20,-91.6472,35.7261,M,M,M,30.00,5.00,M,29.99,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010320Z AUTO 03005KT 10SM CLR A2999 RMK MADISHF
BVX,2017-04-01 03:30,-91.6472,35.7261,M,M,M,30.00,6.00,M,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010330Z AUTO 03006KT 10SM CLR A3000 RMK MADISHF
BVX,2017-04-01 03:35,-91.6472,35.7261,57.20,46.40,67.12,40.00,7.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010335Z AUTO 04007KT 10SM CLR 14/08 A3000 RMK AO1
BVX,2017-04-01 03:40,-91.6472,35.7261,M,M,M,30.00,6.00,M,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010340Z AUTO 03006KT 10SM CLR A3000 RMK MADISHF
BVX,2017-04-01 03:50,-91.6472,35.7261,M,M,M,40.00,6.00,M,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010350Z AUTO 04006KT 10SM CLR A3000 RMK MADISHF
BVX,2017-04-01 03:55,-91.6472,35.7261,57.20,46.40,67.12,30.00,5.00,0.00,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010355Z AUTO 03005KT 10SM CLR 14/08 A3000 RMK AO1
BVX,2017-04-01 04:00,-91.6472,35.7261,M,M,M,40.00,5.00,M,30.00,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010400Z AUTO 04005KT 10SM CLR A3000 RMK MADISHF
BVX,2017-04-01 04:10,-91.6472,35.7261,M,M,M,30.00,6.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010410Z AUTO 03006KT 10SM CLR A3001 RMK MADISHF
BVX,2017-04-01 04:15,-91.6472,35.7261,57.20,44.60,62.69,30.00,5.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010415Z AUTO 03005KT 10SM CLR 14/07 A3001 RMK AO1
BVX,2017-04-01 04:20,-91.6472,35.7261,M,M,M,30.00,7.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010420Z AUTO 03007KT 10SM CLR A3001 RMK MADISHF
BVX,2017-04-01 04:30,-91.6472,35.7261,M,M,M,30.00,5.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010430Z AUTO 03005KT 10SM CLR A3001 RMK MADISHF
BVX,2017-04-01 04:35,-91.6472,35.7261,55.40,44.60,66.91,30.00,5.00,0.00,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010435Z AUTO 03005KT 10SM CLR 13/07 A3001 RMK AO1
BVX,2017-04-01 04:40,-91.6472,35.7261,M,M,M,30.00,6.00,M,30.01,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010440Z AUTO 03006KT 10SM CLR A3001 RMK MADISHF
BVX,2017-04-01 04:50,-91.6472,35.7261,M,M,M,20.00,6.00,M,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010450Z AUTO 02006KT 10SM CLR A3002 RMK MADISHF
BVX,2017-04-01 04:55,-91.6472,35.7261,55.40,44.60,66.91,20.00,6.00,0.00,30.02,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010455Z AUTO 02006KT 10SM CLR 13/07 A3002 RMK AO1
BVX,2017-04-01 05:00,-91.6472,35.7261,M,M,M,20.00,6.00,M,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KBVX 010500Z AUTO 02006KT 10SM CLR A3003 RMK MADISHF
