#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BVY,2017-04-01 00:00,-70.9161,42.5841,M,M,M,70.00,4.00,0.01,30.07,M,1.75,M,BKN,OVC,M,M,700.00,999.00,M,M,-SN BR,KBVY 010000Z AUTO 07004KT 2SM -SN BR BKN007 OVC009 A3007 RMK P0001 MADISHF
BVY,2017-04-01 00:05,-70.9161,42.5841,M,M,M,70.00,5.00,0.02,30.07,M,1.75,M,OVC,M,M,M,700.00,M,M,M,-SN BR,KBVY 010005Z AUTO 07005KT 2SM -SN BR OVC007 A3007 RMK P0002 CIG 4V9  MADISHF
BVY,2017-04-01 00:10,-70.9161,42.5841,M,M,M,60.00,5.00,0.03,30.07,M,1.50,M,BKN,OVC,M,M,499.00,900.00,M,M,-SN BR,KBVY 010010Z AUTO 06005KT 1 1/2SM -SN BR BKN004 OVC009 A3007 RMK P0003 CIG 3V7  MADISHF
BVY,2017-04-01 00:15,-70.9161,42.5841,M,M,M,60.00,4.00,0.05,30.07,M,1.75,M,BKN,OVC,M,M,499.00,1100.00,M,M,-SN BR,KBVY 010015Z AUTO 06004KT 2SM -SN BR BKN004 OVC011 A3007 RMK P0005 MADISHF
BVY,2017-04-01 00:20,-70.9161,42.5841,M,M,M,60.00,4.00,0.06,30.07,M,2.50,M,BKN,OVC,M,M,499.00,1100.00,M,M,-SN BR,KBVY 010020Z AUTO 06004KT 2 1/2SM -SN BR BKN004 OVC011 A3007 RMK P0006 MADISHF
BVY,2017-04-01 00:23,-70.9161,42.5841,34.00,33.10,96.46,70.00,4.00,0.07,30.07,M,2.00,M,BKN,OVC,M,M,600.00,1600.00,M,M,-SN BR,KBVY 010023Z AUTO 07004KT 2SM -SN BR BKN006 OVC016 01/01 A3007 RMK AO2 P0007 T00110006
BVY,2017-04-01 00:25,-70.9161,42.5841,M,M,M,70.00,4.00,0.07,30.07,M,1.75,M,BKN,OVC,M,M,600.00,1400.00,M,M,-SN BR,KBVY 010025Z AUTO 07004KT 2SM -SN BR BKN006 OVC014 A3007 RMK P0007 MADISHF
BVY,2017-04-01 00:30,-70.9161,42.5841,34.00,33.10,96.46,70.00,5.00,0.08,30.07,M,1.75,M,BKN,OVC,M,M,600.00,1400.00,M,M,-SN BR,KBVY 010030Z AUTO 07005KT 1 3/4SM -SN BR BKN006 OVC014 01/01 A3007 RMK AO2 P0008 T00110006
BVY,2017-04-01 00:34,-70.9161,42.5841,34.00,33.10,96.46,70.00,5.00,0.08,30.07,M,3.00,M,BKN,OVC,M,M,600.00,1400.00,M,M,-SN BR,KBVY 010034Z AUTO 07005KT 3SM -SN BR BKN006 OVC014 01/01 A3007 RMK AO2 P0008 T00110006
BVY,2017-04-01 00:35,-70.9161,42.5841,M,M,M,60.00,4.00,0.09,30.07,M,3.00,M,BKN,OVC,M,M,600.00,1400.00,M,M,-RA BR,KBVY 010035Z AUTO 06004KT 3SM -RA BR BKN006 OVC014 A3007 RMK P0009 MADISHF
BVY,2017-04-01 00:40,-70.9161,42.5841,M,M,M,60.00,4.00,0.09,30.06,M,5.00,M,BKN,OVC,M,M,600.00,1200.00,M,M,-RA BR,KBVY 010040Z AUTO 06004KT 5SM -RA BR BKN006 OVC012 A3006 RMK P0009 MADISHF
BVY,2017-04-01 00:45,-70.9161,42.5841,M,M,M,60.00,5.00,0.10,30.06,M,6.00,M,BKN,OVC,M,M,600.00,1200.00,M,M,-RA BR,KBVY 010045Z AUTO 06005KT 6SM -RA BR BKN006 OVC012 A3006 RMK P0010 MADISHF
