#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
BWG,2017-04-01 00:00,-86.4197,36.9645,M,M,M,320.00,5.00,M,29.94,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KBWG 010000Z AUTO 32005KT 10SM OVC019 A2994 RMK MADISHF
BWG,2017-04-01 00:05,-86.4197,36.9645,M,M,M,330.00,6.00,M,29.95,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KBWG 010005Z AUTO 33006KT 10SM OVC019 A2995 RMK MADISHF
BWG,2017-04-01 00:10,-86.4197,36.9645,M,M,M,320.00,8.00,M,29.95,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KBWG 010010Z AUTO 32008KT 10SM OVC019 A2995 RMK MADISHF
BWG,2017-04-01 00:15,-86.4197,36.9645,M,M,M,320.00,7.00,M,29.95,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KBWG 010015Z AUTO 32007KT 10SM OVC019 A2995 RMK MADISHF
BWG,2017-04-01 00:20,-86.4197,36.9645,M,M,M,330.00,6.00,M,29.95,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KBWG 010020Z AUTO 33006KT 10SM OVC019 A2995 RMK MADISHF
BWG,2017-04-01 00:25,-86.4197,36.9645,M,M,M,330.00,7.00,M,29.95,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KBWG 010025Z AUTO 33007KT 10SM OVC019 A2995 RMK MADISHF
BWG,2017-04-01 00:30,-86.4197,36.9645,M,M,M,330.00,8.00,M,29.95,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KBWG 010030Z AUTO 33008KT 10SM OVC019 A2995 RMK MADISHF
BWG,2017-04-01 00:35,-86.4197,36.9645,M,M,M,320.00,6.00,M,29.95,M,10.00,M,OVC,M,M,M,1999.00,M,M,M,M,KBWG 010035Z AUTO 32006KT 10SM OVC019 A2995 RMK MADISHF
BWG,2017-04-01 00:40,-86.4197,36.9645,M,M,M,320.00,6.00,M,29.95,M,10.00,M,BKN,OVC,M,M,1999.00,3800.00,M,M,M,KBWG 010040Z AUTO 32006KT 10SM BKN019 OVC038 A2995 RMK MADISHF
BWG,2017-04-01 00:45,-86.4197,36.9645,M,M,M,320.00,7.00,M,29.95,M,10.00,M,BKN,OVC,M,M,1999.00,3800.00,M,M,M,KBWG 010045Z AUTO 32007KT 10SM BKN019 OVC038 A2995 RMK MADISHF
