#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CAD,2017-04-01 00:15,-85.4189,44.2753,36.70,31.80,82.24,20.00,3.00,0.00,29.93,M,10.00,M,OVC,M,M,M,4700.00,M,M,M,M,KCAD 010015Z AUTO 02003KT 10SM OVC047 02/00 A2993 RMK AO2 T00261001
CAD,2017-04-01 00:35,-85.4189,44.2753,36.50,31.80,82.89,10.00,3.00,0.00,29.93,M,10.00,M,OVC,M,M,M,4700.00,M,M,M,M,KCAD 010035Z AUTO 01003KT 10SM OVC047 02/00 A2993 RMK AO2 T00251001
CAD,2017-04-01 00:55,-85.4189,44.2753,36.10,31.80,84.21,10.00,3.00,0.00,29.93,M,10.00,M,SCT,OVC,M,M,3900.00,4700.00,M,M,M,KCAD 010055Z AUTO 01003KT 10SM SCT039 OVC047 02/00 A2993 RMK AO2 T00231001
CAD,2017-04-01 01:15,-85.4189,44.2753,36.10,31.80,84.21,0.00,0.00,0.00,29.93,M,10.00,M,BKN,OVC,M,M,3700.00,4700.00,M,M,M,KCAD 010115Z AUTO 00000KT 10SM BKN037 OVC047 02/00 A2993 RMK AO2 T00231001
CAD,2017-04-01 01:35,-85.4189,44.2753,35.40,31.50,85.54,0.00,0.00,0.00,29.95,M,10.00,M,SCT,SCT,M,M,3700.00,4700.00,M,M,M,KCAD 010135Z AUTO 00000KT 10SM SCT037 SCT047 01/00 A2995 RMK AO2 T00191003
CAD,2017-04-01 01:55,-85.4189,44.2753,34.20,31.30,89.00,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAD 010155Z AUTO 00000KT 10SM CLR 01/00 A2995 RMK AO2 T00121004
CAD,2017-04-01 02:15,-85.4189,44.2753,33.60,30.90,89.70,0.00,0.00,0.00,29.96,M,10.00,M,SCT,M,M,M,4500.00,M,M,M,M,KCAD 010215Z AUTO 00000KT 10SM SCT045 01/00 A2996 RMK AO2 T00091006
CAD,2017-04-01 02:35,-85.4189,44.2753,30.70,28.60,91.80,0.00,0.00,0.00,29.97,M,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,KCAD 010235Z AUTO 00000KT 10SM OVC045 00/M02 A2997 RMK AO2 T10071019
CAD,2017-04-01 02:55,-85.4189,44.2753,32.00,30.40,93.73,0.00,0.00,0.00,29.97,M,10.00,M,OVC,M,M,M,4500.00,M,M,M,M,KCAD 010255Z AUTO 00000KT 10SM OVC045 00/M01 A2997 RMK AO2 T00001009
CAD,2017-04-01 03:14,-85.4189,44.2753,30.20,29.10,95.62,310.00,3.00,0.00,29.98,M,10.00,M,SCT,M,M,M,4500.00,M,M,M,M,KCAD 010314Z AUTO 31003KT 10SM SCT045 M01/M01 A2998 RMK AO2 T10101016
CAD,2017-04-01 03:35,-85.4189,44.2753,29.70,28.60,95.61,0.00,0.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAD 010335Z AUTO 00000KT 10SM CLR M01/M02 A2998 RMK AO2 T10131019
CAD,2017-04-01 03:55,-85.4189,44.2753,29.80,28.90,96.39,340.00,3.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAD 010355Z AUTO 34003KT 10SM CLR M01/M01 A2998 RMK AO2 T10121017
CAD,2017-04-01 04:14,-85.4189,44.2753,29.30,28.60,97.18,0.00,0.00,0.00,29.98,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAD 010414Z AUTO 00000KT 10SM CLR M01/M02 A2998 RMK AO2 T10151019
CAD,2017-04-01 04:35,-85.4189,44.2753,28.00,27.10,96.36,0.00,0.00,0.00,29.99,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KCAD 010435Z AUTO 00000KT 7SM CLR M02/M02 A2999 RMK AO2 T10221027
CAD,2017-04-01 04:55,-85.4189,44.2753,27.30,26.60,97.15,0.00,0.00,0.00,30.00,M,4.00,M,CLR,M,M,M,M,M,M,M,BR,KCAD 010455Z AUTO 00000KT 4SM BR CLR M02/M03 A3000 RMK AO2 T10261030
CAD,2017-04-01 05:14,-85.4189,44.2753,27.00,26.10,96.35,0.00,0.00,0.00,30.01,M,4.00,M,CLR,M,M,M,M,M,M,M,BR,KCAD 010514Z AUTO 00000KT 4SM BR CLR M02/M03 A3001 RMK AO2 T10281033
CAD,2017-04-01 05:35,-85.4189,44.2753,26.60,25.70,96.34,0.00,0.00,0.00,30.00,M,2.50,M,CLR,M,M,M,M,M,M,M,BR,KCAD 010535Z AUTO 00000KT 2 1/2SM BR CLR M03/M03 A3000 RMK AO2 VIS 1/2V5 T10301035
CAD,2017-04-01 05:55,-85.4189,44.2753,26.60,25.70,96.34,0.00,0.00,0.00,30.01,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KCAD 010555Z AUTO 00000KT 7SM CLR M02/M03 A3001 RMK AO2 T10301035
CAD,2017-04-01 06:14,-85.4189,44.2753,25.90,25.20,97.13,0.00,0.00,0.00,30.01,M,1.25,M,VV ,M,M,M,700.00,M,M,M,BR,KCAD 010614Z AUTO 00000KT 1 1/4SM BR VV007 M03/M03 A3001 RMK AO2 T10341038
CAD,2017-04-01 06:35,-85.4189,44.2753,26.60,25.70,96.34,0.00,0.00,0.00,30.01,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KCAD 010635Z AUTO 00000KT 7SM CLR M03/M03 A3001 RMK AO2 T10301035
CAD,2017-04-01 06:55,-85.4189,44.2753,26.10,25.20,96.33,0.00,0.00,0.00,30.02,M,0.50,M,VV ,M,M,M,500.00,M,M,M,FZFG,KCAD 010655Z AUTO 00000KT 1/2SM FZFG VV005 M03/M03 A3002 RMK AO2 T10331038
CAD,2017-04-01 07:14,-85.4189,44.2753,24.60,23.70,96.31,0.00,0.00,0.00,30.02,M,5.00,M,CLR,M,M,M,M,M,M,M,BR,KCAD 010714Z AUTO 00000KT 5SM BR CLR M03/M04 A3002 RMK AO2 T10411046
CAD,2017-04-01 07:35,-85.4189,44.2753,23.70,22.80,96.29,0.00,0.00,0.00,30.03,M,3.00,M,CLR,M,M,M,M,M,M,M,BR,KCAD 010735Z AUTO 00000KT 3SM BR CLR M04/M05 A3003 RMK AO2 T10461051
CAD,2017-04-01 07:55,-85.4189,44.2753,23.90,22.50,94.29,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAD 010755Z AUTO 00000KT 10SM CLR M04/M05 A3005 RMK AO2 T10451053
CAD,2017-04-01 08:14,-85.4189,44.2753,23.70,22.10,93.49,0.00,0.00,0.00,30.05,M,7.00,M,CLR,M,M,M,M,M,M,M,M,KCAD 010814Z AUTO 00000KT 7SM CLR M04/M05 A3005 RMK AO2 T10461055
CAD,2017-04-01 08:35,-85.4189,44.2753,23.20,21.70,93.88,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAD 010835Z AUTO 00000KT 10SM CLR M05/M05 A3005 RMK AO2 T10491057
CAD,2017-04-01 08:55,-85.4189,44.2753,23.70,22.10,93.49,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAD 010855Z AUTO 00000KT 10SM CLR M04/M05 A3005 RMK AO2 T10461055
CAD,2017-04-01 09:14,-85.4189,44.2753,23.00,21.60,94.27,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAD 010914Z AUTO 00000KT 10SM CLR M05/M06 A3005 RMK AO2 T10501058
CAD,2017-04-01 09:35,-85.4189,44.2753,21.40,19.60,92.63,0.00,0.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAD 010935Z AUTO 00000KT 10SM CLR M06/M07 A3007 RMK AO2 T10591069
