#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CAO,2017-04-01 00:00,-103.1539,36.4486,M,M,M,30.00,17.00,M,M,M,0.24,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010000Z AUTO 03017KT 1/4SM -RA FG VV002 RMK MADISHF
CAO,2017-04-01 00:05,-103.1539,36.4486,M,M,M,M,M,M,M,M,0.24,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010005Z AUTO /////KT 1/4SM -RA FG VV002 RMK MADISHF
CAO,2017-04-01 00:10,-103.1539,36.4486,M,M,M,20.00,21.00,M,29.82,M,0.24,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010010Z AUTO 02021KT 1/4SM -RA FG VV002 A2982 RMK MADISHF
CAO,2017-04-01 00:15,-103.1539,36.4486,M,M,M,30.00,17.00,M,M,M,0.24,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010015Z AUTO 03017KT 1/4SM -RA FG VV002 RMK MADISHF
CAO,2017-04-01 00:20,-103.1539,36.4486,M,M,M,30.00,20.00,M,M,M,0.25,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010020Z AUTO 03020KT 1/4SM -RA FG VV002 RMK MADISHF
CAO,2017-04-01 00:25,-103.1539,36.4486,M,M,M,30.00,19.00,0.01,M,M,0.50,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010025Z AUTO 03019KT 1/2SM -RA FG VV002 RMK P0001 MADISHF
CAO,2017-04-01 00:30,-103.1539,36.4486,37.90,37.90,100.00,30.00,21.00,0.01,29.83,M,0.50,27.00,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010030Z AUTO 03021G27KT 1/2SM -RA FG VV002 03/03 A2983 RMK AO2 PK WND 04027/0027 RAB00 P0001 T00330033
CAO,2017-04-01 00:35,-103.1539,36.4486,M,M,M,30.00,17.00,0.01,M,M,0.50,M,VV ,M,M,M,300.00,M,M,M,-RA FG,KCAO 010035Z AUTO 03017KT 1/2SM -RA FG VV003 RMK P0001  LTG DSNT W! MADISHF
CAO,2017-04-01 00:40,-103.1539,36.4486,M,M,M,40.00,15.00,0.01,M,M,0.50,M,VV ,M,M,M,300.00,M,M,M,-RA FG,KCAO 010040Z AUTO 04015KT 1/2SM -RA FG VV003 RMK P0001  LTG DSNT W! MADISHF
CAO,2017-04-01 00:45,-103.1539,36.4486,M,M,M,40.00,16.00,0.01,M,M,0.50,M,VV ,M,M,M,300.00,M,M,M,-RA FG,KCAO 010045Z AUTO 04016KT 1/2SM -RA FG VV003 RMK P0001  LTG DSNT W! MADISHF
CAO,2017-04-01 00:50,-103.1539,36.4486,M,M,M,40.00,18.00,0.01,29.86,M,0.50,M,VV ,M,M,M,300.00,M,M,M,FG,KCAO 010050Z AUTO 04018KT 1/2SM FG VV003 A2986 RMK P0001 MADISHF
CAO,2017-04-01 00:55,-103.1539,36.4486,39.00,39.00,100.00,40.00,18.00,0.01,29.85,1010.30,0.50,26.00,VV ,M,M,M,300.00,M,M,M,-RA FG,KCAO 010055Z AUTO 04018G26KT 1/2SM -RA FG VV003 04/04 A2985 RMK AO2 PK WND 04027/0027 RAB00 SLP103 P0001 T00390039 $
CAO,2017-04-01 01:00,-103.1539,36.4486,M,M,M,M,M,M,M,M,0.75,M,VV ,M,M,M,300.00,M,M,M,-RA BR,KCAO 010100Z AUTO /////KT 1SM -RA BR VV003 RMK  LTG DSNT W! MADISHF
CAO,2017-04-01 01:05,-103.1539,36.4486,M,M,M,30.00,22.00,M,M,M,0.75,M,VV ,M,M,M,300.00,M,M,M,-RA BR,KCAO 010105Z AUTO 03022KT 1SM -RA BR VV003 RMK  LTG DSNT W! MADISHF
CAO,2017-04-01 01:10,-103.1539,36.4486,M,M,M,40.00,24.00,M,29.83,M,0.75,M,VV ,M,M,M,300.00,M,M,M,-SN BR,KCAO 010110Z AUTO 04024KT 1SM -SN BR VV003 A2983 RMK  LTG DSNT W! MADISHF
CAO,2017-04-01 01:15,-103.1539,36.4486,M,M,M,40.00,25.00,M,M,M,0.75,M,VV ,M,M,M,300.00,M,M,M,-SN BR,KCAO 010115Z AUTO 04025KT 1SM -SN BR VV003 RMK MADISHF
CAO,2017-04-01 01:20,-103.1539,36.4486,M,M,M,30.00,26.00,M,M,M,0.75,M,VV ,M,M,M,300.00,M,M,M,BR,KCAO 010120Z AUTO 03026KT 1SM BR VV003 RMK MADISHF
CAO,2017-04-01 01:25,-103.1539,36.4486,M,M,M,M,M,M,M,M,0.75,M,VV ,M,M,M,200.00,M,M,M,-RA BR,KCAO 010125Z AUTO /////KT 1SM -RA BR VV002 RMK MADISHF
CAO,2017-04-01 01:30,-103.1539,36.4486,M,M,M,40.00,23.00,M,29.82,M,0.50,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010130Z AUTO 04023KT 1/2SM -RA FG VV002 A2982 RMK MADISHF
CAO,2017-04-01 01:35,-103.1539,36.4486,M,M,M,40.00,25.00,M,M,M,0.50,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010135Z AUTO 04025KT 1/2SM -RA FG VV002 RMK MADISHF
CAO,2017-04-01 01:40,-103.1539,36.4486,M,M,M,30.00,23.00,M,M,M,0.50,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010140Z AUTO 03023KT 1/2SM -RA FG VV002 RMK MADISHF
CAO,2017-04-01 01:45,-103.1539,36.4486,M,M,M,40.00,22.00,M,M,M,0.50,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010145Z AUTO 04022KT 1/2SM -RA FG VV002 RMK MADISHF
CAO,2017-04-01 01:50,-103.1539,36.4486,M,M,M,40.00,23.00,M,29.84,M,0.25,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010150Z AUTO 04023KT 1/4SM -RA FG VV002 A2984 RMK MADISHF
CAO,2017-04-01 01:52,-103.1539,36.4486,37.40,37.40,100.00,40.00,22.00,0.00,29.84,M,0.25,29.00,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010152Z AUTO 04022G29KT 1/4SM -RA FG VV002 03/03 A2984 RMK AO2 PK WND 04032/0122 SNB07E17 P0000 $
CAO,2017-04-01 01:55,-103.1539,36.4486,37.90,37.90,100.00,30.00,22.00,0.00,29.84,1009.80,0.25,28.00,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010155Z AUTO 03022G28KT 1/4SM -RA FG VV002 03/03 A2984 RMK AO2 PK WND 04032/0122 SNB07E17 SLP098 P0000 T00330033 $
CAO,2017-04-01 02:00,-103.1539,36.4486,M,M,M,30.00,18.00,M,M,M,0.50,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010200Z AUTO 03018KT 1/2SM -RA FG VV002 RMK MADISHF
CAO,2017-04-01 02:05,-103.1539,36.4486,M,M,M,30.00,20.00,M,M,M,0.50,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010205Z AUTO 03020KT 1/2SM -RA FG VV002 RMK MADISHF
CAO,2017-04-01 02:06,-103.1539,36.4486,37.90,37.90,100.00,30.00,19.00,0.00,29.85,M,0.50,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010206Z AUTO 03019KT 1/2SM -RA FG VV002 03/03 A2985 RMK AO2 PK WND 03026/0156 P0000 T00330033 $
CAO,2017-04-01 02:10,-103.1539,36.4486,M,M,M,M,M,M,M,M,0.50,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010210Z AUTO /////KT 1/2SM -RA FG VV002 RMK MADISHF
CAO,2017-04-01 02:15,-103.1539,36.4486,M,M,M,30.00,19.00,M,M,M,0.50,M,VV ,M,M,M,200.00,M,M,M,-RA FG,KCAO 010215Z AUTO 03019KT 1/2SM -RA FG VV002 RMK MADISHF
CAO,2017-04-01 02:20,-103.1539,36.4486,M,M,M,M,M,M,M,M,1.00,M,VV ,M,M,M,200.00,M,M,M,-RA BR,KCAO 010220Z AUTO /////KT 1SM -RA BR VV002 RMK MADISHF
CAO,2017-04-01 02:25,-103.1539,36.4486,M,M,M,40.00,20.00,0.01,M,M,0.75,M,VV ,M,M,M,200.00,M,M,M,-RA BR,KCAO 010225Z AUTO 04020KT 1SM -RA BR VV002 RMK P0001 MADISHF
CAO,2017-04-01 02:30,-103.1539,36.4486,M,M,M,30.00,19.00,0.01,29.85,M,0.75,M,VV ,M,M,M,200.00,M,M,M,-RA BR,KCAO 010230Z AUTO 03019KT 1SM -RA BR VV002 A2985 RMK P0001 MADISHF
CAO,2017-04-01 02:35,-103.1539,36.4486,M,M,M,30.00,15.00,0.01,M,M,0.75,M,VV ,M,M,M,200.00,M,M,M,-RA BR,KCAO 010235Z AUTO 03015KT 1SM -RA BR VV002 RMK P0001  LTG DSNT SW! MADISHF
CAO,2017-04-01 02:40,-103.1539,36.4486,M,M,M,10.00,12.00,0.01,M,M,1.25,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KCAO 010240Z AUTO 01012KT 1 1/2SM -RA BR OVC002 RMK P0001  LTG DSNT SW! MADISHF
CAO,2017-04-01 02:41,-103.1539,36.4486,37.90,37.90,100.00,10.00,14.00,0.01,29.90,M,1.50,24.00,OVC,M,M,M,200.00,M,M,M,-RA BR,KCAO 010241Z AUTO 01014G24KT 1 1/2SM -RA BR OVC002 03/03 A2990 RMK AO2 PK WND 04028/0227 LTG DSNT SW PRESRR P0001 T00330033 $
CAO,2017-04-01 02:45,-103.1539,36.4486,M,M,M,20.00,17.00,0.01,M,M,1.75,M,OVC,M,M,M,200.00,M,M,M,-RA BR,KCAO 010245Z AUTO 02017KT 2SM -RA BR OVC002 RMK P0001  LTG DSNT SW! MADISHF
CAO,2017-04-01 02:49,-103.1539,36.4486,37.40,37.40,100.00,30.00,19.00,0.01,29.88,M,3.00,M,BKN,OVC,M,M,200.00,600.00,M,M,-RA BR,KCAO 010249Z AUTO 03019KT 3SM -RA BR BKN002 OVC006 03/03 A2988 RMK AO2 PK WND 04028/0227 LTG DSNT SW P0001 $
CAO,2017-04-01 02:50,-103.1539,36.4486,M,M,M,30.00,19.00,0.01,29.88,M,3.50,M,BKN,OVC,M,M,200.00,600.00,M,M,-RA BR,KCAO 010250Z AUTO 03019KT 3SM -RA BR BKN002 OVC006 A2988 RMK P0001  LTG DSNT SW! MADISHF
