#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CAR,2017-04-01 00:00,-68.0200,46.8700,M,M,M,10.00,4.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010000Z AUTO 01004KT 10SM CLR A3008 RMK MADISHF
CAR,2017-04-01 00:05,-68.0200,46.8700,M,M,M,10.00,4.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010005Z AUTO 01004KT 10SM CLR A3008 RMK MADISHF
CAR,2017-04-01 00:10,-68.0200,46.8700,M,M,M,10.00,4.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010010Z AUTO 01004KT 10SM CLR A3008 RMK MADISHF
CAR,2017-04-01 00:15,-68.0200,46.8700,M,M,M,10.00,4.00,M,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010015Z AUTO 01004KT 10SM CLR A3008 RMK MADISHF
CAR,2017-04-01 00:20,-68.0200,46.8700,M,M,M,10.00,3.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010020Z AUTO 01003KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 00:25,-68.0200,46.8700,M,M,M,10.00,3.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010025Z AUTO 01003KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 00:30,-68.0200,46.8700,M,M,M,20.00,3.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010030Z AUTO 02003KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 00:35,-68.0200,46.8700,M,M,M,0.00,0.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010035Z AUTO 00000KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 00:40,-68.0200,46.8700,M,M,M,30.00,3.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010040Z AUTO 03003KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 00:45,-68.0200,46.8700,M,M,M,0.00,0.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010045Z AUTO 00000KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 00:50,-68.0200,46.8700,M,M,M,20.00,3.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010050Z AUTO 02003KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 00:54,-68.0200,46.8700,33.10,14.00,44.89,20.00,3.00,0.00,30.09,1020.30,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010054Z AUTO 02003KT 10SM CLR 01/M10 A3009 RMK AO2 SLP203 T00061100
CAR,2017-04-01 00:55,-68.0200,46.8700,M,M,M,20.00,4.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010055Z AUTO 02004KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 01:00,-68.0200,46.8700,M,M,M,20.00,3.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010100Z AUTO 02003KT 10SM CLR A3010 RMK MADISHF
CAR,2017-04-01 01:05,-68.0200,46.8700,M,M,M,30.00,3.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010105Z AUTO 03003KT 10SM CLR A3010 RMK MADISHF
CAR,2017-04-01 01:10,-68.0200,46.8700,M,M,M,30.00,3.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010110Z AUTO 03003KT 10SM CLR A3010 RMK MADISHF
CAR,2017-04-01 01:15,-68.0200,46.8700,M,M,M,30.00,3.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010115Z AUTO 03003KT 10SM CLR A3010 RMK MADISHF
CAR,2017-04-01 01:20,-68.0200,46.8700,M,M,M,0.00,0.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010120Z AUTO 00000KT 10SM CLR A3010 RMK MADISHF
CAR,2017-04-01 01:25,-68.0200,46.8700,M,M,M,0.00,0.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010125Z AUTO 00000KT 10SM CLR A3010 RMK MADISHF
CAR,2017-04-01 01:30,-68.0200,46.8700,M,M,M,0.00,0.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010130Z AUTO 00000KT 10SM CLR A3010 RMK MADISHF
CAR,2017-04-01 01:35,-68.0200,46.8700,M,M,M,0.00,0.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010135Z AUTO 00000KT 10SM CLR A3010 RMK MADISHF
CAR,2017-04-01 01:40,-68.0200,46.8700,M,M,M,10.00,3.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010140Z AUTO 01003KT 10SM CLR A3010 RMK MADISHF
CAR,2017-04-01 01:45,-68.0200,46.8700,M,M,M,10.00,3.00,M,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010145Z AUTO 01003KT 10SM CLR A3010 RMK MADISHF
CAR,2017-04-01 01:50,-68.0200,46.8700,M,M,M,20.00,4.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010150Z AUTO 02004KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 01:54,-68.0200,46.8700,33.10,14.00,44.89,20.00,4.00,0.00,30.09,1020.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010154Z AUTO 02004KT 10SM CLR 01/M10 A3009 RMK AO2 SLP201 T00061100
CAR,2017-04-01 01:55,-68.0200,46.8700,M,M,M,20.00,4.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010155Z AUTO 02004KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 02:00,-68.0200,46.8700,M,M,M,20.00,4.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010200Z AUTO 02004KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 02:05,-68.0200,46.8700,M,M,M,20.00,3.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010205Z AUTO 02003KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 02:10,-68.0200,46.8700,M,M,M,30.00,3.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010210Z AUTO 03003KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 02:15,-68.0200,46.8700,M,M,M,50.00,3.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010215Z AUTO 05003KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 02:20,-68.0200,46.8700,M,M,M,0.00,0.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010220Z AUTO 00000KT 10SM CLR A3009 RMK MADISHF
CAR,2017-04-01 02:25,-68.0200,46.8700,M,M,M,150.00,8.00,M,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCAR 010225Z AUTO 15008KT 10SM CLR A3009 RMK MADISHF
