#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CBG,2017-04-01 00:15,-93.2642,45.5575,57.20,33.80,41.13,20.00,3.00,0.00,30.03,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010015Z AUTO 02003KT 10SM CLR 14/01 A3003 RMK AO2
CBG,2017-04-01 00:36,-93.2642,45.5575,55.40,32.00,40.84,0.00,0.00,0.00,30.04,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010036Z AUTO 00000KT 10SM CLR 13/00 A3004 RMK AO2
CBG,2017-04-01 00:55,-93.2642,45.5575,51.80,32.00,46.59,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010055Z AUTO 00000KT 10SM CLR 11/00 A3005 RMK AO2
CBG,2017-04-01 01:15,-93.2642,45.5575,46.40,28.40,49.24,0.00,0.00,0.00,30.05,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010115Z AUTO 00000KT 10SM CLR 08/M02 A3005 RMK AO2
CBG,2017-04-01 01:36,-93.2642,45.5575,46.40,28.40,49.24,0.00,0.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010136Z AUTO 00000KT 10SM CLR 08/M02 A3006 RMK AO2
CBG,2017-04-01 01:55,-93.2642,45.5575,42.80,28.40,56.48,0.00,0.00,0.00,30.06,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010155Z AUTO 00000KT 10SM CLR 06/M02 A3006 RMK AO2
CBG,2017-04-01 02:15,-93.2642,45.5575,42.80,26.60,52.45,0.00,0.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010215Z AUTO 00000KT 10SM CLR 06/M03 A3007 RMK AO2
CBG,2017-04-01 02:36,-93.2642,45.5575,39.20,28.40,64.93,0.00,0.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010236Z AUTO 00000KT 10SM CLR 04/M02 A3008 RMK AO2
CBG,2017-04-01 02:55,-93.2642,45.5575,39.20,26.60,60.29,0.00,0.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010255Z AUTO 00000KT 10SM CLR 04/M03 A3008 RMK AO2
CBG,2017-04-01 03:15,-93.2642,45.5575,39.20,26.60,60.29,0.00,0.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010315Z AUTO 00000KT 10SM CLR 04/M03 A3009 RMK AO2
CBG,2017-04-01 03:36,-93.2642,45.5575,39.20,26.60,60.29,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010336Z AUTO 00000KT 10SM CLR 04/M03 A3010 RMK AO2
CBG,2017-04-01 03:55,-93.2642,45.5575,39.20,26.60,60.29,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010355Z AUTO 00000KT 10SM CLR 04/M03 A3010 RMK AO2
CBG,2017-04-01 04:16,-93.2642,45.5575,37.40,26.60,64.70,0.00,0.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010416Z AUTO 00000KT 10SM CLR 03/M03 A3011 RMK AO2
CBG,2017-04-01 04:35,-93.2642,45.5575,37.40,26.60,64.70,0.00,0.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010435Z AUTO 00000KT 10SM CLR 03/M03 A3011 RMK AO2
CBG,2017-04-01 04:55,-93.2642,45.5575,37.40,26.60,64.70,0.00,0.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010455Z AUTO 00000KT 10SM CLR 03/M03 A3012 RMK AO2
CBG,2017-04-01 05:16,-93.2642,45.5575,37.40,24.80,60.04,0.00,0.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010516Z AUTO 00000KT 10SM CLR 03/M04 A3012 RMK AO2
CBG,2017-04-01 05:35,-93.2642,45.5575,35.60,26.60,69.46,0.00,0.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010535Z AUTO 00000KT 10SM CLR 02/M03 A3012 RMK AO2
CBG,2017-04-01 05:55,-93.2642,45.5575,33.80,24.80,69.25,0.00,0.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010555Z AUTO 00000KT 10SM CLR 01/M04 A3012 RMK AO2
CBG,2017-04-01 06:16,-93.2642,45.5575,33.80,24.80,69.25,0.00,0.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010616Z AUTO 00000KT 10SM CLR 01/M04 A3013 RMK AO2
CBG,2017-04-01 06:35,-93.2642,45.5575,33.80,24.80,69.25,0.00,0.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010635Z AUTO 00000KT 10SM CLR 01/M04 A3013 RMK AO2
CBG,2017-04-01 06:55,-93.2642,45.5575,33.80,24.80,69.25,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010655Z AUTO 00000KT 10SM CLR 01/M04 A3014 RMK AO2
CBG,2017-04-01 07:16,-93.2642,45.5575,33.80,24.80,69.25,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010716Z AUTO 00000KT 10SM CLR 01/M04 A3014 RMK AO2
CBG,2017-04-01 07:35,-93.2642,45.5575,35.60,24.80,64.46,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010735Z AUTO 00000KT 10SM CLR 02/M04 A3014 RMK AO2
CBG,2017-04-01 07:55,-93.2642,45.5575,35.60,24.80,64.46,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010755Z AUTO 00000KT 10SM CLR 02/M04 A3014 RMK AO2
CBG,2017-04-01 08:16,-93.2642,45.5575,35.60,24.80,64.46,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010816Z AUTO 00000KT 10SM CLR 02/M04 A3014 RMK AO2
CBG,2017-04-01 08:35,-93.2642,45.5575,33.80,24.80,69.25,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010835Z AUTO 00000KT 10SM CLR 01/M04 A3015 RMK AO2 LTG DSNT SW
CBG,2017-04-01 08:56,-93.2642,45.5575,33.80,24.80,69.25,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010856Z AUTO 00000KT 10SM CLR 01/M04 A3015 RMK AO2
CBG,2017-04-01 09:15,-93.2642,45.5575,33.80,24.80,69.25,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010915Z AUTO 00000KT 10SM CLR 01/M04 A3015 RMK AO2
CBG,2017-04-01 09:35,-93.2642,45.5575,32.00,24.80,74.44,0.00,0.00,0.00,30.15,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010935Z AUTO 00000KT 10SM CLR 00/M04 A3015 RMK AO2
CBG,2017-04-01 09:56,-93.2642,45.5575,32.00,23.00,69.04,0.00,0.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 010956Z AUTO 00000KT 10SM CLR 00/M05 A3016 RMK AO2
CBG,2017-04-01 10:15,-93.2642,45.5575,32.00,24.80,74.44,0.00,0.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 011015Z AUTO 00000KT 10SM CLR 00/M04 A3016 RMK AO2
CBG,2017-04-01 10:35,-93.2642,45.5575,33.80,24.80,69.25,0.00,0.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 011035Z AUTO 00000KT 10SM CLR 01/M04 A3016 RMK AO2
CBG,2017-04-01 10:56,-93.2642,45.5575,33.80,24.80,69.25,0.00,0.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 011056Z AUTO 00000KT 10SM CLR 01/M04 A3016 RMK AO2
CBG,2017-04-01 11:15,-93.2642,45.5575,32.00,24.80,74.44,0.00,0.00,0.00,30.16,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 011115Z AUTO 00000KT 10SM CLR 00/M04 A3016 RMK AO2
CBG,2017-04-01 11:35,-93.2642,45.5575,30.20,23.00,74.26,0.00,0.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 011135Z AUTO 00000KT 10SM CLR M01/M05 A3017 RMK AO2
CBG,2017-04-01 11:56,-93.2642,45.5575,32.00,24.80,74.44,0.00,0.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 011156Z AUTO 00000KT 10SM CLR 00/M04 A3018 RMK AO2
CBG,2017-04-01 12:15,-93.2642,45.5575,32.00,24.80,74.44,0.00,0.00,0.00,30.17,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 011215Z AUTO 00000KT 10SM CLR 00/M04 A3017 RMK AO2
CBG,2017-04-01 12:36,-93.2642,45.5575,32.00,26.60,80.22,0.00,0.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 011236Z AUTO 00000KT 10SM CLR 00/M03 A3018 RMK AO2
CBG,2017-04-01 12:55,-93.2642,45.5575,35.60,26.60,69.46,0.00,0.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 011255Z AUTO 00000KT 10SM CLR 02/M03 A3018 RMK AO2
CBG,2017-04-01 13:15,-93.2642,45.5575,39.20,30.20,69.88,0.00,0.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 011315Z AUTO 00000KT 10SM CLR 04/M01 A3018 RMK AO2
CBG,2017-04-01 13:36,-93.2642,45.5575,42.80,32.00,65.38,0.00,0.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 011336Z AUTO 00000KT 10SM CLR 06/00 A3018 RMK AO2
CBG,2017-04-01 13:55,-93.2642,45.5575,46.40,32.00,57.00,0.00,0.00,0.00,30.18,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 011355Z AUTO 00000KT 10SM CLR 08/00 A3018 RMK AO2
CBG,2017-04-01 14:15,-93.2642,45.5575,50.00,33.80,53.54,210.00,5.00,0.00,30.19,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBG 011415Z AUTO 21005KT 10SM CLR 10/01 A3019 RMK AO2
