#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CBK,2017-04-01 00:15,-101.0466,39.4274,42.80,39.20,86.99,80.00,10.00,0.00,30.00,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KCBK 010015Z AUTO 08010KT 10SM OVC011 06/04 A3000 RMK AO2
CBK,2017-04-01 00:35,-101.0466,39.4274,41.00,41.00,100.00,70.00,8.00,0.00,30.02,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KCBK 010035Z AUTO 07008KT 10SM OVC011 05/05 A3002 RMK AO2
CBK,2017-04-01 00:55,-101.0466,39.4274,41.00,41.00,100.00,60.00,6.00,0.00,30.02,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KCBK 010055Z AUTO 06006KT 10SM OVC011 05/05 A3002 RMK AO2
CBK,2017-04-01 01:15,-101.0466,39.4274,41.00,41.00,100.00,50.00,9.00,0.00,30.02,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KCBK 010115Z AUTO 05009KT 10SM OVC011 05/05 A3002 RMK AO2
CBK,2017-04-01 01:35,-101.0466,39.4274,41.00,41.00,100.00,60.00,9.00,0.00,30.03,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KCBK 010135Z AUTO 06009KT 10SM OVC011 05/05 A3003 RMK AO2
CBK,2017-04-01 01:55,-101.0466,39.4274,41.00,39.20,93.24,60.00,6.00,0.00,30.06,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KCBK 010155Z AUTO 06006KT 10SM OVC011 05/04 A3006 RMK AO2
CBK,2017-04-01 02:15,-101.0466,39.4274,41.00,41.00,100.00,60.00,4.00,0.00,30.07,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KCBK 010215Z AUTO 06004KT 10SM OVC011 05/05 A3007 RMK AO2
CBK,2017-04-01 02:35,-101.0466,39.4274,41.00,41.00,100.00,60.00,4.00,0.00,30.07,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KCBK 010235Z AUTO 06004KT 10SM OVC013 05/05 A3007 RMK AO2
CBK,2017-04-01 02:55,-101.0466,39.4274,41.00,41.00,100.00,50.00,7.00,0.00,30.07,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KCBK 010255Z AUTO 05007KT 10SM OVC013 05/05 A3007 RMK AO2
CBK,2017-04-01 03:15,-101.0466,39.4274,41.00,41.00,100.00,60.00,5.00,0.00,30.09,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,M,KCBK 010315Z AUTO 06005KT 10SM OVC013 05/05 A3009 RMK AO2
