#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CBM,2017-04-01 00:58,-88.4438,33.6438,63.10,51.60,66.08,0.00,0.00,0.00,29.88,1012.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 010058Z AUTO 00000KT 10SM CLR 17/11 A2988 RMK AO2 RAB12E36RAB41 SLP121 P0000 T01730109 $
CBM,2017-04-01 01:58,-88.4438,33.6438,58.80,51.40,76.40,0.00,0.00,0.00,29.91,1013.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 010158Z AUTO 00000KT 10SM CLR 15/11 A2991 RMK AO2 RAB0058E02RAB44E51 SLP131 P0000 T01490108 $
CBM,2017-04-01 02:58,-88.4438,33.6438,56.30,52.90,88.34,0.00,0.00,0.00,29.93,1013.80,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 010258Z AUTO 00000KT 10SM CLR 14/12 A2993 RMK AO2 RAB00E05RAB21E24 SLP138 P0000 60000 T01350116 52021 $
CBM,2017-04-01 03:58,-88.4438,33.6438,52.90,50.20,90.51,0.00,0.00,0.00,29.94,1014.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 010358Z AUTO 00000KT 10SM CLR 12/10 A2994 RMK AO2 RAB08E12RAB23E32 SLP141 P0000 T01160101 $
CBM,2017-04-01 04:58,-88.4438,33.6438,52.70,50.20,91.17,0.00,0.00,0.00,29.95,1014.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 010458Z AUTO 00000KT 10SM CLR 12/10 A2995 RMK AO2 VIS 2 RWY13C SLP144 T01150101 $
CBM,2017-04-01 05:58,-88.4438,33.6438,52.50,51.80,97.45,0.00,0.00,0.00,29.97,1015.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 010558Z AUTO 00000KT 10SM CLR 11/11 A2997 RMK AO2 VIS 1 1/4 RWY13C SLP151 60000 T01140110 10219 20109 402370080 52012 $
CBM,2017-04-01 06:58,-88.4438,33.6438,50.90,50.70,99.26,0.00,0.00,0.00,29.97,1015.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 010658Z AUTO 00000KT 10SM CLR 11/10 A2997 RMK AO2 SLP151 T01050104 $
CBM,2017-04-01 07:58,-88.4438,33.6438,51.80,50.00,93.55,0.00,0.00,0.00,29.99,1015.80,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 010758Z AUTO 00000KT 10SM CLR 11/10 A2999 RMK AO2 SLP158 T01100100 $
CBM,2017-04-01 08:58,-88.4438,33.6438,50.90,48.90,92.83,0.00,0.00,0.00,30.01,1016.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 010858Z AUTO 00000KT 10SM CLR 11/09 A3001 RMK AO2 SLP164 T01050094 52016 $
CBM,2017-04-01 09:58,-88.4438,33.6438,50.40,48.70,93.86,30.00,3.00,0.00,30.03,1017.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 010958Z AUTO 03003KT 10SM CLR 10/09 A3003 RMK AO2 SLP171 T01020093 $
CBM,2017-04-01 10:58,-88.4438,33.6438,48.40,47.80,97.77,0.00,0.00,0.00,30.04,1017.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 011058Z AUTO 00000KT 10SM CLR 09/09 A3004 RMK AO2 SLP175 T00910088 $
CBM,2017-04-01 11:58,-88.4438,33.6438,49.10,48.00,95.97,0.00,0.00,0.00,30.06,1018.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 011158Z AUTO 00000KT 10SM CLR 10/09 A3006 RMK AO2 SLP182 T00950089 10117 20087 52016 $
CBM,2017-04-01 12:58,-88.4438,33.6438,53.80,49.60,85.64,330.00,3.00,0.00,30.08,1018.80,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 011258Z AUTO 33003KT 10SM CLR 12/10 A3008 RMK AO2 SLP188 T01210098 $
CBM,2017-04-01 13:58,-88.4438,33.6438,58.50,50.90,75.81,0.00,0.00,0.00,30.10,1019.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 011358Z AUTO 00000KT 10SM CLR 15/11 A3010 RMK AO2 SLP195 T01470105 $
CBM,2017-04-01 14:58,-88.4438,33.6438,62.10,51.60,68.44,0.00,0.00,0.00,30.12,1020.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 011458Z AUTO 00000KT 10SM CLR 17/11 A3012 RMK AO2 SLP202 T01670109 52019 $
CBM,2017-04-01 15:58,-88.4438,33.6438,67.30,53.20,60.54,60.00,5.00,0.00,30.11,1019.80,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 011558Z AUTO 06005KT 10SM CLR 20/12 A3011 RMK AO2 SLP198 T01960118 $
CBM,2017-04-01 16:58,-88.4438,33.6438,71.20,54.00,54.55,0.00,0.00,0.00,30.09,1019.10,9.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 011658Z AUTO 00000KT 9SM CLR 22/12 A3009 RMK AO2 SLP191 T02180122 $
CBM,2017-04-01 17:58,-88.4438,33.6438,73.40,53.20,49.18,0.00,0.00,0.00,30.08,1018.80,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 011758Z AUTO 00000KT 10SM CLR 23/12 A3008 RMK AO2 SLP188 T02300118 10230 20094 57012 $
CBM,2017-04-01 18:58,-88.4438,33.6438,75.40,54.30,47.88,0.00,0.00,0.00,30.07,1018.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 011858Z AUTO 00000KT 10SM CLR 24/12 A3007 RMK AO2 SLP185 T02410124 $
CBM,2017-04-01 19:58,-88.4438,33.6438,76.60,54.10,45.67,310.00,7.00,0.00,30.06,1018.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 011958Z AUTO 31007KT 10SM CLR 25/12 A3006 RMK AO2 SLP181 T02480123 $
CBM,2017-04-01 20:58,-88.4438,33.6438,78.60,54.50,43.37,0.00,0.00,0.00,30.04,1017.40,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 012058Z AUTO 00000KT 10SM CLR 26/13 A3004 RMK AO2 SLP174 T02590125 57013 $
CBM,2017-04-01 21:58,-88.4438,33.6438,79.00,54.30,42.49,300.00,6.00,0.00,30.03,1017.10,10.00,M,CLR,M,M,M,M,M,M,M,M,KCBM 012158Z AUTO 30006KT 10SM CLR 26/12 A3003 RMK AO2 SLP171 T02610124 $
