#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CDC,2017-04-01 00:00,-113.1000,37.7000,M,M,M,360.00,7.00,M,M,M,10.00,M,OVC,M,M,M,999.00,M,M,M,-RA,KCDC 010000Z AUTO 36007KT 10SM -RA OVC009 RMK MADISHF
CDC,2017-04-01 00:05,-113.1000,37.7000,M,M,M,360.00,7.00,M,M,M,10.00,M,OVC,M,M,M,999.00,M,M,M,-RA,KCDC 010005Z AUTO 36007KT 10SM -RA OVC009 RMK MADISHF
CDC,2017-04-01 00:10,-113.1000,37.7000,M,M,M,360.00,8.00,M,M,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KCDC 010010Z AUTO 36008KT 10SM OVC011 RMK MADISHF
CDC,2017-04-01 00:15,-113.1000,37.7000,M,M,M,360.00,9.00,M,M,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KCDC 010015Z AUTO 36009KT 10SM OVC011 RMK MADISHF
CDC,2017-04-01 00:20,-113.1000,37.7000,M,M,M,360.00,8.00,M,M,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KCDC 010020Z AUTO 36008KT 10SM OVC011 RMK MADISHF
CDC,2017-04-01 00:25,-113.1000,37.7000,M,M,M,360.00,7.00,M,M,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,-RA,KCDC 010025Z AUTO 36007KT 10SM -RA OVC012 RMK MADISHF
CDC,2017-04-01 00:30,-113.1000,37.7000,M,M,M,360.00,6.00,M,M,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,-RA,KCDC 010030Z AUTO 36006KT 10SM -RA OVC012 RMK MADISHF
CDC,2017-04-01 00:35,-113.1000,37.7000,M,M,M,360.00,7.00,M,M,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KCDC 010035Z AUTO 36007KT 10SM OVC012 RMK MADISHF
CDC,2017-04-01 00:40,-113.1000,37.7000,M,M,M,10.00,8.00,M,M,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,M,KCDC 010040Z AUTO 01008KT 10SM OVC012 RMK MADISHF
CDC,2017-04-01 00:45,-113.1000,37.7000,M,M,M,10.00,6.00,M,M,M,10.00,M,OVC,M,M,M,1200.00,M,M,M,-RA,KCDC 010045Z AUTO 01006KT 10SM -RA OVC012 RMK MADISHF
CDC,2017-04-01 00:50,-113.1000,37.7000,M,M,M,10.00,8.00,M,M,M,10.00,M,OVC,M,M,M,1300.00,M,M,M,-RA,KCDC 010050Z AUTO 01008KT 10SM -RA OVC013 RMK MADISHF
CDC,2017-04-01 00:53,-113.1000,37.7000,37.00,34.00,88.78,20.00,7.00,0.00,29.81,1009.20,10.00,M,OVC,M,M,M,1300.00,M,M,M,-RA,KCDC 010053Z AUTO 02007KT 10SM -RA OVC013 03/01 A2981 RMK AO2 SLP092 P0000 T00280011 $
