#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CDH,2017-04-01 00:15,-92.7634,33.6228,75.20,48.20,38.46,0.00,0.00,0.00,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010015Z AUTO 00000KT 10SM CLR 24/09 A2983 RMK AO2
CDH,2017-04-01 00:35,-92.7634,33.6228,71.60,50.00,46.43,90.00,3.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010035Z AUTO 09003KT 10SM CLR 22/10 A2984 RMK AO2
CDH,2017-04-01 00:55,-92.7634,33.6228,68.00,50.00,52.51,0.00,0.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010055Z AUTO 00000KT 10SM CLR 20/10 A2984 RMK AO2
CDH,2017-04-01 01:15,-92.7634,33.6228,66.20,51.80,59.74,0.00,0.00,0.00,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010115Z AUTO 00000KT 10SM CLR 19/11 A2985 RMK AO2
CDH,2017-04-01 01:35,-92.7634,33.6228,64.40,51.80,63.60,0.00,0.00,0.00,29.86,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010135Z AUTO 00000KT 10SM CLR 18/11 A2986 RMK AO2
CDH,2017-04-01 01:55,-92.7634,33.6228,62.60,51.80,67.75,0.00,0.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010155Z AUTO 00000KT 10SM CLR 17/11 A2987 RMK AO2
CDH,2017-04-01 02:15,-92.7634,33.6228,62.60,51.80,67.75,0.00,0.00,0.00,29.87,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010215Z AUTO 00000KT 10SM CLR 17/11 A2987 RMK AO2
CDH,2017-04-01 02:35,-92.7634,33.6228,62.60,51.80,67.75,0.00,0.00,0.00,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010235Z AUTO 00000KT 10SM CLR 17/11 A2988 RMK AO2
CDH,2017-04-01 02:55,-92.7634,33.6228,64.40,50.00,59.50,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010255Z AUTO 00000KT 10SM CLR 18/10 A2989 RMK AO2
CDH,2017-04-01 03:15,-92.7634,33.6228,64.40,50.00,59.50,0.00,0.00,0.00,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010315Z AUTO 00000KT 10SM CLR 18/10 A2989 RMK AO2
CDH,2017-04-01 03:35,-92.7634,33.6228,62.60,50.00,63.38,0.00,0.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010335Z AUTO 00000KT 10SM CLR 17/10 A2990 RMK AO2
CDH,2017-04-01 03:55,-92.7634,33.6228,59.00,51.80,76.98,0.00,0.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010355Z AUTO 00000KT 10SM CLR 15/11 A2990 RMK AO2
CDH,2017-04-01 04:15,-92.7634,33.6228,59.00,51.80,76.98,0.00,0.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010415Z AUTO 00000KT 10SM CLR 15/11 A2990 RMK AO2
CDH,2017-04-01 04:35,-92.7634,33.6228,59.00,51.80,76.98,0.00,0.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010435Z AUTO 00000KT 10SM CLR 15/11 A2991 RMK AO2
CDH,2017-04-01 04:55,-92.7634,33.6228,57.20,51.80,82.12,0.00,0.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010455Z AUTO 00000KT 10SM CLR 14/11 A2991 RMK AO2
CDH,2017-04-01 05:15,-92.7634,33.6228,57.20,51.80,82.12,30.00,4.00,0.00,29.91,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010515Z AUTO 03004KT 10SM CLR 14/11 A2991 RMK AO2
CDH,2017-04-01 05:35,-92.7634,33.6228,57.20,51.80,82.12,0.00,0.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010535Z AUTO 00000KT 10SM CLR 14/11 A2992 RMK AO2
CDH,2017-04-01 05:55,-92.7634,33.6228,57.20,51.80,82.12,40.00,3.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010555Z AUTO 04003KT 10SM CLR 14/11 A2993 RMK AO2
CDH,2017-04-01 06:15,-92.7634,33.6228,57.20,50.00,76.82,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010615Z AUTO 00000KT 10SM CLR 14/10 A2994 RMK AO2
CDH,2017-04-01 06:35,-92.7634,33.6228,57.20,50.00,76.82,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCDH 010635Z AUTO 00000KT 10SM CLR 14/10 A2994 RMK AO2
