#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CEU,2017-04-01 00:00,-82.8868,34.6719,M,M,M,290.00,9.00,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010000Z AUTO 29009KT 10SM CLR A2981 RMK MADISHF
CEU,2017-04-01 00:05,-82.8868,34.6719,M,M,M,290.00,10.00,M,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010005Z AUTO 29010KT 10SM CLR A2982 RMK MADISHF
CEU,2017-04-01 00:10,-82.8868,34.6719,M,M,M,290.00,8.00,M,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010010Z AUTO 29008KT 10SM CLR A2982 RMK MADISHF
CEU,2017-04-01 00:15,-82.8868,34.6719,M,M,M,280.00,9.00,M,29.82,M,10.00,15.00,CLR,M,M,M,M,M,M,M,M,KCEU 010015Z AUTO 28009G15KT 10SM CLR A2982 RMK MADISHF
CEU,2017-04-01 00:20,-82.8868,34.6719,M,M,M,290.00,10.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010020Z AUTO 29010KT 10SM CLR A2983 RMK MADISHF
CEU,2017-04-01 00:25,-82.8868,34.6719,M,M,M,280.00,10.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010025Z AUTO 28010KT 10SM CLR A2983 RMK MADISHF
CEU,2017-04-01 00:30,-82.8868,34.6719,M,M,M,280.00,10.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010030Z AUTO 28010KT 10SM CLR A2983 RMK MADISHF
CEU,2017-04-01 00:35,-82.8868,34.6719,M,M,M,280.00,12.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010035Z AUTO 28012KT 10SM CLR A2983 RMK MADISHF
CEU,2017-04-01 00:40,-82.8868,34.6719,M,M,M,280.00,10.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010040Z AUTO 28010KT 10SM CLR A2983 RMK MADISHF
CEU,2017-04-01 00:45,-82.8868,34.6719,M,M,M,280.00,11.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010045Z AUTO 28011KT 10SM CLR A2983 RMK MADISHF
CEU,2017-04-01 00:50,-82.8868,34.6719,M,M,M,280.00,10.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010050Z AUTO 28010KT 10SM CLR A2984 RMK MADISHF
CEU,2017-04-01 00:54,-82.8868,34.6719,64.90,42.10,43.36,280.00,9.00,0.00,29.84,1009.80,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010054Z AUTO 28009KT 10SM CLR 18/06 A2984 RMK AO2 SLP098 T01830056 $
CEU,2017-04-01 00:55,-82.8868,34.6719,M,M,M,280.00,8.00,M,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010055Z AUTO 28008KT 10SM CLR A2984 RMK MADISHF
CEU,2017-04-01 01:00,-82.8868,34.6719,M,M,M,280.00,6.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010100Z AUTO 28006KT 10SM CLR A2985 RMK MADISHF
CEU,2017-04-01 01:05,-82.8868,34.6719,M,M,M,280.00,7.00,M,29.85,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010105Z AUTO 28007KT 10SM CLR A2985 RMK MADISHF
CEU,2017-04-01 01:10,-82.8868,34.6719,M,M,M,280.00,6.00,M,29.86,M,10.00,M,FEW,M,M,M,6500.00,M,M,M,M,KCEU 010110Z AUTO 28006KT 10SM FEW065 A2986 RMK MADISHF
CEU,2017-04-01 01:15,-82.8868,34.6719,M,M,M,290.00,8.00,M,29.86,M,10.00,M,SCT,M,M,M,6500.00,M,M,M,M,KCEU 010115Z AUTO 29008KT 10SM SCT065 A2986 RMK MADISHF
CEU,2017-04-01 01:20,-82.8868,34.6719,M,M,M,280.00,9.00,M,29.86,M,10.00,M,SCT,M,M,M,6000.00,M,M,M,M,KCEU 010120Z AUTO 28009KT 10SM SCT060 A2986 RMK MADISHF
CEU,2017-04-01 01:25,-82.8868,34.6719,M,M,M,290.00,10.00,M,29.86,M,10.00,M,BKN,M,M,M,6000.00,M,M,M,M,KCEU 010125Z AUTO 29010KT 10SM BKN060 A2986 RMK MADISHF
CEU,2017-04-01 01:30,-82.8868,34.6719,M,M,M,290.00,9.00,M,29.87,M,10.00,M,SCT,M,M,M,6000.00,M,M,M,M,KCEU 010130Z AUTO 29009KT 10SM SCT060 A2987 RMK MADISHF
CEU,2017-04-01 01:35,-82.8868,34.6719,M,M,M,290.00,8.00,M,29.87,M,10.00,M,SCT,M,M,M,6000.00,M,M,M,M,KCEU 010135Z AUTO 29008KT 10SM SCT060 A2987 RMK MADISHF
CEU,2017-04-01 01:40,-82.8868,34.6719,M,M,M,300.00,8.00,M,29.87,M,10.00,M,SCT,M,M,M,6000.00,M,M,M,M,KCEU 010140Z AUTO 30008KT 10SM SCT060 A2987 RMK MADISHF
CEU,2017-04-01 01:45,-82.8868,34.6719,M,M,M,300.00,8.00,M,29.88,M,10.00,M,FEW,M,M,M,6000.00,M,M,M,M,KCEU 010145Z AUTO 30008KT 10SM FEW060 A2988 RMK MADISHF
CEU,2017-04-01 01:50,-82.8868,34.6719,M,M,M,300.00,8.00,M,29.88,M,10.00,M,FEW,M,M,M,6000.00,M,M,M,M,KCEU 010150Z AUTO 30008KT 10SM FEW060 A2988 RMK MADISHF
CEU,2017-04-01 01:54,-82.8868,34.6719,63.00,43.00,47.97,300.00,8.00,0.00,29.88,1011.20,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010154Z AUTO 30008KT 10SM CLR 17/06 A2988 RMK AO2 SLP112 T01720061 $
CEU,2017-04-01 01:55,-82.8868,34.6719,M,M,M,300.00,8.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010155Z AUTO 30008KT 10SM CLR A2988 RMK MADISHF
CEU,2017-04-01 02:00,-82.8868,34.6719,M,M,M,310.00,7.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010200Z AUTO 31007KT 10SM CLR A2988 RMK MADISHF
CEU,2017-04-01 02:05,-82.8868,34.6719,M,M,M,300.00,7.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEU 010205Z AUTO 30007KT 10SM CLR A2988 RMK MADISHF
