#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CEW,2017-04-01 00:00,-86.5200,30.7800,M,M,M,360.00,3.00,M,29.88,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEW 010000Z AUTO 36003KT 10SM CLR A2988 RMK MADISHF
CEW,2017-04-01 00:05,-86.5200,30.7800,M,M,M,350.00,3.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEW 010005Z AUTO 35003KT 10SM CLR A2989 RMK MADISHF
CEW,2017-04-01 00:10,-86.5200,30.7800,M,M,M,350.00,3.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEW 010010Z AUTO 35003KT 10SM CLR A2989 RMK MADISHF
CEW,2017-04-01 00:15,-86.5200,30.7800,M,M,M,0.00,0.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEW 010015Z AUTO 00000KT 10SM CLR A2989 RMK MADISHF
CEW,2017-04-01 00:20,-86.5200,30.7800,M,M,M,0.00,0.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEW 010020Z AUTO 00000KT 10SM CLR A2989 RMK MADISHF
CEW,2017-04-01 00:25,-86.5200,30.7800,M,M,M,350.00,3.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEW 010025Z AUTO 35003KT 10SM CLR A2989 RMK MADISHF
CEW,2017-04-01 00:30,-86.5200,30.7800,M,M,M,350.00,3.00,M,29.89,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEW 010030Z AUTO 35003KT 10SM CLR A2989 RMK MADISHF
CEW,2017-04-01 00:35,-86.5200,30.7800,M,M,M,350.00,3.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEW 010035Z AUTO 35003KT 10SM CLR A2990 RMK MADISHF
CEW,2017-04-01 00:40,-86.5200,30.7800,M,M,M,0.00,0.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEW 010040Z AUTO 00000KT 10SM CLR A2990 RMK MADISHF
CEW,2017-04-01 00:45,-86.5200,30.7800,M,M,M,330.00,3.00,M,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCEW 010045Z AUTO 33003KT 10SM CLR A2990 RMK MADISHF
