#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CFS,2017-04-01 00:15,-83.4454,43.4588,35.20,33.60,93.82,20.00,8.00,0.00,29.87,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KCFS 010015Z AUTO 02008KT 10SM OVC007 02/01 A2987 RMK AO2 T00180009
CFS,2017-04-01 00:34,-83.4454,43.4588,35.20,33.80,94.57,10.00,7.00,0.00,29.88,M,10.00,16.00,OVC,M,M,M,700.00,M,M,M,-RA,KCFS 010034Z AUTO 01007G16KT 10SM -RA OVC007 02/01 A2988 RMK AO2 T00180010
CFS,2017-04-01 00:54,-83.4454,43.4588,35.20,33.40,93.07,360.00,8.00,0.00,29.89,M,10.00,M,OVC,M,M,M,700.00,M,M,M,M,KCFS 010054Z AUTO 36008KT 10SM OVC007 02/01 A2989 RMK AO2 T00180008
CFS,2017-04-01 01:15,-83.4454,43.4588,35.10,33.30,93.07,360.00,12.00,0.00,29.90,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KCFS 010115Z AUTO 36012KT 10SM OVC009 02/01 A2990 RMK AO2 T00170007
CFS,2017-04-01 01:34,-83.4454,43.4588,35.10,33.10,92.32,360.00,11.00,0.00,29.91,M,10.00,16.00,OVC,M,M,M,900.00,M,M,M,M,KCFS 010134Z AUTO 36011G16KT 10SM OVC009 02/01 A2991 RMK AO2 T00170006
CFS,2017-04-01 01:54,-83.4454,43.4588,35.10,32.90,91.59,350.00,10.00,0.00,29.92,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KCFS 010154Z AUTO 35010KT 10SM OVC009 02/01 A2992 RMK AO2 T00170005
CFS,2017-04-01 02:15,-83.4454,43.4588,35.10,33.10,92.32,360.00,9.00,0.00,29.92,M,10.00,14.00,OVC,M,M,M,900.00,M,M,M,M,KCFS 010215Z AUTO 36009G14KT 10SM OVC009 02/01 A2992 RMK AO2 T00170006
CFS,2017-04-01 02:34,-83.4454,43.4588,35.10,33.30,93.07,360.00,10.00,0.00,29.93,M,10.00,15.00,OVC,M,M,M,900.00,M,M,M,M,KCFS 010234Z AUTO 36010G15KT 10SM OVC009 02/01 A2993 RMK AO2 T00170007
CFS,2017-04-01 02:54,-83.4454,43.4588,34.90,33.10,93.06,360.00,9.00,0.00,29.93,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KCFS 010254Z AUTO 36009KT 10SM OVC009 02/01 A2993 RMK AO2 T00160006
CFS,2017-04-01 03:15,-83.4454,43.4588,34.70,33.10,93.81,10.00,9.00,0.00,29.93,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KCFS 010315Z AUTO 01009KT 10SM OVC009 02/01 A2993 RMK AO2 T00150006
CFS,2017-04-01 03:34,-83.4454,43.4588,34.70,32.90,93.06,10.00,8.00,0.00,29.93,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KCFS 010334Z AUTO 01008KT 10SM OVC009 02/01 A2993 RMK AO2 T00150005
CFS,2017-04-01 03:54,-83.4454,43.4588,34.90,32.90,92.32,10.00,9.00,0.00,29.94,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KCFS 010354Z AUTO 01009KT 10SM OVC009 02/01 A2994 RMK AO2 T00160005
CFS,2017-04-01 04:15,-83.4454,43.4588,34.90,32.90,92.32,360.00,9.00,0.00,29.94,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KCFS 010415Z AUTO 36009KT 10SM OVC009 02/01 A2994 RMK AO2 T00160005
CFS,2017-04-01 04:34,-83.4454,43.4588,34.90,32.90,92.32,350.00,8.00,0.00,29.96,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KCFS 010434Z AUTO 35008KT 10SM OVC009 02/01 A2996 RMK AO2 T00160005
CFS,2017-04-01 04:54,-83.4454,43.4588,35.10,32.90,91.59,350.00,10.00,0.00,29.96,M,10.00,M,OVC,M,M,M,900.00,M,M,M,M,KCFS 010454Z AUTO 35010KT 10SM OVC009 02/01 A2996 RMK AO2 T00170005
CFS,2017-04-01 05:15,-83.4454,43.4588,34.90,32.90,92.32,360.00,8.00,0.00,29.96,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KCFS 010515Z AUTO 36008KT 10SM OVC011 02/01 A2996 RMK AO2 T00160005
CFS,2017-04-01 05:34,-83.4454,43.4588,35.10,32.90,91.59,350.00,9.00,0.00,29.97,M,10.00,M,OVC,M,M,M,1100.00,M,M,M,M,KCFS 010534Z AUTO 35009KT 10SM OVC011 02/01 A2997 RMK AO2 T00170005
CFS,2017-04-01 05:55,-83.4454,43.4588,34.90,32.70,91.58,10.00,6.00,0.00,29.97,M,10.00,M,SCT,OVC,M,M,1100.00,5000.00,M,M,M,KCFS 010555Z AUTO 01006KT 10SM SCT011 OVC050 02/00 A2997 RMK AO2 T00160004 10018 20015 400320015
CFS,2017-04-01 06:15,-83.4454,43.4588,34.70,32.40,91.20,360.00,7.00,0.00,29.98,M,10.00,M,SCT,BKN,OVC,M,1400.00,2000.00,5000.00,M,M,KCFS 010615Z AUTO 36007KT 10SM SCT014 BKN020 OVC050 02/00 A2998 RMK AO2 T00150002
CFS,2017-04-01 06:34,-83.4454,43.4588,34.70,32.50,91.57,360.00,7.00,0.00,29.98,M,10.00,M,SCT,OVC,M,M,1100.00,2000.00,M,M,M,KCFS 010634Z AUTO 36007KT 10SM SCT011 OVC020 02/00 A2998 RMK AO2 T00150003
