#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CFV,2017-04-01 00:00,-95.5719,37.0941,M,M,M,50.00,6.00,M,29.93,M,10.00,M,SCT,M,M,M,2800.00,M,M,M,M,KCFV 010000Z AUTO 05006KT 10SM SCT028 A2993 RMK MADISHF
CFV,2017-04-01 00:05,-95.5719,37.0941,M,M,M,50.00,7.00,M,29.93,M,10.00,M,BKN,M,M,M,2800.00,M,M,M,M,KCFV 010005Z AUTO 05007KT 10SM BKN028 A2993 RMK MADISHF
CFV,2017-04-01 00:07,-95.5719,37.0941,55.90,46.00,69.30,40.00,8.00,0.00,29.93,M,10.00,M,BKN,M,M,M,2800.00,M,M,M,M,KCFV 010007Z AUTO 04008KT 10SM BKN028 13/08 A2993 RMK AO2 T01330078
CFV,2017-04-01 00:10,-95.5719,37.0941,M,M,M,40.00,11.00,M,29.93,M,10.00,M,BKN,M,M,M,2800.00,M,M,M,M,KCFV 010010Z AUTO 04011KT 10SM BKN028 A2993 RMK MADISHF
CFV,2017-04-01 00:15,-95.5719,37.0941,M,M,M,40.00,9.00,M,29.93,M,10.00,M,BKN,M,M,M,3000.00,M,M,M,M,KCFV 010015Z AUTO 04009KT 10SM BKN030 A2993 RMK MADISHF
CFV,2017-04-01 00:17,-95.5719,37.0941,55.90,45.00,66.72,40.00,10.00,0.00,29.93,M,10.00,M,BKN,M,M,M,3000.00,M,M,M,M,KCFV 010017Z AUTO 04010KT 10SM BKN030 13/07 A2993 RMK AO2 T01330072
CFV,2017-04-01 00:20,-95.5719,37.0941,M,M,M,40.00,9.00,M,29.93,M,10.00,M,BKN,M,M,M,3000.00,M,M,M,M,KCFV 010020Z AUTO 04009KT 10SM BKN030 A2993 RMK MADISHF
CFV,2017-04-01 00:30,-95.5719,37.0941,M,M,M,40.00,10.00,M,29.93,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCFV 010030Z AUTO 04010KT 10SM OVC030 A2993 RMK MADISHF
CFV,2017-04-01 00:35,-95.5719,37.0941,M,M,M,40.00,8.00,M,29.93,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCFV 010035Z AUTO 04008KT 10SM OVC030 A2993 RMK MADISHF
CFV,2017-04-01 00:40,-95.5719,37.0941,M,M,M,40.00,8.00,M,29.93,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCFV 010040Z AUTO 04008KT 10SM OVC030 A2993 RMK MADISHF
CFV,2017-04-01 00:45,-95.5719,37.0941,M,M,M,40.00,9.00,M,29.94,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCFV 010045Z AUTO 04009KT 10SM OVC030 A2994 RMK MADISHF
CFV,2017-04-01 00:50,-95.5719,37.0941,M,M,M,60.00,9.00,M,29.94,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCFV 010050Z AUTO 06009KT 10SM OVC030 A2994 RMK MADISHF
CFV,2017-04-01 00:52,-95.5719,37.0941,54.00,46.00,74.26,50.00,8.00,0.00,29.94,1013.80,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCFV 010052Z AUTO 05008KT 10SM OVC030 12/08 A2994 RMK AO2 SLP138 T01220078
CFV,2017-04-01 00:55,-95.5719,37.0941,M,M,M,50.00,8.00,M,29.94,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCFV 010055Z AUTO 05008KT 10SM OVC029 A2994 RMK MADISHF
CFV,2017-04-01 00:59,-95.5719,37.0941,54.00,45.00,71.50,50.00,9.00,0.00,29.94,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCFV 010059Z AUTO 05009KT 10SM OVC029 12/07 A2994 RMK AO2 T01220072
CFV,2017-04-01 01:00,-95.5719,37.0941,M,M,M,50.00,9.00,M,29.94,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCFV 010100Z AUTO 05009KT 10SM OVC029 A2994 RMK MADISHF
CFV,2017-04-01 01:05,-95.5719,37.0941,M,M,M,50.00,9.00,M,29.95,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCFV 010105Z AUTO 05009KT 10SM OVC029 A2995 RMK MADISHF
CFV,2017-04-01 01:20,-95.5719,37.0941,M,M,M,50.00,10.00,M,29.96,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCFV 010120Z AUTO 05010KT 10SM OVC029 A2996 RMK MADISHF
CFV,2017-04-01 01:25,-95.5719,37.0941,M,M,M,50.00,10.00,M,29.96,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCFV 010125Z AUTO 05010KT 10SM OVC029 A2996 RMK MADISHF
CFV,2017-04-01 01:30,-95.5719,37.0941,M,M,M,50.00,9.00,M,29.96,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCFV 010130Z AUTO 05009KT 10SM OVC029 A2996 RMK MADISHF
CFV,2017-04-01 01:35,-95.5719,37.0941,M,M,M,50.00,11.00,M,29.96,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCFV 010135Z AUTO 05011KT 10SM OVC029 A2996 RMK MADISHF
CFV,2017-04-01 01:40,-95.5719,37.0941,M,M,M,50.00,8.00,M,29.97,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,KCFV 010140Z AUTO 05008KT 10SM OVC028 A2997 RMK MADISHF
CFV,2017-04-01 01:45,-95.5719,37.0941,M,M,M,50.00,11.00,M,29.96,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,KCFV 010145Z AUTO 05011KT 10SM OVC028 A2996 RMK MADISHF
CFV,2017-04-01 01:50,-95.5719,37.0941,M,M,M,50.00,10.00,M,29.97,M,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,KCFV 010150Z AUTO 05010KT 10SM OVC028 A2997 RMK MADISHF
CFV,2017-04-01 01:52,-95.5719,37.0941,53.10,46.00,76.75,50.00,9.00,0.00,29.97,1014.90,10.00,M,OVC,M,M,M,2800.00,M,M,M,M,KCFV 010152Z AUTO 05009KT 10SM OVC028 12/08 A2997 RMK AO2 SLP149 T01170078
CFV,2017-04-01 02:05,-95.5719,37.0941,M,M,M,40.00,14.00,M,29.98,M,10.00,M,BKN,M,M,M,2800.00,M,M,M,M,KCFV 010205Z AUTO 04014KT 10SM BKN028 A2998 RMK MADISHF
CFV,2017-04-01 02:10,-95.5719,37.0941,M,M,M,50.00,13.00,M,29.98,M,10.00,M,BKN,M,M,M,2800.00,M,M,M,M,KCFV 010210Z AUTO 05013KT 10SM BKN028 A2998 RMK MADISHF
CFV,2017-04-01 02:15,-95.5719,37.0941,M,M,M,50.00,10.00,M,29.98,M,10.00,M,BKN,M,M,M,2800.00,M,M,M,M,KCFV 010215Z AUTO 05010KT 10SM BKN028 A2998 RMK MADISHF
CFV,2017-04-01 02:20,-95.5719,37.0941,M,M,M,50.00,10.00,M,29.98,M,10.00,M,SCT,M,M,M,2800.00,M,M,M,M,KCFV 010220Z AUTO 05010KT 10SM SCT028 A2998 RMK MADISHF
CFV,2017-04-01 02:23,-95.5719,37.0941,51.10,45.00,79.54,50.00,11.00,0.00,29.99,M,10.00,M,FEW,M,M,M,2800.00,M,M,M,M,KCFV 010223Z AUTO 05011KT 10SM FEW028 11/07 A2999 RMK AO2 T01060072
CFV,2017-04-01 02:25,-95.5719,37.0941,M,M,M,50.00,11.00,M,29.99,M,10.00,M,FEW,M,M,M,2900.00,M,M,M,M,KCFV 010225Z AUTO 05011KT 10SM FEW029 A2999 RMK MADISHF
CFV,2017-04-01 02:30,-95.5719,37.0941,M,M,M,60.00,11.00,M,29.99,M,10.00,M,FEW,M,M,M,2900.00,M,M,M,M,KCFV 010230Z AUTO 06011KT 10SM FEW029 A2999 RMK MADISHF
CFV,2017-04-01 02:52,-95.5719,37.0941,48.00,44.10,86.28,40.00,8.00,0.00,29.99,1015.70,10.00,M,CLR,M,M,M,M,M,M,M,M,KCFV 010252Z AUTO 04008KT 10SM CLR 09/07 A2999 RMK AO2 SLP157 T00890067 53021
