#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CGC,2017-04-01 00:15,-82.5713,28.8673,71.60,68.00,88.43,240.00,5.00,0.00,29.89,M,10.00,M,SCT,BKN,OVC,M,1300.00,1900.00,2600.00,M,M,KCGC 010015Z AUTO 24005KT 10SM SCT013 BKN019 OVC026 22/20 A2989 RMK AO2
CGC,2017-04-01 00:35,-82.5713,28.8673,71.60,68.00,88.43,230.00,5.00,0.00,29.90,M,10.00,M,BKN,OVC,M,M,1300.00,2200.00,M,M,M,KCGC 010035Z AUTO 23005KT 10SM BKN013 OVC022 22/20 A2990 RMK AO2
CGC,2017-04-01 00:55,-82.5713,28.8673,71.60,68.00,88.43,250.00,6.00,0.00,29.91,M,10.00,M,BKN,BKN,BKN,M,1300.00,2000.00,2500.00,M,M,KCGC 010055Z AUTO 25006KT 10SM BKN013 BKN020 BKN025 22/20 A2991 RMK AO2
CGC,2017-04-01 01:15,-82.5713,28.8673,71.60,68.00,88.43,250.00,4.00,0.00,29.91,M,10.00,M,BKN,OVC,M,M,1500.00,2000.00,M,M,M,KCGC 010115Z AUTO 25004KT 10SM BKN015 OVC020 22/20 A2991 RMK AO2
CGC,2017-04-01 01:35,-82.5713,28.8673,71.60,68.00,88.43,260.00,8.00,0.00,29.92,M,10.00,M,BKN,BKN,M,M,1700.00,2300.00,M,M,M,KCGC 010135Z AUTO 26008KT 10SM BKN017 BKN023 22/20 A2992 RMK AO2
CGC,2017-04-01 01:55,-82.5713,28.8673,71.60,68.00,88.43,260.00,6.00,0.00,29.92,M,10.00,M,SCT,BKN,BKN,M,1400.00,2100.00,2600.00,M,M,KCGC 010155Z AUTO 26006KT 10SM SCT014 BKN021 BKN026 22/20 A2992 RMK AO2
CGC,2017-04-01 02:15,-82.5713,28.8673,71.60,66.20,83.09,260.00,7.00,0.00,29.93,M,10.00,M,SCT,BKN,M,M,1400.00,2100.00,M,M,M,KCGC 010215Z AUTO 26007KT 10SM SCT014 BKN021 22/19 A2993 RMK AO2
CGC,2017-04-01 02:35,-82.5713,28.8673,69.80,66.20,88.34,260.00,6.00,0.00,29.94,M,10.00,M,SCT,SCT,M,M,1400.00,2300.00,M,M,M,KCGC 010235Z AUTO 26006KT 10SM SCT014 SCT023 21/19 A2994 RMK AO2
CGC,2017-04-01 02:55,-82.5713,28.8673,69.80,66.20,88.34,260.00,5.00,0.00,29.94,M,10.00,M,SCT,M,M,M,2300.00,M,M,M,M,KCGC 010255Z AUTO 26005KT 10SM SCT023 21/19 A2994 RMK AO2
CGC,2017-04-01 03:15,-82.5713,28.8673,69.80,66.20,88.34,260.00,6.00,0.00,29.94,M,10.00,M,SCT,BKN,M,M,1600.00,2500.00,M,M,M,KCGC 010315Z AUTO 26006KT 10SM SCT016 BKN025 21/19 A2994 RMK AO2
CGC,2017-04-01 03:35,-82.5713,28.8673,71.60,68.00,88.43,260.00,5.00,0.00,29.95,M,10.00,M,BKN,OVC,M,M,1500.00,2500.00,M,M,M,KCGC 010335Z AUTO 26005KT 10SM BKN015 OVC025 22/20 A2995 RMK AO2
CGC,2017-04-01 03:55,-82.5713,28.8673,69.80,66.20,88.34,260.00,7.00,0.00,29.95,M,10.00,M,BKN,BKN,M,M,1500.00,2800.00,M,M,M,KCGC 010355Z AUTO 26007KT 10SM BKN015 BKN028 21/19 A2995 RMK AO2
CGC,2017-04-01 04:15,-82.5713,28.8673,69.80,66.20,88.34,260.00,6.00,0.00,29.95,M,10.00,M,SCT,BKN,M,M,1700.00,2600.00,M,M,M,KCGC 010415Z AUTO 26006KT 10SM SCT017 BKN026 21/19 A2995 RMK AO2
CGC,2017-04-01 04:35,-82.5713,28.8673,69.80,66.20,88.34,260.00,7.00,0.00,29.96,M,10.00,M,SCT,SCT,BKN,M,1700.00,2300.00,2800.00,M,M,KCGC 010435Z AUTO 26007KT 10SM SCT017 SCT023 BKN028 21/19 A2996 RMK AO2
