#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CGI,2017-04-01 00:00,-89.5708,37.2253,M,M,M,10.00,9.00,M,29.96,M,10.00,M,OVC,M,M,M,3100.00,M,M,M,M,KCGI 010000Z AUTO 01009KT 10SM OVC031 A2996 RMK MADISHF
CGI,2017-04-01 00:05,-89.5708,37.2253,M,M,M,10.00,8.00,M,29.97,M,10.00,M,OVC,M,M,M,3100.00,M,M,M,M,KCGI 010005Z AUTO 01008KT 10SM OVC031 A2997 RMK MADISHF
CGI,2017-04-01 00:20,-89.5708,37.2253,M,M,M,360.00,7.00,M,29.97,M,10.00,M,OVC,M,M,M,3100.00,M,M,M,M,KCGI 010020Z AUTO 36007KT 10SM OVC031 A2997 RMK MADISHF
CGI,2017-04-01 00:25,-89.5708,37.2253,M,M,M,10.00,7.00,M,29.97,M,10.00,M,OVC,M,M,M,3100.00,M,M,M,M,KCGI 010025Z AUTO 01007KT 10SM OVC031 A2997 RMK MADISHF
CGI,2017-04-01 00:30,-89.5708,37.2253,M,M,M,20.00,8.00,M,29.97,M,10.00,M,OVC,M,M,M,3100.00,M,M,M,M,KCGI 010030Z AUTO 02008KT 10SM OVC031 A2997 RMK MADISHF
CGI,2017-04-01 00:35,-89.5708,37.2253,M,M,M,10.00,8.00,M,29.98,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCGI 010035Z AUTO 01008KT 10SM OVC030 A2998 RMK MADISHF
CGI,2017-04-01 00:40,-89.5708,37.2253,M,M,M,10.00,8.00,M,29.98,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCGI 010040Z AUTO 01008KT 10SM OVC030 A2998 RMK MADISHF
CGI,2017-04-01 00:45,-89.5708,37.2253,M,M,M,10.00,7.00,M,29.98,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCGI 010045Z AUTO 01007KT 10SM OVC030 A2998 RMK MADISHF
CGI,2017-04-01 00:50,-89.5708,37.2253,M,M,M,360.00,7.00,M,29.98,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCGI 010050Z AUTO 36007KT 10SM OVC030 A2998 RMK MADISHF
CGI,2017-04-01 00:53,-89.5708,37.2253,53.10,42.10,66.13,20.00,6.00,0.00,29.98,1015.20,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCGI 010053Z AUTO 02006KT 10SM OVC030 12/06 A2998 RMK AO2 SLP152 T01170056
CGI,2017-04-01 00:55,-89.5708,37.2253,M,M,M,10.00,7.00,M,29.98,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCGI 010055Z AUTO 01007KT 10SM OVC030 A2998 RMK MADISHF
CGI,2017-04-01 01:00,-89.5708,37.2253,M,M,M,10.00,6.00,M,29.98,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCGI 010100Z AUTO 01006KT 10SM OVC030 A2998 RMK MADISHF
CGI,2017-04-01 01:05,-89.5708,37.2253,M,M,M,30.00,7.00,M,29.99,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCGI 010105Z AUTO 03007KT 10SM OVC030 A2999 RMK MADISHF
CGI,2017-04-01 01:10,-89.5708,37.2253,M,M,M,30.00,7.00,M,29.99,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCGI 010110Z AUTO 03007KT 10SM OVC030 A2999 RMK MADISHF
CGI,2017-04-01 01:15,-89.5708,37.2253,M,M,M,30.00,4.00,M,29.99,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCGI 010115Z AUTO 03004KT 10SM OVC030 A2999 RMK MADISHF
CGI,2017-04-01 01:20,-89.5708,37.2253,M,M,M,30.00,5.00,M,30.00,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCGI 010120Z AUTO 03005KT 10SM OVC030 A3000 RMK MADISHF
CGI,2017-04-01 01:25,-89.5708,37.2253,M,M,M,20.00,6.00,M,30.00,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCGI 010125Z AUTO 02006KT 10SM OVC029 A3000 RMK MADISHF
CGI,2017-04-01 01:28,-89.5708,37.2253,52.00,43.00,71.28,30.00,6.00,0.00,30.00,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCGI 010128Z AUTO 03006KT 10SM OVC029 11/06 A3000 RMK AO2 T01110061
