#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CGS,2017-04-01 00:01,-76.9223,38.9806,47.30,45.50,93.42,270.00,3.00,0.00,29.67,M,7.00,M,OVC,M,M,M,800.00,M,M,M,M,KCGS 010001Z AUTO 27003KT 7SM OVC008 09/08 A2967 RMK AO1 T00850075
CGS,2017-04-01 00:21,-76.9223,38.9806,46.80,44.20,90.61,300.00,6.00,0.00,29.66,M,10.00,M,SCT,SCT,OVC,M,800.00,2600.00,7500.00,M,M,KCGS 010021Z AUTO 30006KT 10SM SCT008 SCT026 OVC075 08/07 A2966 RMK AO1 T00820068
CGS,2017-04-01 00:41,-76.9223,38.9806,46.60,44.20,91.29,0.00,0.00,0.00,29.66,M,10.00,M,SCT,BKN,OVC,M,800.00,7500.00,9500.00,M,M,KCGS 010041Z AUTO 00000KT 10SM SCT008 BKN075 OVC095 08/07 A2966 RMK AO1 T00810068
CGS,2017-04-01 01:01,-76.9223,38.9806,46.40,43.70,90.24,320.00,5.00,0.00,29.67,M,10.00,M,BKN,BKN,OVC,M,800.00,7500.00,9500.00,M,M,KCGS 010101Z AUTO 32005KT 10SM BKN008 BKN075 OVC095 08/07 A2967 RMK AO1 T00800065
CGS,2017-04-01 01:21,-76.9223,38.9806,46.00,43.70,91.62,330.00,6.00,0.00,29.66,M,10.00,M,BKN,BKN,OVC,M,800.00,8000.00,10000.00,M,M,KCGS 010121Z AUTO 33006KT 10SM BKN008 BKN080 OVC100 08/07 A2966 RMK AO1 T00780065
CGS,2017-04-01 01:41,-76.9223,38.9806,45.90,43.70,91.97,0.00,0.00,0.00,29.66,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KCGS 010141Z AUTO 00000KT 10SM OVC008 08/07 A2966 RMK AO1 T00770065
CGS,2017-04-01 02:01,-76.9223,38.9806,45.90,43.50,91.27,0.00,0.00,0.00,29.66,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KCGS 010201Z AUTO 00000KT 10SM OVC008 08/06 A2966 RMK AO1 T00770064
CGS,2017-04-01 02:21,-76.9223,38.9806,46.00,43.70,91.62,0.00,0.00,0.00,29.66,M,10.00,M,BKN,OVC,M,M,800.00,7500.00,M,M,M,KCGS 010221Z AUTO 00000KT 10SM BKN008 OVC075 08/07 A2966 RMK AO1 T00780065
CGS,2017-04-01 03:01,-76.9223,38.9806,45.90,43.30,90.57,320.00,3.00,0.00,29.66,M,7.00,M,OVC,M,M,M,800.00,M,M,M,M,KCGS 010301Z AUTO 32003KT 7SM OVC008 08/06 A2966 RMK AO1 T00770063
CGS,2017-04-01 04:01,-76.9223,38.9806,45.90,43.20,90.22,320.00,4.00,0.00,29.66,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KCGS 010401Z AUTO 32004KT 10SM OVC008 08/06 A2966 RMK AO1 T00770062
CGS,2017-04-01 04:21,-76.9223,38.9806,45.70,43.20,90.91,0.00,0.00,0.00,29.66,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KCGS 010421Z AUTO 00000KT 10SM OVC008 08/06 A2966 RMK AO1 T00760062
CGS,2017-04-01 04:41,-76.9223,38.9806,45.70,43.20,90.91,0.00,0.00,0.00,29.67,M,10.00,M,OVC,M,M,M,800.00,M,M,M,M,KCGS 010441Z AUTO 00000KT 10SM OVC008 08/06 A2967 RMK AO1 T00760062
CGS,2017-04-01 05:41,-76.9223,38.9806,46.00,43.20,89.88,310.00,5.00,0.00,29.68,M,7.00,M,OVC,M,M,M,1000.00,M,M,M,M,KCGS 010541Z AUTO 31005KT 7SM OVC010 08/06 A2968 RMK AO1 T00780062
CGS,2017-04-01 06:21,-76.9223,38.9806,46.00,43.70,91.62,0.00,0.00,0.00,29.68,M,7.00,M,SCT,BKN,OVC,M,1000.00,4400.00,5000.00,M,M,KCGS 010621Z AUTO 00000KT 7SM SCT010 BKN044 OVC050 08/07 A2968 RMK AO1 T00780065
CGS,2017-04-01 06:41,-76.9223,38.9806,45.90,43.30,90.57,0.00,0.00,0.00,29.68,M,7.00,M,SCT,BKN,OVC,M,800.00,4000.00,5000.00,M,M,KCGS 010641Z AUTO 00000KT 7SM SCT008 BKN040 OVC050 08/06 A2968 RMK AO1 T00770063
CGS,2017-04-01 07:01,-76.9223,38.9806,46.00,43.50,90.92,0.00,0.00,0.00,29.68,M,7.00,M,OVC,M,M,M,3700.00,M,M,M,M,KCGS 010701Z AUTO 00000KT 7SM OVC037 08/06 A2968 RMK AO1 T00780064
