#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CGZ,2017-04-01 00:00,-111.7668,32.9549,M,M,M,280.00,9.00,M,29.74,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCGZ 010000Z AUTO 28009KT 10SM OVC110 A2974 RMK MADISHF
CGZ,2017-04-01 00:05,-111.7668,32.9549,M,M,M,280.00,12.00,M,29.74,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCGZ 010005Z AUTO 28012KT 10SM OVC110 A2974 RMK MADISHF
CGZ,2017-04-01 00:10,-111.7668,32.9549,M,M,M,260.00,12.00,M,29.74,M,10.00,M,OVC,M,M,M,11000.00,M,M,M,M,KCGZ 010010Z AUTO 26012KT 10SM OVC110 A2974 RMK MADISHF
CGZ,2017-04-01 00:15,-111.7668,32.9549,M,M,M,270.00,11.00,M,29.75,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCGZ 010015Z AUTO 27011KT 10SM OVC100 A2975 RMK MADISHF
CGZ,2017-04-01 00:20,-111.7668,32.9549,M,M,M,270.00,9.00,M,29.75,M,10.00,15.00,OVC,M,M,M,10000.00,M,M,M,M,KCGZ 010020Z AUTO 27009G15KT 10SM OVC100 A2975 RMK MADISHF
CGZ,2017-04-01 00:25,-111.7668,32.9549,M,M,M,270.00,10.00,M,29.75,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCGZ 010025Z AUTO 27010KT 10SM OVC100 A2975 RMK MADISHF
CGZ,2017-04-01 00:30,-111.7668,32.9549,M,M,M,300.00,10.00,M,29.75,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCGZ 010030Z AUTO 30010KT 10SM OVC100 A2975 RMK MADISHF
CGZ,2017-04-01 00:35,-111.7668,32.9549,M,M,M,280.00,10.00,M,29.75,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCGZ 010035Z AUTO 28010KT 10SM OVC100 A2975 RMK MADISHF
CGZ,2017-04-01 00:40,-111.7668,32.9549,M,M,M,270.00,11.00,M,29.75,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCGZ 010040Z AUTO 27011KT 10SM OVC100 A2975 RMK MADISHF
CGZ,2017-04-01 00:45,-111.7668,32.9549,M,M,M,290.00,9.00,M,29.75,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCGZ 010045Z AUTO 29009KT 10SM OVC100 A2975 RMK MADISHF
CGZ,2017-04-01 00:50,-111.7668,32.9549,M,M,M,270.00,12.00,M,29.75,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCGZ 010050Z AUTO 27012KT 10SM OVC100 A2975 RMK MADISHF
CGZ,2017-04-01 00:55,-111.7668,32.9549,M,M,M,300.00,10.00,M,29.76,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCGZ 010055Z AUTO 30010KT 10SM OVC100 A2976 RMK MADISHF
CGZ,2017-04-01 00:56,-111.7668,32.9549,64.00,26.10,23.61,300.00,11.00,0.00,29.76,1007.00,10.00,15.00,OVC,M,M,M,10000.00,M,M,M,M,KCGZ 010056Z AUTO 30011G15KT 10SM OVC100 18/M03 A2976 RMK AO2 SLP070 T01781033 $
CGZ,2017-04-01 01:00,-111.7668,32.9549,M,M,M,300.00,12.00,M,29.76,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCGZ 010100Z AUTO 30012KT 10SM OVC100 A2976 RMK MADISHF
