#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CHD,2017-04-01 00:47,-111.8100,33.2700,64.40,26.60,23.77,300.00,10.00,0.00,29.75,M,10.00,M,FEW,M,M,M,8000.00,M,M,M,M,KCHD 010047Z AUTO 30010KT 10SM FEW080 18/M03 A2975
CHD,2017-04-01 01:47,-111.8100,33.2700,64.40,28.40,25.60,290.00,10.00,0.00,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHD 010147Z AUTO 29010KT 10SM CLR 18/M02 A2978
CHD,2017-04-01 02:47,-111.8100,33.2700,62.60,28.40,27.27,300.00,5.00,0.00,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHD 010247Z AUTO 30005KT 10SM CLR 17/M02 A2980
CHD,2017-04-01 04:00,-111.8100,33.2700,59.00,28.40,30.98,360.00,8.00,0.00,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHD 010400Z AUTO 36008KT 10SM CLR 15/M02 A2981 RMK LAST
CHD,2017-04-01 14:47,-111.8100,33.2700,55.40,32.00,40.84,60.00,6.00,0.00,29.92,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHD 011447Z AUTO 06006KT 10SM CLR 13/00 A2992
CHD,2017-04-01 15:47,-111.8100,33.2700,59.00,30.20,33.35,50.00,6.00,0.00,29.93,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHD 011547Z AUTO 05006KT 10SM CLR 15/M01 A2993
CHD,2017-04-01 16:47,-111.8100,33.2700,60.80,30.20,31.28,0.00,0.00,0.00,29.95,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHD 011647Z AUTO 00000KT 10SM CLR 16/M01 A2995
CHD,2017-04-01 17:47,-111.8100,33.2700,64.40,28.40,25.60,0.00,0.00,0.00,29.94,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHD 011747Z AUTO 00000KT 10SM CLR 18/M02 A2994
CHD,2017-04-01 22:47,-111.8100,33.2700,71.60,23.00,15.97,M,4.00,0.00,29.90,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHD 012247Z AUTO VRB04KT 10SM CLR 22/M05 A2990
CHD,2017-04-01 23:47,-111.8100,33.2700,71.60,24.80,17.22,330.00,7.00,0.00,29.91,M,10.00,M,FEW,FEW,M,M,8000.00,15000.00,M,M,M,KCHD 012347Z AUTO 33007KT 10SM FEW080 FEW150 22/M04 A2991
