#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CHO,2017-04-01 00:00,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.65,M,10.00,M,OVC,M,M,M,7000.00,M,M,M,-RA,KCHO 010000Z AUTO 00000KT 10SM -RA OVC070 A2965 RMK MADISHF
CHO,2017-04-01 00:05,-78.4529,38.1386,M,M,M,200.00,4.00,M,29.66,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,-RA,KCHO 010005Z AUTO 20004KT 10SM -RA OVC075 A2966 RMK MADISHF
CHO,2017-04-01 00:10,-78.4529,38.1386,M,M,M,200.00,4.00,M,29.65,M,10.00,M,OVC,M,M,M,7500.00,M,M,M,-RA,KCHO 010010Z AUTO 20004KT 10SM -RA OVC075 A2965 RMK MADISHF
CHO,2017-04-01 00:15,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.65,M,10.00,M,BKN,OVC,M,M,7500.00,9000.00,M,M,M,KCHO 010015Z AUTO 00000KT 10SM BKN075 OVC090 A2965 RMK MADISHF
CHO,2017-04-01 00:20,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.65,M,10.00,M,BKN,OVC,M,M,7999.00,9000.00,M,M,M,KCHO 010020Z AUTO 00000KT 10SM BKN079 OVC090 A2965 RMK MADISHF
CHO,2017-04-01 00:25,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.65,M,10.00,M,SCT,OVC,M,M,7999.00,9000.00,M,M,M,KCHO 010025Z AUTO 00000KT 10SM SCT079 OVC090 A2965 RMK MADISHF
CHO,2017-04-01 00:30,-78.4529,38.1386,M,M,M,130.00,3.00,M,29.66,M,10.00,M,SCT,OVC,M,M,7999.00,9000.00,M,M,M,KCHO 010030Z AUTO 13003KT 10SM SCT079 OVC090 A2966 RMK MADISHF
CHO,2017-04-01 00:35,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.66,M,10.00,M,FEW,OVC,M,M,7999.00,9000.00,M,M,M,KCHO 010035Z AUTO 00000KT 10SM FEW079 OVC090 A2966 RMK MADISHF
CHO,2017-04-01 00:40,-78.4529,38.1386,M,M,M,160.00,3.00,M,29.66,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,-RA,KCHO 010040Z AUTO 16003KT 10SM -RA OVC090 A2966 RMK MADISHF
CHO,2017-04-01 00:45,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.66,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,-RA,KCHO 010045Z AUTO 00000KT 10SM -RA OVC090 A2966 RMK MADISHF
CHO,2017-04-01 00:50,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.66,M,10.00,M,OVC,M,M,M,9000.00,M,M,M,-RA,KCHO 010050Z AUTO 00000KT 10SM -RA OVC090 A2966 RMK MADISHF
CHO,2017-04-01 00:53,-78.4529,38.1386,55.90,55.00,96.78,0.00,0.00,0.00,29.66,1004.20,10.00,M,OVC,M,M,M,9000.00,M,M,M,-RA,KCHO 010053Z 00000KT 10SM -RA OVC090 13/13 A2966 RMK AO2 RAB00E11B38 SLP042 P0000 T01330128
CHO,2017-04-01 00:55,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.66,M,10.00,M,FEW,OVC,M,M,6500.00,9000.00,M,M,-RA,KCHO 010055Z AUTO 00000KT 10SM -RA FEW065 OVC090 A2966 RMK MADISHF
CHO,2017-04-01 01:00,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.66,M,9.00,M,FEW,BKN,OVC,M,7000.00,9000.00,11000.00,M,-RA,KCHO 010100Z AUTO 00000KT 9SM -RA FEW070 BKN090 OVC110 A2966 RMK MADISHF
CHO,2017-04-01 01:05,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.67,M,8.00,M,FEW,BKN,OVC,M,6500.00,9000.00,11000.00,M,-RA,KCHO 010105Z AUTO 00000KT 8SM -RA FEW065 BKN090 OVC110 A2967 RMK MADISHF
CHO,2017-04-01 01:10,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.67,M,8.00,M,FEW,OVC,M,M,6000.00,10000.00,M,M,-RA,KCHO 010110Z AUTO 00000KT 8SM -RA FEW060 OVC100 A2967 RMK MADISHF
CHO,2017-04-01 01:15,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.67,M,5.00,M,FEW,OVC,M,M,5500.00,10000.00,M,M,-RA BR,KCHO 010115Z AUTO 00000KT 5SM -RA BR FEW055 OVC100 A2967 RMK MADISHF
CHO,2017-04-01 01:20,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.67,M,5.00,M,FEW,BKN,M,M,5500.00,10000.00,M,M,BR,KCHO 010120Z AUTO 00000KT 5SM BR FEW055 BKN100 A2967 RMK MADISHF
CHO,2017-04-01 01:25,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.67,M,8.00,M,BKN,M,M,M,10000.00,M,M,M,M,KCHO 010125Z AUTO 00000KT 8SM BKN100 A2967 RMK MADISHF
CHO,2017-04-01 01:30,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.67,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCHO 010130Z AUTO 00000KT 10SM OVC100 A2967 RMK MADISHF
CHO,2017-04-01 01:35,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.67,M,10.00,M,OVC,M,M,M,10000.00,M,M,M,M,KCHO 010135Z AUTO 00000KT 10SM OVC100 A2967 RMK MADISHF
CHO,2017-04-01 01:40,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.67,M,9.00,M,BKN,M,M,M,10000.00,M,M,M,M,KCHO 010140Z AUTO 00000KT 9SM BKN100 A2967 RMK MADISHF
CHO,2017-04-01 01:45,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.67,M,5.00,M,SCT,M,M,M,10000.00,M,M,M,BR,KCHO 010145Z AUTO 00000KT 5SM BR SCT100 A2967 RMK MADISHF
CHO,2017-04-01 01:50,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.67,M,2.00,M,SCT,M,M,M,10000.00,M,M,M,BR,KCHO 010150Z AUTO 00000KT 2SM BR SCT100 A2967 RMK MADISHF
CHO,2017-04-01 01:53,-78.4529,38.1386,55.00,53.10,93.29,0.00,0.00,0.00,29.67,1004.60,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,KCHO 010153Z 00000KT 10SM SCT100 13/12 A2967 RMK AO2 RAE20 SLP046 P0000 T01280117
CHO,2017-04-01 01:55,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.67,M,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,KCHO 010155Z AUTO 00000KT 10SM SCT100 A2967 RMK MADISHF
CHO,2017-04-01 02:00,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.67,M,10.00,M,SCT,M,M,M,10000.00,M,M,M,M,KCHO 010200Z AUTO 00000KT 10SM SCT100 A2967 RMK MADISHF
CHO,2017-04-01 02:04,-78.4529,38.1386,55.00,53.10,93.29,0.00,0.00,0.00,29.67,M,10.00,M,FEW,SCT,M,M,200.00,10000.00,M,M,M,KCHO 010204Z 00000KT 10SM FEW002 SCT100 13/12 A2967 RMK AO2 T01280117
CHO,2017-04-01 02:05,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.67,M,10.00,M,FEW,SCT,M,M,200.00,10000.00,M,M,M,KCHO 010205Z AUTO 00000KT 10SM FEW002 SCT100 A2967 RMK MADISHF
CHO,2017-04-01 02:10,-78.4529,38.1386,M,M,M,210.00,3.00,M,29.67,M,10.00,M,FEW,SCT,M,M,200.00,10000.00,M,M,M,KCHO 010210Z AUTO 21003KT 10SM FEW002 SCT100 A2967 RMK MADISHF
CHO,2017-04-01 02:15,-78.4529,38.1386,M,M,M,200.00,3.00,M,29.67,M,10.00,M,FEW,SCT,M,M,200.00,10000.00,M,M,M,KCHO 010215Z AUTO 20003KT 10SM FEW002 SCT100 A2967 RMK MADISHF
CHO,2017-04-01 02:20,-78.4529,38.1386,M,M,M,190.00,3.00,M,29.68,M,10.00,M,FEW,SCT,M,M,200.00,10000.00,M,M,M,KCHO 010220Z AUTO 19003KT 10SM FEW002 SCT100 A2968 RMK MADISHF
CHO,2017-04-01 02:25,-78.4529,38.1386,M,M,M,190.00,3.00,M,29.67,M,10.00,M,FEW,SCT,M,M,200.00,10000.00,M,M,M,KCHO 010225Z AUTO 19003KT 10SM FEW002 SCT100 A2967 RMK MADISHF
CHO,2017-04-01 02:30,-78.4529,38.1386,M,M,M,0.00,0.00,M,29.67,M,10.00,M,FEW,SCT,M,M,200.00,10000.00,M,M,M,KCHO 010230Z AUTO 00000KT 10SM FEW002 SCT100 A2967 RMK MADISHF
CHO,2017-04-01 02:35,-78.4529,38.1386,M,M,M,190.00,4.00,M,29.67,M,10.00,M,FEW,SCT,M,M,200.00,10000.00,M,M,M,KCHO 010235Z AUTO 19004KT 10SM FEW002 SCT100 A2967 RMK MADISHF
CHO,2017-04-01 02:40,-78.4529,38.1386,M,M,M,210.00,4.00,M,29.67,M,10.00,M,FEW,SCT,M,M,200.00,10000.00,M,M,M,KCHO 010240Z AUTO 21004KT 10SM FEW002 SCT100 A2967 RMK MADISHF
CHO,2017-04-01 02:45,-78.4529,38.1386,M,M,M,210.00,5.00,M,29.67,M,10.00,M,FEW,SCT,M,M,200.00,10000.00,M,M,M,KCHO 010245Z AUTO 21005KT 10SM FEW002 SCT100 A2967 RMK MADISHF
CHO,2017-04-01 02:50,-78.4529,38.1386,M,M,M,210.00,3.00,M,29.67,M,10.00,M,FEW,M,M,M,100.00,M,M,M,M,KCHO 010250Z AUTO 21003KT 10SM FEW001 A2967 RMK MADISHF
CHO,2017-04-01 02:53,-78.4529,38.1386,53.10,52.00,96.03,210.00,3.00,0.00,29.67,1004.50,10.00,M,FEW,M,M,M,100.00,M,M,M,M,KCHO 010253Z 21003KT 10SM FEW001 12/11 A2967 RMK AO2 SLP045 60000 T01170111 50005
CHO,2017-04-01 02:55,-78.4529,38.1386,M,M,M,210.00,3.00,M,29.67,M,6.00,M,CLR,M,M,M,M,M,M,M,BR,KCHO 010255Z AUTO 21003KT 6SM BR CLR A2967 RMK MADISHF
CHO,2017-04-01 03:00,-78.4529,38.1386,M,M,M,200.00,4.00,M,29.67,M,9.00,M,CLR,M,M,M,M,M,M,M,M,KCHO 010300Z AUTO 20004KT 9SM CLR A2967 RMK MADISHF
CHO,2017-04-01 03:05,-78.4529,38.1386,M,M,M,200.00,4.00,M,29.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHO 010305Z AUTO 20004KT 10SM CLR A2967 RMK MADISHF
CHO,2017-04-01 03:10,-78.4529,38.1386,M,M,M,200.00,3.00,M,29.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHO 010310Z AUTO 20003KT 10SM CLR A2967 RMK MADISHF
CHO,2017-04-01 03:15,-78.4529,38.1386,M,M,M,180.00,4.00,M,29.67,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHO 010315Z AUTO 18004KT 10SM CLR A2967 RMK MADISHF
CHO,2017-04-01 03:20,-78.4529,38.1386,M,M,M,190.00,4.00,M,29.67,M,10.00,M,FEW,M,M,M,5000.00,M,M,M,M,KCHO 010320Z AUTO 19004KT 10SM FEW050 A2967 RMK MADISHF
CHO,2017-04-01 03:25,-78.4529,38.1386,M,M,M,190.00,4.00,M,29.67,M,10.00,M,FEW,M,M,M,5000.00,M,M,M,M,KCHO 010325Z AUTO 19004KT 10SM FEW050 A2967 RMK MADISHF
CHO,2017-04-01 03:30,-78.4529,38.1386,M,M,M,210.00,4.00,M,29.67,M,10.00,M,FEW,M,M,M,5000.00,M,M,M,M,KCHO 010330Z AUTO 21004KT 10SM FEW050 A2967 RMK MADISHF
CHO,2017-04-01 03:35,-78.4529,38.1386,M,M,M,200.00,4.00,M,29.67,M,10.00,M,FEW,M,M,M,5000.00,M,M,M,M,KCHO 010335Z AUTO 20004KT 10SM FEW050 A2967 RMK MADISHF
CHO,2017-04-01 03:40,-78.4529,38.1386,M,M,M,240.00,3.00,M,29.67,M,10.00,M,FEW,M,M,M,5000.00,M,M,M,M,KCHO 010340Z AUTO 24003KT 10SM FEW050 A2967 RMK VRB03KT  MADISHF
