#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CHS,2017-04-01 00:00,-80.0405,32.8986,M,M,M,270.00,9.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010000Z AUTO 27009KT 10SM CLR A2973 RMK MADISHF
CHS,2017-04-01 00:05,-80.0405,32.8986,M,M,M,260.00,7.00,M,29.73,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010005Z AUTO 26007KT 10SM CLR A2973 RMK MADISHF
CHS,2017-04-01 00:10,-80.0405,32.8986,M,M,M,260.00,6.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010010Z AUTO 26006KT 10SM CLR A2974 RMK MADISHF
CHS,2017-04-01 00:15,-80.0405,32.8986,M,M,M,260.00,7.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010015Z AUTO 26007KT 10SM CLR A2974 RMK MADISHF
CHS,2017-04-01 00:20,-80.0405,32.8986,M,M,M,260.00,7.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010020Z AUTO 26007KT 10SM CLR A2974 RMK MADISHF
CHS,2017-04-01 00:25,-80.0405,32.8986,M,M,M,260.00,6.00,M,29.74,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010025Z AUTO 26006KT 10SM CLR A2974 RMK MADISHF
CHS,2017-04-01 00:30,-80.0405,32.8986,M,M,M,260.00,6.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010030Z AUTO 26006KT 10SM CLR A2975 RMK MADISHF
CHS,2017-04-01 00:35,-80.0405,32.8986,M,M,M,260.00,7.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010035Z AUTO 26007KT 10SM CLR A2975 RMK MADISHF
CHS,2017-04-01 00:40,-80.0405,32.8986,M,M,M,260.00,6.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010040Z AUTO 26006KT 10SM CLR A2975 RMK MADISHF
CHS,2017-04-01 00:45,-80.0405,32.8986,M,M,M,260.00,6.00,M,29.75,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010045Z AUTO 26006KT 10SM CLR A2975 RMK MADISHF
CHS,2017-04-01 00:50,-80.0405,32.8986,M,M,M,260.00,6.00,M,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010050Z AUTO 26006KT 10SM CLR A2976 RMK MADISHF
CHS,2017-04-01 00:55,-80.0405,32.8986,M,M,M,260.00,6.00,M,29.76,M,10.00,M,FEW,M,M,M,6000.00,M,M,M,M,KCHS 010055Z AUTO 26006KT 10SM FEW060 A2976 RMK MADISHF
CHS,2017-04-01 00:56,-80.0405,32.8986,73.90,51.10,44.76,260.00,6.00,0.00,29.76,1007.60,10.00,M,FEW,M,M,M,6000.00,M,M,M,M,KCHS 010056Z 26006KT 10SM FEW060 23/11 A2976 RMK AO2 SLP076 T02330106
CHS,2017-04-01 01:00,-80.0405,32.8986,M,M,M,260.00,6.00,M,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010100Z AUTO 26006KT 10SM CLR A2976 RMK MADISHF
CHS,2017-04-01 01:05,-80.0405,32.8986,M,M,M,250.00,6.00,M,29.76,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010105Z AUTO 25006KT 10SM CLR A2976 RMK MADISHF
CHS,2017-04-01 01:10,-80.0405,32.8986,M,M,M,260.00,5.00,M,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010110Z AUTO 26005KT 10SM CLR A2977 RMK MADISHF
CHS,2017-04-01 01:15,-80.0405,32.8986,M,M,M,250.00,6.00,M,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010115Z AUTO 25006KT 10SM CLR A2977 RMK MADISHF
CHS,2017-04-01 01:20,-80.0405,32.8986,M,M,M,250.00,6.00,M,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010120Z AUTO 25006KT 10SM CLR A2977 RMK MADISHF
CHS,2017-04-01 01:25,-80.0405,32.8986,M,M,M,260.00,6.00,M,29.77,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010125Z AUTO 26006KT 10SM CLR A2977 RMK MADISHF
CHS,2017-04-01 01:30,-80.0405,32.8986,M,M,M,260.00,7.00,M,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010130Z AUTO 26007KT 10SM CLR A2978 RMK MADISHF
CHS,2017-04-01 01:35,-80.0405,32.8986,M,M,M,270.00,6.00,M,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010135Z AUTO 27006KT 10SM CLR A2978 RMK MADISHF
CHS,2017-04-01 01:40,-80.0405,32.8986,M,M,M,260.00,7.00,M,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010140Z AUTO 26007KT 10SM CLR A2978 RMK MADISHF
CHS,2017-04-01 01:45,-80.0405,32.8986,M,M,M,260.00,7.00,M,29.78,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010145Z AUTO 26007KT 10SM CLR A2978 RMK MADISHF
CHS,2017-04-01 01:50,-80.0405,32.8986,M,M,M,260.00,7.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010150Z AUTO 26007KT 10SM CLR A2979 RMK MADISHF
CHS,2017-04-01 01:55,-80.0405,32.8986,M,M,M,260.00,7.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010155Z AUTO 26007KT 10SM CLR A2979 RMK MADISHF
CHS,2017-04-01 01:56,-80.0405,32.8986,72.00,51.10,47.72,260.00,6.00,0.00,29.79,1008.60,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010156Z 26006KT 10SM CLR 22/11 A2979 RMK AO2 SLP086 T02220106
CHS,2017-04-01 02:00,-80.0405,32.8986,M,M,M,250.00,6.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010200Z AUTO 25006KT 10SM CLR A2979 RMK MADISHF
CHS,2017-04-01 02:05,-80.0405,32.8986,M,M,M,250.00,5.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010205Z AUTO 25005KT 10SM CLR A2979 RMK MADISHF
CHS,2017-04-01 02:10,-80.0405,32.8986,M,M,M,250.00,5.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010210Z AUTO 25005KT 10SM CLR A2979 RMK MADISHF
CHS,2017-04-01 02:15,-80.0405,32.8986,M,M,M,260.00,4.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010215Z AUTO 26004KT 10SM CLR A2980 RMK MADISHF
CHS,2017-04-01 02:20,-80.0405,32.8986,M,M,M,270.00,5.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010220Z AUTO 27005KT 10SM CLR A2980 RMK MADISHF
CHS,2017-04-01 02:25,-80.0405,32.8986,M,M,M,280.00,5.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010225Z AUTO 28005KT 10SM CLR A2980 RMK MADISHF
CHS,2017-04-01 02:30,-80.0405,32.8986,M,M,M,280.00,6.00,M,29.80,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010230Z AUTO 28006KT 10SM CLR A2980 RMK MADISHF
CHS,2017-04-01 02:35,-80.0405,32.8986,M,M,M,290.00,6.00,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010235Z AUTO 29006KT 10SM CLR A2981 RMK MADISHF
CHS,2017-04-01 02:40,-80.0405,32.8986,M,M,M,300.00,6.00,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010240Z AUTO 30006KT 10SM CLR A2981 RMK MADISHF
CHS,2017-04-01 02:45,-80.0405,32.8986,M,M,M,290.00,7.00,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010245Z AUTO 29007KT 10SM CLR A2981 RMK MADISHF
CHS,2017-04-01 02:50,-80.0405,32.8986,M,M,M,290.00,7.00,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010250Z AUTO 29007KT 10SM CLR A2981 RMK MADISHF
CHS,2017-04-01 02:55,-80.0405,32.8986,M,M,M,300.00,7.00,M,29.81,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010255Z AUTO 30007KT 10SM CLR A2981 RMK MADISHF
CHS,2017-04-01 02:56,-80.0405,32.8986,71.10,51.10,49.20,300.00,7.00,0.00,29.81,1009.50,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010256Z 30007KT 10SM CLR 22/11 A2981 RMK AO2 SLP095 T02170106 51029
CHS,2017-04-01 03:00,-80.0405,32.8986,M,M,M,300.00,8.00,M,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010300Z AUTO 30008KT 10SM CLR A2982 RMK MADISHF
CHS,2017-04-01 03:05,-80.0405,32.8986,M,M,M,300.00,7.00,M,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010305Z AUTO 30007KT 10SM CLR A2982 RMK MADISHF
CHS,2017-04-01 03:10,-80.0405,32.8986,M,M,M,290.00,6.00,M,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010310Z AUTO 29006KT 10SM CLR A2982 RMK MADISHF
CHS,2017-04-01 03:15,-80.0405,32.8986,M,M,M,280.00,5.00,M,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010315Z AUTO 28005KT 10SM CLR A2982 RMK MADISHF
CHS,2017-04-01 03:20,-80.0405,32.8986,M,M,M,290.00,6.00,M,29.82,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010320Z AUTO 29006KT 10SM CLR A2982 RMK MADISHF
CHS,2017-04-01 03:25,-80.0405,32.8986,M,M,M,290.00,5.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010325Z AUTO 29005KT 10SM CLR A2983 RMK MADISHF
CHS,2017-04-01 03:30,-80.0405,32.8986,M,M,M,300.00,5.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010330Z AUTO 30005KT 10SM CLR A2983 RMK MADISHF
CHS,2017-04-01 03:35,-80.0405,32.8986,M,M,M,310.00,6.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010335Z AUTO 31006KT 10SM CLR A2983 RMK MADISHF
CHS,2017-04-01 03:40,-80.0405,32.8986,M,M,M,300.00,6.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010340Z AUTO 30006KT 10SM CLR A2983 RMK MADISHF
CHS,2017-04-01 03:45,-80.0405,32.8986,M,M,M,290.00,6.00,M,29.83,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCHS 010345Z AUTO 29006KT 10SM CLR A2983 RMK MADISHF
