#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CIR,2017-04-01 00:15,-89.2196,37.0647,52.90,43.70,70.84,350.00,8.00,0.00,29.97,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCIR 010015Z AUTO 35008KT 10SM OVC029 12/07 A2997 RMK AO2 T01160065
CIR,2017-04-01 00:35,-89.2196,37.0647,52.70,43.70,71.36,330.00,7.00,0.00,29.98,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCIR 010035Z AUTO 33007KT 10SM OVC029 12/07 A2998 RMK AO2 T01150065
CIR,2017-04-01 00:55,-89.2196,37.0647,52.30,43.70,72.42,330.00,10.00,0.00,29.99,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCIR 010055Z AUTO 33010KT 10SM OVC029 11/07 A2999 RMK AO2 T01130065
CIR,2017-04-01 01:15,-89.2196,37.0647,52.20,44.40,74.65,350.00,6.00,0.00,30.00,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCIR 010115Z AUTO 35006KT 10SM OVC029 11/07 A3000 RMK AO2 T01120069
CIR,2017-04-01 01:35,-89.2196,37.0647,51.80,43.90,74.33,350.00,6.00,0.00,30.01,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCIR 010135Z AUTO 35006KT 10SM OVC029 11/07 A3001 RMK AO2 T01100066
CIR,2017-04-01 01:55,-89.2196,37.0647,51.80,44.60,76.34,30.00,5.00,0.00,30.02,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCIR 010155Z AUTO 03005KT 10SM OVC029 11/07 A3002 RMK AO2 T01100070
CIR,2017-04-01 02:15,-89.2196,37.0647,51.30,44.20,76.59,20.00,8.00,0.00,30.02,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCIR 010215Z AUTO 02008KT 10SM OVC029 11/07 A3002 RMK AO2 T01070068
CIR,2017-04-01 02:35,-89.2196,37.0647,50.90,43.90,76.84,20.00,7.00,0.00,30.02,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KCIR 010235Z AUTO 02007KT 10SM OVC027 11/07 A3002 RMK AO2 T01050066
CIR,2017-04-01 02:55,-89.2196,37.0647,50.90,43.90,76.84,20.00,5.00,0.00,30.04,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KCIR 010255Z AUTO 02005KT 10SM OVC027 11/07 A3004 RMK AO2 T01050066
CIR,2017-04-01 03:15,-89.2196,37.0647,50.40,43.70,77.69,20.00,5.00,0.00,30.04,M,10.00,M,OVC,M,M,M,2700.00,M,M,M,M,KCIR 010315Z AUTO 02005KT 10SM OVC027 10/07 A3004 RMK AO2 T01020065
CIR,2017-04-01 03:35,-89.2196,37.0647,50.00,44.40,80.99,30.00,6.00,0.00,30.05,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KCIR 010335Z AUTO 03006KT 10SM OVC025 10/07 A3005 RMK AO2 T01000069
CIR,2017-04-01 03:55,-89.2196,37.0647,50.00,43.90,79.46,20.00,4.00,0.00,30.05,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KCIR 010355Z AUTO 02004KT 10SM OVC025 10/07 A3005 RMK AO2 T01000066
CIR,2017-04-01 04:15,-89.2196,37.0647,49.60,43.90,80.65,30.00,5.00,0.00,30.06,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KCIR 010415Z AUTO 03005KT 10SM OVC025 10/07 A3006 RMK AO2 T00980066
CIR,2017-04-01 04:35,-89.2196,37.0647,49.50,43.30,79.11,20.00,6.00,0.00,30.06,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KCIR 010435Z AUTO 02006KT 10SM OVC025 10/06 A3006 RMK AO2 T00970063
CIR,2017-04-01 04:55,-89.2196,37.0647,49.30,43.00,78.79,10.00,9.00,0.00,30.06,M,10.00,M,OVC,M,M,M,2500.00,M,M,M,M,KCIR 010455Z AUTO 01009KT 10SM OVC025 10/06 A3006 RMK AO2 T00960061
CIR,2017-04-01 05:15,-89.2196,37.0647,49.10,43.30,80.30,10.00,6.00,0.00,30.07,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCIR 010515Z AUTO 01006KT 10SM OVC021 10/06 A3007 RMK AO2 T00950063
CIR,2017-04-01 05:35,-89.2196,37.0647,48.60,43.90,83.72,30.00,6.00,0.00,30.08,M,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,KCIR 010535Z AUTO 03006KT 10SM OVC017 09/07 A3008 RMK AO2 T00920066
CIR,2017-04-01 05:55,-89.2196,37.0647,48.20,43.00,82.10,10.00,7.00,0.00,30.08,M,10.00,M,OVC,M,M,M,1700.00,M,M,M,M,KCIR 010555Z AUTO 01007KT 10SM OVC017 09/06 A3008 RMK AO2 T00900061 10119 20090 401400090
CIR,2017-04-01 06:15,-89.2196,37.0647,47.80,42.60,82.07,20.00,8.00,0.00,30.07,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCIR 010615Z AUTO 02008KT 10SM OVC021 09/06 A3007 RMK AO2 T00880059
CIR,2017-04-01 06:35,-89.2196,37.0647,47.70,42.30,81.44,360.00,6.00,0.00,30.08,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCIR 010635Z AUTO 36006KT 10SM OVC021 09/06 A3008 RMK AO2 T00870057
CIR,2017-04-01 06:55,-89.2196,37.0647,47.50,41.90,80.80,10.00,8.00,0.00,30.09,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KCIR 010655Z AUTO 01008KT 10SM OVC019 09/06 A3009 RMK AO2 T00860055
CIR,2017-04-01 07:15,-89.2196,37.0647,47.30,41.90,81.41,360.00,8.00,0.00,30.09,M,10.00,M,OVC,M,M,M,1900.00,M,M,M,M,KCIR 010715Z AUTO 36008KT 10SM OVC019 09/06 A3009 RMK AO2 T00850055
