#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CJR,2017-04-01 00:15,-77.8589,38.5267,49.60,48.60,96.33,10.00,7.00,0.00,29.68,M,10.00,M,BKN,OVC,M,M,900.00,1600.00,M,M,DZ,KCJR 010015Z AUTO 01007KT 10SM DZ BKN009 OVC016 10/09 A2968 RMK AO2 LTG DSNT SE T00980092
CJR,2017-04-01 00:35,-77.8589,38.5267,49.50,48.20,95.26,0.00,0.00,0.00,29.68,M,10.00,M,SCT,BKN,OVC,M,900.00,3700.00,4500.00,M,M,KCJR 010035Z AUTO 00000KT 10SM SCT009 BKN037 OVC045 10/09 A2968 RMK AO2 LTG DSNT SE T00970090
CJR,2017-04-01 00:55,-77.8589,38.5267,49.10,48.20,96.69,0.00,0.00,0.01,29.68,M,10.00,M,SCT,OVC,M,M,3800.00,4900.00,M,M,-RA,KCJR 010055Z AUTO 00000KT 10SM -RA SCT038 OVC049 10/09 A2968 RMK AO2 P0001 T00950090
CJR,2017-04-01 01:15,-77.8589,38.5267,49.10,48.20,96.69,0.00,0.00,0.00,29.68,M,10.00,M,SCT,OVC,M,M,5000.00,6500.00,M,M,M,KCJR 010115Z AUTO 00000KT 10SM SCT050 OVC065 10/09 A2968 RMK AO2 T00950090
CJR,2017-04-01 01:35,-77.8589,38.5267,49.10,48.60,98.15,0.00,0.00,0.00,29.68,M,7.00,M,OVC,M,M,M,6500.00,M,M,M,M,KCJR 010135Z AUTO 00000KT 7SM OVC065 10/09 A2968 RMK AO2 T00950092
CJR,2017-04-01 01:55,-77.8589,38.5267,49.10,48.70,98.52,0.00,0.00,0.00,29.68,M,7.00,M,OVC,M,M,M,6500.00,M,M,M,M,KCJR 010155Z AUTO 00000KT 7SM OVC065 10/09 A2968 RMK AO2 T00950093
CJR,2017-04-01 02:15,-77.8589,38.5267,49.10,48.90,99.26,0.00,0.00,0.00,29.68,M,10.00,M,BKN,OVC,M,M,7500.00,9000.00,M,M,M,KCJR 010215Z AUTO 00000KT 10SM BKN075 OVC090 10/09 A2968 RMK AO2 T00950094
CJR,2017-04-01 02:35,-77.8589,38.5267,49.10,48.40,97.42,0.00,0.00,0.00,29.68,M,10.00,M,SCT,OVC,M,M,7500.00,10000.00,M,M,-RA,KCJR 010235Z AUTO 00000KT 10SM -RA SCT075 OVC100 10/09 A2968 RMK AO2 T00950091
CJR,2017-04-01 02:55,-77.8589,38.5267,48.70,48.60,99.63,0.00,0.00,0.00,29.68,M,7.00,M,SCT,OVC,M,M,8500.00,10000.00,M,M,DZ,KCJR 010255Z AUTO 00000KT 7SM DZ SCT085 OVC100 09/09 A2968 RMK AO2 60001 T00930092
CJR,2017-04-01 03:15,-77.8589,38.5267,48.40,48.00,98.51,0.00,0.00,0.00,29.68,M,7.00,M,SCT,SCT,M,M,8500.00,10000.00,M,M,M,KCJR 010315Z AUTO 00000KT 7SM SCT085 SCT100 09/09 A2968 RMK AO2 T00910089
