#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CKV,2017-04-01 00:00,-87.4150,36.6219,M,M,M,350.00,9.00,M,29.93,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KCKV 010000Z AUTO 35009KT 10SM OVC032 A2993 RMK MADISHF
CKV,2017-04-01 00:05,-87.4150,36.6219,M,M,M,350.00,8.00,M,29.93,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KCKV 010005Z AUTO 35008KT 10SM OVC032 A2993 RMK MADISHF
CKV,2017-04-01 00:10,-87.4150,36.6219,M,M,M,340.00,8.00,M,29.94,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KCKV 010010Z AUTO 34008KT 10SM OVC032 A2994 RMK MADISHF
CKV,2017-04-01 00:15,-87.4150,36.6219,M,M,M,350.00,8.00,M,29.94,M,10.00,M,OVC,M,M,M,3399.00,M,M,M,M,KCKV 010015Z AUTO 35008KT 10SM OVC033 A2994 RMK MADISHF
CKV,2017-04-01 00:20,-87.4150,36.6219,M,M,M,340.00,8.00,M,29.94,M,10.00,M,OVC,M,M,M,3399.00,M,M,M,M,KCKV 010020Z AUTO 34008KT 10SM OVC033 A2994 RMK MADISHF
CKV,2017-04-01 00:25,-87.4150,36.6219,M,M,M,330.00,9.00,M,29.94,M,10.00,M,OVC,M,M,M,3600.00,M,M,M,M,KCKV 010025Z AUTO 33009KT 10SM OVC036 A2994 RMK MADISHF
CKV,2017-04-01 00:30,-87.4150,36.6219,M,M,M,330.00,8.00,M,29.94,M,10.00,M,OVC,M,M,M,3600.00,M,M,M,M,KCKV 010030Z AUTO 33008KT 10SM OVC036 A2994 RMK MADISHF
CKV,2017-04-01 00:35,-87.4150,36.6219,M,M,M,340.00,9.00,M,29.95,M,10.00,M,OVC,M,M,M,3600.00,M,M,M,M,KCKV 010035Z AUTO 34009KT 10SM OVC036 A2995 RMK MADISHF
CKV,2017-04-01 00:40,-87.4150,36.6219,M,M,M,340.00,8.00,M,29.95,M,10.00,M,OVC,M,M,M,3800.00,M,M,M,M,KCKV 010040Z AUTO 34008KT 10SM OVC038 A2995 RMK MADISHF
CKV,2017-04-01 00:45,-87.4150,36.6219,M,M,M,340.00,9.00,M,29.96,M,10.00,M,OVC,M,M,M,3800.00,M,M,M,M,KCKV 010045Z AUTO 34009KT 10SM OVC038 A2996 RMK MADISHF
CKV,2017-04-01 00:50,-87.4150,36.6219,M,M,M,340.00,6.00,M,29.96,M,10.00,M,OVC,M,M,M,3800.00,M,M,M,M,KCKV 010050Z AUTO 34006KT 10SM OVC038 A2996 RMK MADISHF
CKV,2017-04-01 00:52,-87.4150,36.6219,53.10,45.00,73.89,340.00,7.00,0.00,29.96,1014.40,10.00,M,OVC,M,M,M,3800.00,M,M,M,M,KCKV 010052Z AUTO 34007KT 10SM OVC038 12/07 A2996 RMK AO2 SLP144 T01170072
CKV,2017-04-01 00:55,-87.4150,36.6219,M,M,M,340.00,9.00,M,29.96,M,10.00,M,OVC,M,M,M,3800.00,M,M,M,M,KCKV 010055Z AUTO 34009KT 10SM OVC038 A2996 RMK MADISHF
CKV,2017-04-01 01:00,-87.4150,36.6219,M,M,M,350.00,11.00,M,29.96,M,10.00,M,OVC,M,M,M,3700.00,M,M,M,M,KCKV 010100Z AUTO 35011KT 10SM OVC037 A2996 RMK MADISHF
CKV,2017-04-01 01:05,-87.4150,36.6219,M,M,M,340.00,11.00,M,29.97,M,10.00,M,OVC,M,M,M,3700.00,M,M,M,M,KCKV 010105Z AUTO 34011KT 10SM OVC037 A2997 RMK MADISHF
CKV,2017-04-01 01:10,-87.4150,36.6219,M,M,M,350.00,10.00,M,29.97,M,10.00,M,OVC,M,M,M,3700.00,M,M,M,M,KCKV 010110Z AUTO 35010KT 10SM OVC037 A2997 RMK MADISHF
CKV,2017-04-01 01:15,-87.4150,36.6219,M,M,M,350.00,11.00,M,29.97,M,10.00,M,OVC,M,M,M,3700.00,M,M,M,M,KCKV 010115Z AUTO 35011KT 10SM OVC037 A2997 RMK MADISHF
CKV,2017-04-01 01:20,-87.4150,36.6219,M,M,M,350.00,9.00,M,29.97,M,10.00,M,OVC,M,M,M,3600.00,M,M,M,M,KCKV 010120Z AUTO 35009KT 10SM OVC036 A2997 RMK MADISHF
CKV,2017-04-01 01:25,-87.4150,36.6219,M,M,M,350.00,8.00,M,29.98,M,10.00,M,FEW,OVC,M,M,2700.00,3600.00,M,M,M,KCKV 010125Z AUTO 35008KT 10SM FEW027 OVC036 A2998 RMK MADISHF
CKV,2017-04-01 01:30,-87.4150,36.6219,M,M,M,350.00,9.00,M,29.98,M,10.00,M,FEW,OVC,M,M,2700.00,3500.00,M,M,M,KCKV 010130Z AUTO 35009KT 10SM FEW027 OVC035 A2998 RMK MADISHF
CKV,2017-04-01 01:35,-87.4150,36.6219,M,M,M,10.00,7.00,M,29.98,M,10.00,M,FEW,OVC,M,M,2700.00,3500.00,M,M,M,KCKV 010135Z AUTO 01007KT 10SM FEW027 OVC035 A2998 RMK MADISHF
CKV,2017-04-01 01:40,-87.4150,36.6219,M,M,M,20.00,10.00,M,29.98,M,10.00,M,SCT,OVC,M,M,2700.00,3500.00,M,M,M,KCKV 010140Z AUTO 02010KT 10SM SCT027 OVC035 A2998 RMK MADISHF
CKV,2017-04-01 01:45,-87.4150,36.6219,M,M,M,10.00,10.00,M,29.98,M,10.00,M,SCT,OVC,M,M,2600.00,3500.00,M,M,M,KCKV 010145Z AUTO 01010KT 10SM SCT026 OVC035 A2998 RMK MADISHF
CKV,2017-04-01 01:50,-87.4150,36.6219,M,M,M,10.00,10.00,M,29.99,M,10.00,M,SCT,OVC,M,M,2600.00,3399.00,M,M,M,KCKV 010150Z AUTO 01010KT 10SM SCT026 OVC033 A2999 RMK MADISHF
CKV,2017-04-01 01:52,-87.4150,36.6219,52.00,44.10,74.35,10.00,10.00,0.00,29.99,1015.50,10.00,M,SCT,OVC,M,M,2600.00,3400.00,M,M,M,KCKV 010152Z AUTO 01010KT 10SM SCT026 OVC034 11/07 A2999 RMK AO2 SLP155 T01110067
CKV,2017-04-01 01:55,-87.4150,36.6219,M,M,M,10.00,9.00,M,29.99,M,10.00,M,FEW,OVC,M,M,2600.00,3399.00,M,M,M,KCKV 010155Z AUTO 01009KT 10SM FEW026 OVC033 A2999 RMK MADISHF
CKV,2017-04-01 02:00,-87.4150,36.6219,M,M,M,360.00,9.00,M,29.99,M,10.00,M,FEW,OVC,M,M,2600.00,3399.00,M,M,M,KCKV 010200Z AUTO 36009KT 10SM FEW026 OVC033 A2999 RMK MADISHF
CKV,2017-04-01 02:05,-87.4150,36.6219,M,M,M,10.00,11.00,M,29.99,M,10.00,M,FEW,OVC,M,M,2600.00,3200.00,M,M,M,KCKV 010205Z AUTO 01011KT 10SM FEW026 OVC032 A2999 RMK MADISHF
CKV,2017-04-01 02:10,-87.4150,36.6219,M,M,M,10.00,12.00,M,29.99,M,10.00,M,FEW,OVC,M,M,2600.00,3200.00,M,M,M,KCKV 010210Z AUTO 01012KT 10SM FEW026 OVC032 A2999 RMK MADISHF
CKV,2017-04-01 02:15,-87.4150,36.6219,M,M,M,10.00,9.00,M,30.00,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KCKV 010215Z AUTO 01009KT 10SM OVC032 A3000 RMK MADISHF
CKV,2017-04-01 02:20,-87.4150,36.6219,M,M,M,10.00,8.00,M,30.00,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KCKV 010220Z AUTO 01008KT 10SM OVC032 A3000 RMK MADISHF
CKV,2017-04-01 02:25,-87.4150,36.6219,M,M,M,10.00,9.00,M,30.00,M,10.00,M,OVC,M,M,M,3200.00,M,M,M,M,KCKV 010225Z AUTO 01009KT 10SM OVC032 A3000 RMK MADISHF
CKV,2017-04-01 02:30,-87.4150,36.6219,M,M,M,10.00,7.00,M,30.00,M,10.00,M,OVC,M,M,M,3100.00,M,M,M,M,KCKV 010230Z AUTO 01007KT 10SM OVC031 A3000 RMK MADISHF
CKV,2017-04-01 02:35,-87.4150,36.6219,M,M,M,10.00,9.00,M,30.00,M,10.00,M,OVC,M,M,M,3100.00,M,M,M,M,KCKV 010235Z AUTO 01009KT 10SM OVC031 A3000 RMK MADISHF
CKV,2017-04-01 02:40,-87.4150,36.6219,M,M,M,10.00,8.00,M,30.00,M,10.00,M,OVC,M,M,M,3100.00,M,M,M,M,KCKV 010240Z AUTO 01008KT 10SM OVC031 A3000 RMK MADISHF
CKV,2017-04-01 02:45,-87.4150,36.6219,M,M,M,360.00,8.00,M,30.01,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCKV 010245Z AUTO 36008KT 10SM OVC030 A3001 RMK MADISHF
CKV,2017-04-01 02:50,-87.4150,36.6219,M,M,M,10.00,10.00,M,30.01,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCKV 010250Z AUTO 01010KT 10SM OVC030 A3001 RMK MADISHF
CKV,2017-04-01 02:52,-87.4150,36.6219,50.00,43.00,76.76,10.00,9.00,0.00,30.01,1016.10,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCKV 010252Z AUTO 01009KT 10SM OVC030 10/06 A3001 RMK AO2 SLP161 T01000061 51025
CKV,2017-04-01 02:55,-87.4150,36.6219,M,M,M,10.00,8.00,M,30.01,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCKV 010255Z AUTO 01008KT 10SM OVC030 A3001 RMK MADISHF
CKV,2017-04-01 03:00,-87.4150,36.6219,M,M,M,10.00,8.00,M,30.01,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCKV 010300Z AUTO 01008KT 10SM OVC030 A3001 RMK MADISHF
CKV,2017-04-01 03:05,-87.4150,36.6219,M,M,M,360.00,7.00,M,30.01,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCKV 010305Z AUTO 36007KT 10SM OVC029 A3001 RMK MADISHF
CKV,2017-04-01 03:10,-87.4150,36.6219,50.00,43.00,76.76,10.00,10.00,0.00,30.01,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCKV 010310Z AUTO 01010KT 10SM OVC029 10/06 A3001 RMK AO2 T01000061
CKV,2017-04-01 03:15,-87.4150,36.6219,M,M,M,360.00,8.00,M,30.02,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCKV 010315Z AUTO 36008KT 10SM OVC029 A3002 RMK MADISHF
CKV,2017-04-01 03:20,-87.4150,36.6219,M,M,M,360.00,8.00,M,30.02,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCKV 010320Z AUTO 36008KT 10SM OVC029 A3002 RMK MADISHF
CKV,2017-04-01 03:25,-87.4150,36.6219,M,M,M,360.00,7.00,M,30.02,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCKV 010325Z AUTO 36007KT 10SM OVC029 A3002 RMK MADISHF
CKV,2017-04-01 03:30,-87.4150,36.6219,M,M,M,360.00,8.00,M,30.02,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCKV 010330Z AUTO 36008KT 10SM OVC029 A3002 RMK MADISHF
CKV,2017-04-01 03:35,-87.4150,36.6219,M,M,M,350.00,8.00,M,30.02,M,10.00,M,OVC,M,M,M,2900.00,M,M,M,M,KCKV 010335Z AUTO 35008KT 10SM OVC029 A3002 RMK MADISHF
CKV,2017-04-01 03:40,-87.4150,36.6219,M,M,M,360.00,8.00,M,30.02,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCKV 010340Z AUTO 36008KT 10SM OVC030 A3002 RMK MADISHF
CKV,2017-04-01 03:42,-87.4150,36.6219,50.00,43.00,76.76,350.00,8.00,0.00,30.02,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCKV 010342Z AUTO 35008KT 10SM OVC030 10/06 A3002 RMK AO2 T01000061
CKV,2017-04-01 03:45,-87.4150,36.6219,M,M,M,360.00,7.00,M,30.02,M,10.00,M,OVC,M,M,M,3000.00,M,M,M,M,KCKV 010345Z AUTO 36007KT 10SM OVC030 A3002 RMK MADISHF
CKV,2017-04-01 03:50,-87.4150,36.6219,M,M,M,350.00,7.00,M,30.02,M,10.00,M,FEW,OVC,M,M,1800.00,3000.00,M,M,M,KCKV 010350Z AUTO 35007KT 10SM FEW018 OVC030 A3002 RMK MADISHF
CKV,2017-04-01 03:52,-87.4150,36.6219,50.00,43.00,76.76,350.00,7.00,0.00,30.02,1016.70,10.00,M,FEW,OVC,M,M,1800.00,3000.00,M,M,M,KCKV 010352Z AUTO 35007KT 10SM FEW018 OVC030 10/06 A3002 RMK AO2 SLP167 T01000061
CKV,2017-04-01 03:55,-87.4150,36.6219,M,M,M,350.00,6.00,M,30.03,M,10.00,M,SCT,OVC,M,M,1800.00,3000.00,M,M,M,KCKV 010355Z AUTO 35006KT 10SM SCT018 OVC030 A3003 RMK MADISHF
CKV,2017-04-01 04:00,-87.4150,36.6219,M,M,M,360.00,6.00,M,30.03,M,10.00,M,SCT,OVC,M,M,1699.00,3000.00,M,M,M,KCKV 010400Z AUTO 36006KT 10SM SCT016 OVC030 A3003 RMK MADISHF
