#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CLK,2017-04-01 00:35,-98.9327,35.5383,57.20,44.60,62.69,40.00,18.00,0.00,29.81,M,10.00,21.00,CLR,M,M,M,M,M,M,M,M,KCLK 010035Z AUTO 04018G21KT 10SM CLR 14/07 A2981 RMK AO2
CLK,2017-04-01 00:55,-98.9327,35.5383,55.40,44.60,66.91,40.00,13.00,0.00,29.81,M,10.00,21.00,CLR,M,M,M,M,M,M,M,M,KCLK 010055Z AUTO 04013G21KT 10SM CLR 13/07 A2981 RMK AO2
CLK,2017-04-01 01:15,-98.9327,35.5383,53.60,44.60,71.45,40.00,14.00,0.00,29.82,M,10.00,20.00,CLR,M,M,M,M,M,M,M,M,KCLK 010115Z AUTO 04014G20KT 10SM CLR 12/07 A2982 RMK AO2
CLK,2017-04-01 01:35,-98.9327,35.5383,53.60,44.60,71.45,30.00,15.00,0.00,29.83,M,10.00,20.00,CLR,M,M,M,M,M,M,M,M,KCLK 010135Z AUTO 03015G20KT 10SM CLR 12/07 A2983 RMK AO2
CLK,2017-04-01 01:55,-98.9327,35.5383,51.80,44.60,76.34,40.00,16.00,0.00,29.83,M,10.00,21.00,CLR,M,M,M,M,M,M,M,M,KCLK 010155Z AUTO 04016G21KT 10SM CLR 11/07 A2983 RMK AO2
CLK,2017-04-01 02:15,-98.9327,35.5383,51.80,44.60,76.34,40.00,16.00,0.00,29.84,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCLK 010215Z AUTO 04016KT 10SM CLR 11/07 A2984 RMK AO2
CLK,2017-04-01 02:35,-98.9327,35.5383,51.80,44.60,76.34,40.00,17.00,0.00,29.84,M,10.00,21.00,CLR,M,M,M,M,M,M,M,M,KCLK 010235Z AUTO 04017G21KT 10SM CLR 11/07 A2984 RMK AO2
CLK,2017-04-01 02:55,-98.9327,35.5383,51.80,44.60,76.34,40.00,16.00,0.00,29.85,M,10.00,23.00,CLR,M,M,M,M,M,M,M,M,KCLK 010255Z AUTO 04016G23KT 10SM CLR 11/07 A2985 RMK AO2
CLK,2017-04-01 03:15,-98.9327,35.5383,51.80,44.60,76.34,40.00,17.00,0.00,29.86,M,10.00,23.00,CLR,M,M,M,M,M,M,M,M,KCLK 010315Z AUTO 04017G23KT 10SM CLR 11/07 A2986 RMK AO2
CLK,2017-04-01 03:35,-98.9327,35.5383,51.80,44.60,76.34,40.00,17.00,0.00,29.86,M,10.00,22.00,CLR,M,M,M,M,M,M,M,M,KCLK 010335Z AUTO 04017G22KT 10SM CLR 11/07 A2986 RMK AO2
