#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CLT,2017-04-01 00:00,-80.9543,35.2225,M,M,M,330.00,8.00,M,29.75,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,KCLT 010000Z AUTO 33008KT 10SM SCT070 A2975 RMK MADISHF
CLT,2017-04-01 00:05,-80.9543,35.2225,M,M,M,320.00,7.00,M,29.76,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,KCLT 010005Z AUTO 32007KT 10SM SCT070 A2976 RMK MADISHF
CLT,2017-04-01 00:10,-80.9543,35.2225,M,M,M,320.00,8.00,M,29.76,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,KCLT 010010Z AUTO 32008KT 10SM SCT070 A2976 RMK MADISHF
CLT,2017-04-01 00:15,-80.9543,35.2225,M,M,M,330.00,7.00,M,29.76,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,KCLT 010015Z AUTO 33007KT 10SM SCT070 A2976 RMK MADISHF
CLT,2017-04-01 00:20,-80.9543,35.2225,M,M,M,320.00,7.00,M,29.77,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,KCLT 010020Z AUTO 32007KT 10SM SCT070 A2977 RMK MADISHF
CLT,2017-04-01 00:25,-80.9543,35.2225,M,M,M,330.00,6.00,M,29.77,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,KCLT 010025Z AUTO 33006KT 10SM SCT070 A2977 RMK MADISHF
CLT,2017-04-01 00:30,-80.9543,35.2225,M,M,M,320.00,6.00,M,29.77,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,KCLT 010030Z AUTO 32006KT 10SM SCT070 A2977 RMK MADISHF
CLT,2017-04-01 00:35,-80.9543,35.2225,M,M,M,300.00,7.00,M,29.77,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,KCLT 010035Z AUTO 30007KT 10SM SCT070 A2977 RMK MADISHF
CLT,2017-04-01 00:40,-80.9543,35.2225,M,M,M,310.00,7.00,M,29.78,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,KCLT 010040Z AUTO 31007KT 10SM SCT070 A2978 RMK MADISHF
CLT,2017-04-01 00:45,-80.9543,35.2225,M,M,M,320.00,7.00,M,29.78,M,10.00,M,SCT,M,M,M,7000.00,M,M,M,M,KCLT 010045Z AUTO 32007KT 10SM SCT070 A2978 RMK MADISHF
CLT,2017-04-01 00:50,-80.9543,35.2225,M,M,M,320.00,7.00,M,29.79,M,10.00,M,FEW,M,M,M,7000.00,M,M,M,M,KCLT 010050Z AUTO 32007KT 10SM FEW070 A2979 RMK MADISHF
CLT,2017-04-01 00:52,-80.9543,35.2225,62.10,41.00,45.84,320.00,7.00,0.00,29.79,1008.20,10.00,M,FEW,M,M,M,7000.00,M,M,M,M,KCLT 010052Z 32007KT 10SM FEW070 17/05 A2979 RMK AO2 SLP082 T01670050
CLT,2017-04-01 00:55,-80.9543,35.2225,M,M,M,330.00,7.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCLT 010055Z AUTO 33007KT 10SM CLR A2979 RMK MADISHF
CLT,2017-04-01 01:00,-80.9543,35.2225,M,M,M,320.00,9.00,M,29.79,M,10.00,14.00,CLR,M,M,M,M,M,M,M,M,KCLT 010100Z AUTO 32009G14KT 10SM CLR A2979 RMK MADISHF
CLT,2017-04-01 01:05,-80.9543,35.2225,M,M,M,320.00,9.00,M,29.79,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCLT 010105Z AUTO 32009KT 10SM CLR A2979 RMK MADISHF
CLT,2017-04-01 01:10,-80.9543,35.2225,M,M,M,320.00,9.00,M,29.80,M,10.00,M,FEW,M,M,M,7000.00,M,M,M,M,KCLT 010110Z AUTO 32009KT 10SM FEW070 A2980 RMK MADISHF
CLT,2017-04-01 01:15,-80.9543,35.2225,M,M,M,320.00,8.00,M,29.81,M,10.00,M,FEW,M,M,M,7000.00,M,M,M,M,KCLT 010115Z AUTO 32008KT 10SM FEW070 A2981 RMK MADISHF
CLT,2017-04-01 01:20,-80.9543,35.2225,M,M,M,320.00,9.00,M,29.81,M,10.00,M,FEW,M,M,M,7000.00,M,M,M,M,KCLT 010120Z AUTO 32009KT 10SM FEW070 A2981 RMK MADISHF
CLT,2017-04-01 01:25,-80.9543,35.2225,M,M,M,320.00,12.00,M,29.81,M,10.00,17.00,FEW,M,M,M,7000.00,M,M,M,M,KCLT 010125Z AUTO 32012G17KT 10SM FEW070 A2981 RMK MADISHF
CLT,2017-04-01 01:30,-80.9543,35.2225,M,M,M,320.00,9.00,M,29.81,M,10.00,M,FEW,M,M,M,7000.00,M,M,M,M,KCLT 010130Z AUTO 32009KT 10SM FEW070 A2981 RMK MADISHF
