#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CMI,2017-04-01 00:00,-88.2778,40.0388,M,M,M,340.00,12.00,0.01,29.97,M,7.00,M,BKN,OVC,M,M,900.00,1300.00,M,M,M,KCMI 010000Z AUTO 34012KT 7SM BKN009 OVC013 A2997 RMK P0001 CIG 7V11  MADISHF
CMI,2017-04-01 00:05,-88.2778,40.0388,M,M,M,340.00,10.00,0.01,29.98,M,8.00,M,BKN,OVC,M,M,999.00,1300.00,M,M,M,KCMI 010005Z AUTO 34010KT 8SM BKN009 OVC013 A2998 RMK P0001 MADISHF
CMI,2017-04-01 00:10,-88.2778,40.0388,M,M,M,340.00,12.00,0.01,29.98,M,9.00,M,BKN,OVC,M,M,999.00,1300.00,M,M,M,KCMI 010010Z AUTO 34012KT 9SM BKN009 OVC013 A2998 RMK P0001 MADISHF
CMI,2017-04-01 00:15,-88.2778,40.0388,M,M,M,340.00,10.00,0.01,29.98,M,10.00,M,BKN,OVC,M,M,999.00,1300.00,M,M,M,KCMI 010015Z AUTO 34010KT 10SM BKN009 OVC013 A2998 RMK P0001 MADISHF
CMI,2017-04-01 00:20,-88.2778,40.0388,M,M,M,340.00,9.00,0.01,29.98,M,10.00,M,BKN,OVC,M,M,999.00,1300.00,M,M,M,KCMI 010020Z AUTO 34009KT 10SM BKN009 OVC013 A2998 RMK P0001 MADISHF
CMI,2017-04-01 00:25,-88.2778,40.0388,M,M,M,340.00,9.00,0.01,29.98,M,10.00,M,BKN,OVC,M,M,999.00,1300.00,M,M,M,KCMI 010025Z AUTO 34009KT 10SM BKN009 OVC013 A2998 RMK P0001 MADISHF
CMI,2017-04-01 00:30,-88.2778,40.0388,M,M,M,340.00,10.00,0.01,29.98,M,10.00,M,BKN,OVC,M,M,999.00,1300.00,M,M,M,KCMI 010030Z AUTO 34010KT 10SM BKN009 OVC013 A2998 RMK P0001 MADISHF
CMI,2017-04-01 00:35,-88.2778,40.0388,M,M,M,350.00,9.00,0.01,29.98,M,10.00,M,BKN,OVC,M,M,999.00,1300.00,M,M,M,KCMI 010035Z AUTO 35009KT 10SM BKN009 OVC013 A2998 RMK P0001 MADISHF
CMI,2017-04-01 00:40,-88.2778,40.0388,M,M,M,350.00,11.00,0.01,29.98,M,10.00,M,BKN,OVC,M,M,999.00,1300.00,M,M,M,KCMI 010040Z AUTO 35011KT 10SM BKN009 OVC013 A2998 RMK P0001 MADISHF
CMI,2017-04-01 00:45,-88.2778,40.0388,M,M,M,350.00,9.00,0.01,29.98,M,10.00,M,BKN,OVC,M,M,999.00,1300.00,M,M,M,KCMI 010045Z AUTO 35009KT 10SM BKN009 OVC013 A2998 RMK P0001 MADISHF
