#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CNB,2017-04-01 00:14,-96.2660,44.7295,53.60,34.30,47.82,0.00,0.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCNB 010014Z AUTO 00000KT 10SM CLR 12/01 A3007 RMK AO2 T01200013
CNB,2017-04-01 00:34,-96.2660,44.7295,53.10,34.90,49.89,0.00,0.00,0.00,30.07,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCNB 010034Z AUTO 00000KT 10SM CLR 12/02 A3007 RMK AO2 T01170016
CNB,2017-04-01 00:53,-96.2660,44.7295,52.00,34.30,50.72,0.00,0.00,0.00,30.08,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCNB 010053Z AUTO 00000KT 10SM CLR 11/01 A3008 RMK AO2 T01110013
CNB,2017-04-01 01:14,-96.2660,44.7295,50.40,34.70,54.68,0.00,0.00,0.00,30.09,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCNB 010114Z AUTO 00000KT 10SM CLR 10/02 A3009 RMK AO2 T01020015
CNB,2017-04-01 01:34,-96.2660,44.7295,48.20,34.20,58.18,0.00,0.00,0.00,30.10,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCNB 010134Z AUTO 00000KT 10SM CLR 09/01 A3010 RMK AO2 T00900012
CNB,2017-04-01 01:54,-96.2660,44.7295,46.60,34.70,63.04,0.00,0.00,0.00,30.11,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCNB 010154Z AUTO 00000KT 10SM CLR 08/02 A3011 RMK AO2 T00810015
CNB,2017-04-01 02:14,-96.2660,44.7295,45.10,34.70,66.72,0.00,0.00,0.00,30.12,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCNB 010214Z AUTO 00000KT 10SM CLR 07/02 A3012 RMK AO2 T00730015
CNB,2017-04-01 02:34,-96.2660,44.7295,42.40,35.10,75.17,0.00,0.00,0.00,30.13,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCNB 010234Z AUTO 00000KT 10SM CLR 06/02 A3013 RMK AO2 T00580017
CNB,2017-04-01 02:54,-96.2660,44.7295,41.70,34.20,74.50,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCNB 010254Z AUTO 00000KT 10SM CLR 05/01 A3014 RMK AO2 T00540012
CNB,2017-04-01 03:14,-96.2660,44.7295,39.70,33.80,79.23,0.00,0.00,0.00,30.14,M,10.00,M,CLR,M,M,M,M,M,M,M,M,KCNB 010314Z AUTO 00000KT 10SM CLR 04/01 A3014 RMK AO2 T00430010
