#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2017-04-01 00:00:00+00:00 2017-04-02 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, presentwx, metar
CNK,2017-04-01 00:00,-97.6500,39.5500,M,M,M,70.00,8.00,M,29.99,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCNK 010000Z AUTO 07008KT 10SM OVC021 A2999 RMK MADISHF
CNK,2017-04-01 00:05,-97.6500,39.5500,M,M,M,60.00,8.00,M,29.99,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCNK 010005Z AUTO 06008KT 10SM OVC021 A2999 RMK MADISHF
CNK,2017-04-01 00:10,-97.6500,39.5500,M,M,M,70.00,7.00,M,29.99,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCNK 010010Z AUTO 07007KT 10SM OVC021 A2999 RMK MADISHF
CNK,2017-04-01 00:15,-97.6500,39.5500,M,M,M,70.00,8.00,M,29.99,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCNK 010015Z AUTO 07008KT 10SM OVC021 A2999 RMK MADISHF
CNK,2017-04-01 00:20,-97.6500,39.5500,M,M,M,60.00,7.00,M,29.99,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCNK 010020Z AUTO 06007KT 10SM OVC021 A2999 RMK MADISHF
CNK,2017-04-01 00:25,-97.6500,39.5500,M,M,M,60.00,6.00,M,29.99,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCNK 010025Z AUTO 06006KT 10SM OVC021 A2999 RMK MADISHF
CNK,2017-04-01 00:30,-97.6500,39.5500,M,M,M,70.00,8.00,M,30.00,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCNK 010030Z AUTO 07008KT 10SM OVC021 A3000 RMK MADISHF
CNK,2017-04-01 00:35,-97.6500,39.5500,M,M,M,60.00,7.00,M,30.00,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCNK 010035Z AUTO 06007KT 10SM OVC021 A3000 RMK MADISHF
CNK,2017-04-01 00:40,-97.6500,39.5500,M,M,M,60.00,6.00,M,30.00,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCNK 010040Z AUTO 06006KT 10SM OVC021 A3000 RMK MADISHF
CNK,2017-04-01 00:45,-97.6500,39.5500,M,M,M,60.00,6.00,M,30.00,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCNK 010045Z AUTO 06006KT 10SM OVC021 A3000 RMK MADISHF
CNK,2017-04-01 00:50,-97.6500,39.5500,M,M,M,50.00,6.00,M,30.01,M,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCNK 010050Z AUTO 05006KT 10SM OVC021 A3001 RMK MADISHF
CNK,2017-04-01 00:55,-97.6500,39.5500,48.00,42.10,79.91,60.00,4.00,0.00,30.01,1016.60,10.00,M,OVC,M,M,M,2100.00,M,M,M,M,KCNK 010055Z AUTO 06004KT 10SM OVC021 09/06 A3001 RMK AO2 SLP166 T00890056
